pXC50,ATSC4s,CATS2D_06_AL,LLS_02,MATS2p,C.034,D.Dtr05,Eig03_AEA.ed.,Eig03_EA.ed.,nR05,PW4,SM12_AEA.dm.,SpMin5_Bh.m.,SpMin5_Bh.s.,SpMin5_Bh.v.,SRW05,SRW07,SRW09,ATS1e,ATS2e,ATS2i,ATS2m,ATS3e,ATS3v,ATS4e,ATS4i,ATS4v,ATS5m,ATSC1i,ATSC2s,ATSC3i,ATSC4v,CATS2D_08_AL,Chi0_EA.bo.,Chi0_EA.ri.,Chi1_EA.bo.,Eig08_AEA.dm.,Eig09_AEA.dm.,Eig10_AEA.dm.,Eig11_AEA.bo.,Eig11_AEA.dm.,Eig12_AEA.dm.,Eig13_AEA.dm.,Eig14_AEA.dm.,Eta_epsi,GGI7,GMTIV,MATS1m,MATS5s,MATS8i,Psi_e_0,Psi_e_1,Psi_i_0,Psi_i_1,S2K,S3K,Se,SMTIV,Sp,SpAD_AEA.bo.,SpAD_AEA.dm.,SpAD_AEA.ri.,SpMax2_Bh.m.,SpMax8_Bh.m.,SpMaxA_AEA.bo.,SpMaxA_EA.bo.,SpMaxA_EA.ri.,Sv,TIC1,TIC3,TIC4,TIC5,VvdwMG,VvdwZAZ,Vx,X1Kup,X5sol,ZM1Mad,ZM2Mad,ATS3m,ATS4p,ATS5p,ATS5v,ATS6p,ATS6v,ATS7m,ATS8m,ATSC2i,ATSC2m,ATSC3m,ATSC4i,ATSC4m,ATSC5i,ATSC5m,ATSC5v,ATSC6i,ATSC6m,ATSC6v,ATSC7i,ATSC8i,ATSC8m,CATS2D_07_AL,Chi1_EA.ri.,Eta_alpha,Eta_C,Eta_L,IAC,MATS5e,MW,S1K,SAtot,SpMax1_Bh.m.,TIC0
4.419,71.254,16,0.63,0.013,0,0.0,5.778,7.862,0,0.178,7.862,1.824,0.939,1.832,0.0,0.0,0.0,4.401,4.944,5.146,4.235,5.181,4.324,5.219,5.457,4.362,4.409,1.142,47.834,2.127,20.824,11,24.054,27.548,16.427,1.985,1.828,1.808,2.603,1.54,1.243,1.121,1.028,42.733,0.799,50136.0,0.057,-0.037,-0.076,14.43,5.918,27.83,22.046,13.978,7.499,75.621,32849.0,49.37,61.218,62.067,60.894,3.806,3.088,0.111,0.109,0.074,46.481,263.553,386.313,393.823,397.823,289.391,497.42,697.874,13.478,8.978,216.77,246.945,4.316,4.441,4.508,4.432,4.553,4.485,4.456,4.385,1.774,31.349,40.954,2.227,42.304,2.403,46.764,22.101,2.497,47.108,22.333,2.573,2.544,50.508,9,21.673,18.467,39.072,9.461,113.235,-0.051,527.74,28.412,727.197,4.082,113.235
4.466,63.068,12,0.75,0.003,0,0.0,5.778,7.862,0,0.178,7.862,1.855,0.987,1.835,0.0,0.0,0.0,4.409,4.952,5.152,4.227,5.199,4.349,5.243,5.482,4.393,4.408,1.133,45.081,2.17,21.994,8,24.054,27.487,16.427,1.985,1.828,1.808,2.603,1.54,1.243,1.121,1.028,42.633,0.799,48952.0,0.056,-0.048,-0.032,14.435,5.916,27.96,22.247,14.024,7.529,76.403,32437.0,50.126,61.218,62.067,60.868,3.814,3.089,0.111,0.109,0.074,46.987,264.829,394.013,401.523,405.523,292.189,503.72,704.701,13.623,8.978,214.55,244.752,4.311,4.482,4.552,4.464,4.601,4.517,4.45,4.38,1.78,31.727,41.72,2.275,43.278,2.458,48.108,23.567,2.556,48.696,24.311,2.631,2.638,52.815,6,21.562,18.567,39.508,9.536,112.031,-0.05,526.75,28.475,732.516,4.088,112.031
5.207,42.695,4,1.0,-0.061,1,67.846,6.021,8.561,1,0.191,8.561,1.725,0.869,1.638,2.398,4.727,6.843,4.148,4.721,4.92,3.974,5.015,4.133,5.042,5.291,4.127,4.027,0.873,21.973,1.778,17.89,6,18.198,20.415,12.701,1.586,1.323,1.056,2.184,1.0,1.0,0.928,0.744,31.667,0.55,20455.0,0.058,-0.008,0.006,10.787,4.555,21.295,17.842,9.001,4.326,58.221,14069.0,38.375,47.674,48.595,47.518,3.85,2.866,0.143,0.141,0.095,35.649,195.925,281.302,289.566,289.566,219.167,373.29,526.528,10.751,7.237,162.846,191.541,4.044,4.236,4.23,4.119,4.243,4.127,3.962,3.817,1.435,25.117,34.631,1.816,35.796,1.805,36.48,18.033,1.765,35.092,17.96,1.714,1.604,32.112,10,16.146,13.933,28.258,7.98,81.83,0.041,390.58,19.969,530.33,4.105,81.83
5.114,40.623,4,1.0,-0.042,1,67.597,5.864,8.077,1,0.182,8.077,1.725,0.869,1.638,2.398,4.727,6.843,4.186,4.788,5.004,3.929,5.06,4.078,5.076,5.333,4.097,4.017,0.894,35.57,1.683,18.173,5,18.102,19.783,12.637,1.586,1.184,1.056,2.0,1.0,0.928,0.744,0.397,32.933,0.5,17158.0,0.059,-0.031,0.023,10.436,4.281,20.676,16.908,10.266,5.28,61.316,12567.0,38.353,43.439,44.659,43.51,3.717,2.866,0.153,0.15,0.102,35.417,187.547,303.386,308.896,308.896,220.154,378.66,528.937,10.757,6.333,154.72,177.032,3.979,4.208,4.192,4.086,4.172,4.065,3.881,3.682,1.411,28.303,36.658,1.721,37.618,1.696,38.733,17.966,1.631,36.77,17.413,1.509,1.415,32.19,7,15.359,13.267,31.087,8.976,88.079,0.032,386.6,21.132,558.392,4.102,88.079
4.0,55.9,6,0.88,0.018,0,0.0,5.445,7.216,0,0.164,7.216,1.735,0.875,1.711,0.0,0.0,0.0,4.195,4.767,5.001,3.939,4.976,4.03,5.046,5.299,4.079,3.948,0.907,42.401,1.57,17.9,7,17.773,19.959,12.277,1.811,1.587,1.204,1.653,0.744,0.734,0.484,0.252,34.433,0.561,21466.0,0.05,-0.049,-0.041,10.737,4.253,20.753,15.952,11.273,6.793,62.636,15157.0,38.603,42.888,44.307,42.969,3.66,3.016,0.153,0.151,0.1,35.933,197.479,314.039,316.039,322.039,228.617,393.08,549.585,10.301,5.551,158.55,176.086,4.005,4.196,4.211,4.074,4.165,4.045,3.905,3.836,1.332,27.93,34.526,1.66,36.495,1.692,40.504,19.335,1.639,38.331,17.878,1.606,1.538,38.282,3,15.575,13.567,31.465,8.04,93.846,-0.015,402.61,23.306,601.949,4.044,93.846
4.0,58.001,7,0.88,-0.011,0,0.0,5.447,7.237,0,0.175,7.237,1.792,0.949,1.752,0.0,0.0,0.0,4.279,4.859,5.095,3.99,5.084,4.115,5.124,5.373,4.188,4.07,0.985,42.612,1.724,19.34,7,19.618,21.683,13.13,1.811,1.79,1.223,1.938,0.906,0.744,0.544,0.442,37.033,0.648,23900.0,0.049,-0.091,-0.02,11.503,4.547,22.386,17.276,12.777,7.291,68.403,17317.0,42.126,45.03,46.477,45.187,3.663,3.04,0.144,0.142,0.094,38.987,208.944,348.959,350.959,356.959,247.801,427.68,596.395,11.423,6.028,166.55,186.419,4.085,4.296,4.35,4.214,4.32,4.187,4.027,3.966,1.458,30.677,38.275,1.847,39.719,1.948,44.749,21.666,1.915,44.67,21.314,1.854,1.786,43.057,3,16.446,14.567,35.788,9.24,100.515,-0.058,430.67,25.288,654.102,4.051,100.515
4.785,57.352,9,0.75,-0.016,2,190.708,5.784,7.88,2,0.181,7.88,1.725,0.869,1.694,3.045,5.13,6.986,4.315,4.858,5.047,4.183,5.048,4.151,5.054,5.268,4.227,4.315,1.008,44.228,1.752,16.654,4,22.451,25.624,15.268,1.823,1.806,1.688,2.369,1.415,1.097,0.874,0.792,40.267,0.56,46027.0,0.066,-0.02,0.017,13.308,5.486,25.444,20.052,12.744,6.578,68.407,28788.0,43.75,56.855,57.334,56.387,3.816,3.076,0.119,0.118,0.08,41.836,249.135,351.683,357.683,361.683,258.075,440.08,621.462,12.109,7.584,207.303,237.005,4.199,4.272,4.348,4.29,4.347,4.293,4.269,4.151,1.538,28.388,36.346,1.849,34.985,2.01,42.129,18.928,1.977,40.648,18.823,1.96,1.874,40.287,5,20.071,16.733,34.164,8.821,108.226,0.028,492.64,25.986,645.333,4.092,108.226
4.678,47.83,4,0.75,0.107,2,175.916,5.784,7.88,2,0.183,7.88,1.722,0.869,1.638,3.045,5.13,6.986,4.22,4.749,4.932,4.264,4.92,4.112,4.928,5.124,4.196,4.454,0.969,38.281,1.762,14.721,3,21.037,24.617,14.268,1.819,1.804,1.531,2.293,1.278,0.938,0.799,0.744,36.667,0.614,39897.0,0.074,-0.097,-0.257,12.572,5.197,24.219,19.323,11.894,6.043,62.138,24202.0,42.614,54.297,54.802,53.686,4.173,3.04,0.126,0.124,0.083,39.727,229.679,314.896,316.896,320.896,253.159,424.92,609.468,11.323,8.116,236.782,258.916,4.251,4.274,4.374,4.266,4.388,4.28,4.374,4.262,1.544,27.919,36.481,1.825,31.311,2.064,43.825,17.286,2.043,41.176,16.932,1.96,1.978,39.371,1,19.727,16.733,33.571,8.581,105.005,-0.106,496.72,24.802,620.358,4.293,105.005
4.458,51.824,6,0.75,0.013,2,175.916,5.784,7.88,2,0.183,7.88,1.725,0.869,1.638,3.045,5.13,6.986,4.235,4.766,4.949,4.141,4.935,4.076,4.939,5.136,4.156,4.281,0.932,41.798,1.597,14.237,3,21.037,24.211,14.268,1.819,1.804,1.531,2.293,1.278,0.938,0.799,0.744,37.667,0.614,39897.0,0.066,-0.047,-0.247,12.549,5.199,23.811,18.718,11.359,5.711,62.64,24202.0,40.228,54.297,54.802,53.831,3.816,3.04,0.126,0.124,0.084,38.782,229.679,314.896,316.896,320.896,238.89,405.48,574.651,11.109,7.309,199.303,229.033,4.157,4.183,4.251,4.214,4.244,4.219,4.271,4.172,1.413,25.158,31.869,1.692,29.857,1.861,38.072,16.286,1.811,36.206,15.537,1.784,1.808,35.092,2,19.071,15.733,30.306,7.826,101.005,-0.008,464.58,24.047,593.179,4.091,101.005
4.263,55.674,7,1.0,0.11,0,0.0,5.778,7.86,0,0.178,7.86,1.803,0.937,1.774,0.0,0.0,0.0,4.216,4.729,4.916,4.103,4.927,4.161,4.987,5.222,4.163,4.262,0.939,37.895,1.727,15.752,5,20.451,23.813,14.096,1.842,1.809,1.583,2.532,1.346,1.114,1.0,1.0,36.133,0.7,37119.0,0.056,-0.177,-0.177,12.536,5.176,23.937,18.92,11.06,5.892,61.985,23016.0,41.319,54.919,55.443,54.385,3.812,2.989,0.126,0.124,0.084,39.353,219.694,297.386,304.896,308.896,244.227,417.22,587.674,11.039,8.314,191.551,219.28,4.172,4.216,4.261,4.232,4.355,4.311,4.317,4.208,1.455,23.898,29.907,1.796,32.804,1.843,32.014,13.736,1.932,31.234,15.21,2.056,2.096,39.004,3,19.186,16.067,27.657,7.011,94.833,-0.224,456.6,23.62,597.948,4.086,94.833
