pXC50,nAB,nS,nBM,Mi,nHM,AMW
5.0,23,1,24,1.113,1,8.778
5.0,23,0,23,1.111,1,8.671
5.0,22,0,23,1.128,0,6.944
5.0,12,0,13,1.13,2,12.274
5.0,17,0,19,1.135,1,8.237
5.0,12,1,17,1.115,3,11.791
5.824,16,1,19,1.136,2,10.094
5.0,26,1,26,1.119,1,9.217
5.0,30,0,32,1.114,0,7.928
6.523,20,0,20,1.135,0,7.907
5.0,17,0,18,1.136,0,6.781
5.495,18,1,20,1.134,1,7.188
5.367,22,1,24,1.109,1,8.402
5.0,18,0,20,1.144,1,9.685
7.481,17,1,18,1.134,2,8.272
5.0,16,0,16,1.141,0,6.817
5.0,16,0,17,1.135,2,10.898
6.495,24,0,25,1.118,0,7.649
5.0,11,0,14,1.138,0,7.501
5.0,15,0,16,1.134,0,7.473
5.0,23,0,26,1.124,1,8.074
5.0,23,1,24,1.123,1,7.556
5.0,22,0,24,1.124,0,7.189
6.585,17,0,21,1.134,0,7.741
5.0,21,1,22,1.14,1,8.237
5.0,11,0,15,1.133,0,6.979
5.959,22,1,23,1.123,1,8.286
5.0,16,0,18,1.123,0,7.388
5.509,17,1,20,1.151,1,10.113
4.523,23,1,23,1.121,2,9.238
4.523,23,1,23,1.122,2,8.959
4.523,23,1,23,1.125,2,8.116
4.523,23,1,23,1.125,2,8.116
4.523,23,1,23,1.122,2,8.357
4.523,23,1,23,1.121,3,9.662
4.523,23,1,23,1.123,3,9.118
4.523,23,1,23,1.121,3,8.941
4.523,23,1,23,1.124,3,8.681
4.523,23,1,23,1.127,1,7.417
4.523,23,1,23,1.122,2,8.959
4.523,23,1,23,1.124,2,8.492
4.523,23,1,23,1.124,2,7.87
4.523,23,1,24,1.127,1,7.885
4.523,23,1,24,1.125,1,7.757
4.903,23,1,24,1.126,1,7.489
5.658,23,1,24,1.129,1,7.749
5.946,23,1,24,1.127,1,8.445
6.342,23,1,24,1.128,1,8.243
5.645,23,1,24,1.122,1,8.481
4.924,23,1,24,1.124,1,8.626
4.523,23,1,24,1.123,3,10.391
4.523,23,1,24,1.118,3,10.519
5.0,22,0,23,1.141,0,7.577
5.0,16,1,18,1.139,1,8.249
5.0,10,0,12,1.142,0,7.266
5.0,22,0,23,1.129,0,8.162
5.0,23,0,23,1.127,0,8.659
6.538,24,0,25,1.112,0,8.139
5.0,30,0,32,1.113,0,7.818
5.432,17,0,17,1.133,1,8.804
5.0,15,0,15,1.138,0,7.093
5.0,29,0,30,1.139,0,8.681
5.0,24,0,26,1.121,1,9.732
5.0,18,0,18,1.13,0,7.479
5.0,23,0,23,1.116,0,8.497
5.0,17,0,18,1.129,2,8.162
5.0,10,2,11,1.131,2,7.767
5.0,26,0,29,1.116,0,7.583
5.495,17,0,19,1.135,1,8.237
5.0,20,0,20,1.137,0,8.053
5.0,22,0,22,1.121,0,7.316
5.0,12,1,15,1.15,1,8.657
7.102,18,1,20,1.109,3,9.853
5.0,12,0,14,1.118,1,8.372
5.0,23,0,24,1.114,0,8.543
5.0,11,0,13,1.136,2,9.102
5.0,17,1,22,1.121,3,8.333
5.0,22,0,24,1.14,0,7.833
6.444,18,0,19,1.142,0,8.255
5.0,22,1,24,1.132,1,8.103
5.0,23,0,25,1.124,0,7.574
5.0,21,0,21,1.132,0,7.509
5.0,15,0,16,1.143,0,7.337
5.0,18,1,20,1.135,2,7.491
5.0,12,0,14,1.14,0,6.776
5.0,20,2,22,1.131,2,8.286
5.0,16,0,18,1.137,0,7.85
5.0,17,0,18,1.124,0,7.777
5.0,11,0,14,1.138,0,7.117
5.0,17,0,18,1.125,0,7.567
5.0,28,1,30,1.121,2,8.805
5.0,27,0,27,1.161,0,9.782
5.252,17,1,18,1.136,1,7.617
5.0,18,0,19,1.126,0,7.324
5.0,21,0,21,1.122,0,8.295
5.62,18,0,19,1.152,0,7.789
5.0,25,1,26,1.127,1,7.788
6.42,17,0,17,1.136,2,8.661
5.0,17,0,20,1.131,1,8.357
5.0,21,0,22,1.118,1,8.947
5.0,20,0,23,1.121,0,7.438
5.0,17,0,17,1.136,1,8.126
5.0,24,0,25,1.128,0,7.26
