pXC50,Se,MW,Si,nSK,nAT,Sv,nBO,Sp,nHet,SCBO,nBT
5.0,43.407,377.47,47.87,27,43,30.037,30,31.387,6,42.5,46
5.412,40.033,346.84,44.428,25,40,28.074,28,29.449,5,39.5,43
6.699,75.629,527.73,85.763,39,76,46.68,43,49.574,8,55.0,80
5.0,40.345,478.68,44.081,25,39,27.598,27,29.404,8,34.0,41
4.398,51.08,409.45,56.409,30,50,33.048,33,33.625,8,44.0,53
6.2,72.72,573.78,81.6,42,73,48.373,47,51.279,9,64.5,78
4.0,29.698,349.22,31.838,20,29,21.792,22,22.966,6,31.0,31
5.0,60.047,485.99,66.971,34,59,38.257,37,39.563,10,47.5,62
4.0,32.051,251.31,35.78,19,32,21.413,21,22.279,4,29.5,34
5.0,38.8,436.28,41.268,28,37,29.022,31,29.517,9,42.0,40
6.155,42.898,413.86,46.573,27,41,28.677,29,29.091,10,40.0,43
5.0,39.44,359.45,43.654,26,39,27.917,30,28.972,8,43.0,43
5.0,74.531,586.69,82.438,44,74,49.508,52,51.193,9,69.0,82
5.602,39.356,308.38,44.275,23,39,25.477,26,26.296,7,36.0,42
4.0,48.098,401.53,53.527,29,48,32.697,33,34.461,7,45.0,52
5.0,82.825,562.79,94.301,41,83,49.47,45,52.557,10,54.5,87
5.0,72.923,524.76,82.766,37,73,44.362,40,47.466,10,51.0,76
5.0,45.996,386.51,51.029,28,46,31.675,31,33.455,6,44.0,49
6.602,50.32,464.86,54.906,32,48,33.422,34,33.148,11,45.0,50
4.0,25.174,220.25,27.824,17,25,18.139,19,18.546,4,29.0,27
5.0,59.603,488.07,66.923,33,59,37.862,36,40.068,11,45.5,62
4.0,27.167,213.26,30.365,16,27,17.886,17,18.517,4,24.0,28
5.0,51.774,354.51,59.351,26,52,31.111,28,33.103,7,36.0,54
5.0,43.64,457.71,47.653,27,42,29.154,29,29.864,10,38.0,44
6.721,61.109,466.58,68.189,35,61,40.025,42,41.762,7,55.0,68
4.0,34.043,275.34,38.152,21,34,23.214,24,24.074,5,34.5,37
4.0,34.051,275.33,37.78,21,34,23.413,24,24.279,4,34.5,37
4.0,27.276,235.27,30.322,18,27,19.161,21,19.551,5,31.0,30
5.0,59.832,442.54,67.153,32,59,36.65,35,37.915,9,43.5,62
7.056,48.087,432.5,52.614,31,47,33.094,35,33.852,10,50.5,51
5.0,40.912,306.41,46.481,23,41,26.289,26,27.603,6,35.5,44
5.0,69.52,557.1,77.544,40,69,45.422,43,47.392,10,58.5,72
4.0,48.912,371.47,54.651,28,49,32.235,31,33.779,5,42.0,52
4.7,48.912,371.47,54.651,28,49,32.235,31,33.779,5,42.0,52
5.0,65.618,498.71,74.102,36,66,42.352,40,45.273,8,52.5,70
5.0,66.65,481.65,75.308,36,67,42.385,40,44.836,7,53.0,71
7.06,83.418,634.74,92.987,46,82,52.097,51,53.569,12,63.5,87
5.0,67.265,543.67,75.247,38,66,42.722,42,44.296,11,53.5,70
5.0,65.752,460.64,74.806,34,66,40.406,37,42.841,8,47.5,69
5.0,58.956,480.59,65.112,34,58,38.115,37,39.557,10,49.0,61
5.0,44.803,332.44,50.524,25,45,29.015,28,30.569,5,38.0,48
