pXC50,nCsp,C.,nHet,O.,nBO,nSK
5.301,0,48.8,6,2.3,30,27
5.0,0,50.0,5,0.0,28,25
7.352,0,40.8,8,3.9,43,39
5.0,0,43.6,8,5.1,27,25
5.0,0,40.7,10,5.1,37,34
5.0,0,51.4,9,2.7,31,28
5.387,0,41.5,10,7.3,29,27
5.0,0,46.2,8,0.0,30,26
5.0,0,47.3,9,6.8,52,44
5.215,0,41.0,7,2.6,26,23
5.0,0,37.3,10,4.8,45,41
6.022,0,37.0,10,4.1,40,37
5.276,0,47.8,6,2.2,31,28
8.18,0,43.8,11,6.3,34,32
7.932,0,37.3,11,3.4,36,33
5.0,0,36.5,7,1.9,28,26
5.0,0,40.5,10,7.1,29,27
7.377,0,45.9,7,4.9,42,35
8.585,0,42.6,10,4.4,43,39
8.155,0,42.6,10,4.4,43,39
5.002,0,39.0,9,6.8,35,32
5.0,1,41.5,6,0.0,26,23
5.0,1,43.5,10,4.3,43,40
7.585,0,42.4,8,1.5,40,36
7.377,0,43.3,7,3.0,40,36
8.444,0,41.5,12,7.3,51,46
5.0,0,40.9,11,3.0,42,38
7.0,1,39.4,8,3.0,37,34
7.056,0,41.4,10,8.6,37,34
5.678,0,44.4,5,2.2,28,25
5.0,0,38.5,12,7.7,29,27
5.155,0,36.2,11,4.3,38,36
5.09,0,38.8,11,4.5,40,37
6.281,0,45.3,9,1.9,37,33
5.0,1,37.2,7,2.3,25,23
5.42,0,45.7,7,2.2,31,28
5.0,0,45.0,8,5.0,29,26
6.398,0,48.1,7,7.4,40,33
5.0,0,47.9,8,5.5,51,43
7.764,0,45.9,8,1.6,40,36
6.748,0,46.6,9,1.7,40,36
6.34,0,46.6,8,1.7,39,35
6.0,2,50.0,5,2.2,31,28
5.0,0,42.6,9,7.4,35,32
6.767,0,45.3,6,3.8,34,30
6.936,2,49.0,5,2.0,32,29
6.0,2,50.0,6,2.2,32,29
6.998,2,43.9,10,1.5,43,39
7.431,2,43.9,7,1.5,40,36
6.987,2,44.4,8,1.6,40,36
6.903,2,43.3,8,3.0,41,37
6.11,2,45.2,10,3.2,42,38
6.67,2,45.3,9,1.6,42,38
6.882,2,45.9,9,1.6,41,37
6.994,2,43.5,10,1.4,44,40
6.763,2,44.4,11,1.6,43,39
7.028,2,44.4,10,1.6,42,38
6.0,2,48.9,6,4.3,32,29
6.0,2,51.2,6,2.3,31,28
6.0,2,51.2,6,2.3,31,28
7.132,2,50.0,8,2.2,34,31
6.0,2,50.0,8,2.2,34,31
6.0,2,47.2,6,3.8,34,31
6.0,2,47.1,6,2.0,33,30
6.0,2,50.0,7,2.0,36,32
5.644,2,49.1,7,1.9,37,33
6.0,2,44.4,7,1.6,39,35
6.0,2,45.2,5,2.4,26,24
6.0,2,44.4,5,2.2,27,25
6.0,2,44.4,5,2.2,27,25
6.0,2,44.9,5,2.0,30,27
6.0,2,45.7,5,2.2,29,26
6.0,2,51.2,5,2.3,30,27
6.0,2,50.0,5,2.2,31,28
6.0,2,50.0,5,2.2,31,28
6.0,2,51.2,6,2.3,31,28
6.0,2,51.2,6,2.3,31,28
6.0,2,51.2,6,2.3,31,28
6.0,2,48.9,6,4.3,32,29
6.0,2,48.9,6,4.3,32,29
6.495,0,40.7,8,3.7,33,30
5.0,0,38.9,5,0.0,21,19
8.284,0,45.9,11,1.6,43,39
5.0,0,51.0,9,4.1,38,34
5.0,0,40.8,7,6.1,29,27
5.796,0,51.3,5,2.6,28,25
6.854,1,40.0,10,4.6,39,36
5.0,0,34.7,8,4.1,27,25
5.0,0,47.1,7,2.9,45,39
5.0,0,40.7,10,5.1,37,34
5.0,0,41.3,8,6.5,30,27
5.0,0,44.9,5,2.0,30,27
5.0,0,35.3,12,7.8,32,30
7.921,0,46.7,8,2.2,32,29
5.0,0,43.8,7,10.4,31,28
5.0,0,48.9,7,6.7,33,29
5.0,0,38.1,9,4.8,27,25
5.119,0,41.6,11,5.2,48,43
5.0,0,39.7,12,4.4,43,39
7.367,0,38.6,12,8.8,37,34
7.009,0,38.9,10,3.7,34,31
5.0,0,43.5,8,4.8,38,35
7.319,0,41.7,8,5.0,37,33
5.0,2,36.2,10,5.2,34,31
5.387,0,36.6,12,3.7,46,42
5.0,0,36.4,10,3.9,42,38
7.086,0,41.9,10,2.3,31,28
5.0,0,37.1,12,4.8,40,35
5.033,0,42.0,8,2.0,33,29
5.0,0,44.2,6,4.7,28,25
5.269,0,39.3,7,3.6,31,29
5.0,2,42.3,7,7.7,31,29
5.0,0,43.9,11,6.1,44,40
6.018,0,45.3,13,1.9,41,37
6.638,0,37.7,10,1.6,37,33
5.0,0,43.1,6,2.0,31,28
5.0,0,45.2,7,7.1,30,26
7.959,0,38.2,12,2.9,41,38
5.959,0,40.3,11,5.6,45,40
5.0,0,40.4,9,1.9,33,30
5.0,1,42.9,9,3.6,35,33
5.0,0,46.3,7,4.9,29,26
5.0,0,44.4,7,4.8,40,35
5.0,0,40.0,9,5.5,34,31
6.851,0,42.6,8,1.5,41,37
