pXC50,Mp,AMW,C.,H.,Me,Mi,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR
6.796,0.66,6.522,43.9,51.2,0.982,1.119,0.61,267.4,2.4,12,41,0,12,22,0
10.046,0.686,8.285,40.7,44.4,1.008,1.127,0.647,447.4,7.4,17,54,0,17,33,0
9.796,0.644,8.449,40.7,40.7,1.039,1.163,0.643,498.52,6.8,17,59,0,17,38,0
9.824,0.64,8.349,42.0,42.0,1.04,1.163,0.638,417.43,2.0,12,50,0,12,31,0
9.041,0.694,7.962,43.2,47.7,0.995,1.117,0.641,350.31,2.3,12,44,0,12,25,0
7.066,0.655,6.396,43.2,52.3,0.981,1.12,0.603,281.43,2.3,12,44,0,12,23,0
8.824,0.654,7.078,40.9,47.7,0.998,1.128,0.619,311.42,6.8,12,44,0,14,24,0
5.538,0.648,6.975,40.2,48.7,0.998,1.129,0.612,816.11,6.0,22,117,0,28,66,0
5.503,0.646,7.052,39.8,48.3,1.001,1.13,0.613,832.11,5.9,22,118,0,28,67,0
8.0,0.684,7.287,44.6,47.7,0.991,1.112,0.635,473.68,1.5,18,65,0,20,38,0
5.0,0.666,6.547,44.8,50.7,0.98,1.117,0.615,438.66,3.0,15,67,0,16,39,0
6.699,0.652,6.413,41.8,52.2,0.982,1.125,0.6,429.66,4.5,15,67,0,15,38,0
5.0,0.666,6.547,44.8,50.7,0.98,1.117,0.615,438.66,3.0,15,67,0,16,39,0
5.0,0.663,6.671,43.5,50.0,0.984,1.121,0.615,413.61,4.8,15,62,0,16,37,0
6.745,0.662,6.575,43.5,50.7,0.982,1.121,0.612,453.68,4.3,15,69,0,16,40,0
7.62,0.665,6.661,43.9,50.0,0.983,1.12,0.616,439.65,4.5,15,66,0,16,39,0
5.602,0.639,6.576,39.8,51.8,0.991,1.128,0.596,545.79,3.6,15,83,0,16,46,0
5.0,0.695,7.587,46.2,42.3,0.994,1.121,0.66,197.26,11.5,15,26,0,15,17,0
5.0,0.654,6.633,42.0,50.7,0.987,1.124,0.608,457.67,4.3,15,69,0,16,40,0
7.066,0.657,6.495,42.6,51.5,0.982,1.123,0.606,441.67,4.4,15,68,0,16,39,0
5.538,0.649,6.338,41.4,52.9,0.981,1.125,0.596,443.69,4.3,15,70,0,15,39,0
8.174,0.676,6.962,46.0,47.6,0.988,1.115,0.633,438.61,3.2,18,63,0,20,37,0
6.0,0.639,7.476,37.4,45.8,1.014,1.137,0.618,799.98,8.4,23,107,0,28,62,0
6.0,0.64,7.557,37.5,45.2,1.016,1.137,0.621,785.95,8.7,23,104,0,28,61,0
6.0,0.64,7.557,37.5,45.2,1.016,1.137,0.621,785.95,8.7,23,104,0,28,61,0
6.0,0.64,7.476,37.1,45.7,1.014,1.139,0.618,784.97,9.5,23,105,0,28,61,0
6.0,0.627,7.066,35.8,49.1,1.008,1.14,0.599,374.49,7.5,11,53,0,13,28,0
6.0,0.627,7.094,36.2,48.9,1.01,1.138,0.6,333.43,6.4,11,47,0,12,25,0
5.141,0.679,7.062,44.8,46.6,0.987,1.122,0.636,409.58,8.6,21,58,0,23,35,0
6.0,0.648,6.349,41.5,52.8,0.981,1.125,0.596,336.52,3.8,12,53,0,12,28,0
5.0,0.661,6.358,43.5,52.2,0.977,1.121,0.605,292.46,4.3,12,46,0,12,25,0
6.004,0.671,6.789,45.8,49.2,0.985,1.121,0.624,400.58,3.4,18,59,0,18,34,0
5.143,0.682,6.953,45.2,50.0,0.98,1.116,0.625,431.06,3.2,18,62,0,18,35,0
4.0,0.682,8.637,34.4,43.8,1.019,1.131,0.642,552.77,9.4,12,64,0,18,38,0
7.495,0.665,6.55,44.4,50.8,0.981,1.118,0.614,412.62,3.2,18,63,0,18,35,0
4.0,0.682,8.637,34.4,43.8,1.019,1.131,0.642,552.77,9.4,12,64,0,18,38,0
5.959,0.654,6.922,41.3,48.8,0.994,1.127,0.615,553.77,6.3,22,80,0,24,45,0
4.0,0.689,8.061,42.4,42.4,1.007,1.122,0.656,475.62,8.5,18,59,0,22,37,0
7.583,0.633,7.481,38.0,46.6,1.017,1.146,0.613,1219.48,6.1,28,163,0,36,92,0
7.735,0.632,7.431,38.0,47.0,1.016,1.146,0.611,1233.51,6.0,28,166,0,36,93,0
6.632,0.635,7.197,38.1,48.1,1.009,1.14,0.608,1151.48,6.3,28,160,0,36,88,0
6.273,0.633,6.931,37.6,49.7,1.003,1.135,0.6,1143.54,6.1,28,165,0,36,88,0
8.464,0.64,7.686,37.9,46.0,1.019,1.145,0.618,1237.52,6.2,28,161,0,36,92,0
5.0,0.655,6.396,43.2,52.3,0.981,1.12,0.603,281.43,2.3,12,44,0,12,23,0
7.268,0.619,6.974,33.0,50.8,1.007,1.145,0.586,1373.9,9.1,12,197,0,26,101,0
7.553,0.619,6.974,33.0,50.8,1.007,1.145,0.586,1373.9,9.1,12,197,0,26,101,0
8.509,0.619,6.974,33.0,50.8,1.007,1.145,0.586,1373.9,9.1,12,197,0,26,101,0
9.222,0.619,6.974,33.0,50.8,1.007,1.145,0.586,1373.9,9.1,12,197,0,26,101,0
5.553,0.619,6.974,33.0,50.8,1.007,1.145,0.586,1373.9,9.1,12,197,0,26,101,0
7.502,0.611,7.129,31.4,50.3,1.014,1.148,0.584,1133.51,8.8,11,159,0,22,80,0
6.873,0.654,9.263,43.1,35.3,1.058,1.161,0.672,472.42,3.9,16,51,0,18,35,0
4.602,0.633,7.199,35.2,49.3,1.008,1.138,0.6,1634.22,7.0,24,227,0,39,120,0
4.481,0.633,7.199,35.2,49.3,1.008,1.138,0.6,1634.22,7.0,24,227,0,39,120,0
6.222,0.634,7.184,36.0,48.6,1.008,1.138,0.604,1774.36,8.1,34,247,0,50,134,0
5.398,0.628,7.122,34.7,49.3,1.007,1.142,0.597,1517.05,8.9,26,213,0,40,114,0
4.921,0.628,7.121,35.2,49.4,1.009,1.14,0.598,1659.21,7.3,24,233,0,40,123,0
