pXC50,N.,SCBO,Sv,X.,nH,nX,nF,nBM,nSK,Se,nC,nBT,nAT,Si,MW,C.,O.,nHet,nCsp2
5.27,3.1,46.0,39.804,0.0,32,0,0,17,33,64.767,27,69,65,73.062,448.61,41.5,6.2,6,15
6.3,2.8,57.0,45.519,0.0,32,0,0,24,39,71.094,32,76,71,79.272,524.66,45.1,7.0,7,23
5.95,3.3,51.0,39.224,0.0,26,0,0,23,34,60.116,28,65,60,66.817,454.56,46.7,6.7,6,21
5.62,3.4,44.0,37.223,0.0,28,0,0,17,31,58.749,25,63,59,65.942,436.62,42.4,5.1,6,15
5.21,7.7,45.5,33.971,0.0,22,0,0,21,30,52.342,23,57,52,58.358,402.49,44.2,5.8,7,16
5.95,3.5,47.0,36.794,0.0,26,0,0,22,31,56.461,27,62,57,63.398,410.55,47.4,3.5,4,20
5.71,3.8,42.0,34.169,0.0,24,0,0,17,29,52.982,23,57,53,59.112,408.56,43.4,5.7,6,15
5.51,3.6,43.0,35.224,0.0,26,0,0,17,30,56.116,24,60,56,62.817,406.52,42.9,7.1,6,15
4.55,2.9,47.0,41.331,0.0,34,0,0,17,34,67.65,28,72,68,76.477,462.64,41.2,5.9,6,15
4.66,3.4,11.0,14.929,0.0,18,0,0,0,11,28.767,8,29,29,33.446,160.27,27.6,6.9,3,0
5.32,4.1,41.0,32.283,2.0,21,1,0,17,28,49.345,22,53,49,54.721,396.9,44.9,6.1,6,15
5.27,4.1,41.0,32.283,2.0,21,1,0,17,28,49.345,22,53,49,54.721,396.9,44.9,6.1,6,15
5.44,3.8,42.0,33.697,0.0,24,0,0,17,29,53.232,23,57,53,59.401,392.49,43.4,7.5,6,15
5.51,3.4,44.0,36.75,0.0,28,0,0,17,31,59.0,25,63,59,66.232,420.55,42.4,6.8,6,15
6.32,2.9,54.0,43.804,0.0,32,0,0,23,37,68.767,31,74,69,77.062,496.65,44.9,5.8,6,21
5.47,3.2,45.0,38.277,0.0,30,0,0,17,32,61.883,26,66,62,69.647,434.58,41.9,6.5,6,15
4.71,5.3,43.0,35.53,0.0,27,0,0,17,30,56.891,24,61,57,64.106,405.54,42.1,5.3,6,15
5.6,3.4,44.0,36.75,0.0,28,0,0,17,31,59.0,25,63,59,66.232,420.55,42.4,6.8,6,15
5.43,3.6,43.0,35.224,0.0,26,0,0,17,30,56.116,24,60,56,62.817,406.52,42.9,7.1,6,15
5.6,3.4,44.0,36.75,0.0,28,0,0,17,31,59.0,25,63,59,66.232,420.55,42.4,6.8,6,15
4.55,4.0,41.0,32.17,0.0,22,0,0,17,28,50.349,22,54,50,55.986,378.46,44.0,8.0,6,15
5.2,4.3,35.0,30.147,6.4,21,3,2,13,26,47.6,20,49,47,53.397,378.88,42.6,2.1,6,13
5.3,4.5,33.0,28.236,4.5,20,2,1,13,24,44.203,19,46,44,49.642,346.86,43.2,2.3,5,13
5.8,4.8,34.0,27.71,4.8,18,2,1,14,24,42.32,19,44,42,47.227,344.84,45.2,2.4,5,15
6.1,4.3,33.0,29.38,2.1,23,1,0,13,24,46.574,20,49,47,52.717,342.9,42.6,2.1,4,13
5.0,7.5,30.5,26.008,2.5,18,1,0,12,22,40.102,16,42,40,44.89,335.89,40.0,2.5,6,10
6.3,4.3,34.0,29.763,4.3,22,2,1,13,25,47.087,20,49,47,53.057,360.89,42.6,2.1,5,13
5.0,4.3,33.0,29.38,2.1,23,1,0,13,24,46.574,20,49,47,52.717,342.9,42.6,2.1,4,13
5.0,4.5,32.0,27.853,2.3,21,1,0,13,23,43.691,19,46,44,49.302,328.87,43.2,2.3,4,13
6.081,6.5,38.0,30.791,13.0,17,6,5,13,29,48.356,19,48,46,53.499,433.84,41.3,2.2,10,13
5.0,6.0,35.0,31.116,2.0,24,1,0,13,26,50.003,20,52,50,56.425,373.92,40.0,4.0,6,13
5.387,6.1,37.0,31.551,8.2,21,4,3,13,28,50.214,20,51,49,56.235,411.89,40.8,2.0,8,13
5.387,5.8,41.0,34.228,13.5,20,7,6,13,32,54.636,21,54,52,60.669,479.89,40.4,1.9,11,13
5.0,5.8,41.0,34.228,13.5,20,7,6,13,32,54.636,21,54,52,60.669,479.89,40.4,1.9,11,13
7.987,1.9,27.0,29.638,0.0,31,0,0,6,22,51.683,20,55,53,59.936,301.52,37.7,1.9,2,6
5.886,6.0,35.0,31.116,2.0,24,1,0,13,26,50.003,20,52,50,56.425,373.92,40.0,4.0,6,13
