pXC50,nHet,nO,RBF,Mi,nN,nAT
4.377,4,0,0.069,1.099,3,27.0
4.254,8,6,0.023,1.119,2,82.0
5.0,5,2,0.119,1.106,2,40.0
4.254,2,0,0.0,1.106,2,33.0
4.377,2,0,0.067,1.115,2,43.0
4.254,6,4,0.235,1.132,2,80.0
4.377,6,3,0.137,1.116,2,49.0
4.377,5,1,0.053,1.122,4,52.0
4.254,9,3,0.088,1.122,4,54.0
4.377,5,2,0.049,1.116,3,38.0
4.254,9,3,0.083,1.123,4,57.0
4.254,6,4,0.1,1.117,1,39.0
4.359,8,2,0.065,1.143,5,43.0
4.377,4,0,0.022,1.117,4,42.0
4.377,6,2,0.115,1.122,3,49.0
4.377,5,2,0.103,1.123,2,38.0
4.377,10,6,0.159,1.13,3,43.0
4.377,5,1,0.077,1.13,4,36.0
4.377,6,3,0.162,1.124,2,36.0
4.767,9,3,0.133,1.133,4,44.0
4.377,8,5,0.209,1.126,2,42.0
4.254,9,3,0.079,1.124,4,60.0
4.254,6,3,0.14,1.123,2,49.0
5.033,9,4,0.136,1.131,4,21.0
4.377,6,2,0.081,1.115,3,34.0
4.377,6,2,0.093,1.134,4,52.0
4.299,6,1,0.136,1.11,4,42.0
4.377,4,0,0.026,1.128,4,35.0
4.377,8,1,0.098,1.128,6,47.0
4.377,5,1,0.056,1.124,2,52.0
4.377,4,0,0.089,1.127,4,42.0
4.854,8,3,0.106,1.109,3,45.0
4.377,7,6,0.171,1.127,1,40.0
4.986,10,7,0.188,1.144,3,32.0
4.854,5,2,0.075,1.112,2,38.0
4.377,8,5,0.1,1.12,2,57.0
4.805,7,4,0.139,1.121,2,35.0
4.377,5,1,0.114,1.137,3,33.0
4.377,5,1,0.082,1.101,3,45.0
4.377,4,1,0.094,1.126,3,30.0
4.361,7,0,0.077,1.123,5,36.0
4.377,6,1,0.116,1.137,5,41.0
4.254,8,2,0.075,1.103,3,37.0
4.708,4,2,0.109,1.108,2,44.0
4.254,9,3,0.083,1.123,4,57.0
4.377,7,2,0.148,1.106,2,26.0
4.854,11,4,0.077,1.122,4,49.0
4.377,6,2,0.071,1.107,2,39.0
4.377,8,2,0.114,1.123,4,42.0
4.377,10,3,0.146,1.115,4,46.0
4.377,7,5,0.154,1.124,2,50.0
4.377,9,3,0.096,1.107,3,49.0
4.377,10,4,0.129,1.155,6,30.0
4.867,6,1,0.154,1.113,3,25.0
4.377,5,2,0.121,1.12,2,32.0
7.184,52,22,0.234,1.15,30,330.0
5.34,5,0,0.086,1.128,5,55.0
5.963,6,1,0.107,1.129,5,53.0
5.179,9,1,0.107,1.149,5,53.0
5.471,8,1,0.107,1.142,5,53.0
5.382,8,1,0.107,1.142,5,53.0
5.433,7,2,0.102,1.128,5,55.0
5.063,7,1,0.107,1.136,5,53.0
5.469,7,1,0.091,1.132,6,62.0
6.032,7,2,0.123,1.131,5,54.0
5.095,7,2,0.123,1.131,5,54.0
4.903,9,2,0.127,1.143,5,60.0
6.114,9,2,0.127,1.143,5,60.0
5.975,10,2,0.127,1.149,5,60.0
5.757,7,2,0.127,1.132,5,60.0
6.26,10,2,0.127,1.149,5,60.0
5.717,11,1,0.081,1.15,7,70.0
5.682,10,0,0.066,1.149,7,72.0
5.693,12,1,0.081,1.155,7,70.0
6.252,11,0,0.068,1.154,7,69.0
