pXC50,MW,nBO,Sv,nSK,SCBO,Sp,nCsp,nTB,Se
4.0,502.67,40,43.847,37,51.0,46.262,0,0,70.97
4.0,502.67,40,43.847,37,51.0,46.262,0,0,70.97
5.2,458.61,37,40.078,34,48.0,42.284,0,0,63.876
5.0,501.69,40,44.153,37,51.0,46.813,0,0,71.745
4.0,431.58,34,38.057,32,45.0,40.279,0,0,60.774
4.0,438.5,32,34.702,31,40.0,35.336,0,0,57.53
5.541,549.73,45,48.153,41,59.0,50.813,0,0,75.745
4.0,504.64,40,43.035,37,51.0,44.955,0,0,69.414
4.0,417.55,33,36.53,31,44.0,38.517,0,0,57.891
8.0,459.41,34,35.965,31,43.5,38.023,0,0,55.429
4.0,452.53,33,36.228,32,41.0,37.097,0,0,60.414
5.523,497.06,39,41.101,35,48.0,43.387,1,1,65.269
5.523,497.06,39,41.101,35,48.0,43.387,1,1,65.269
5.523,557.7,44,46.311,40,53.0,48.177,1,1,75.908
5.523,467.03,36,38.86,33,46.0,41.171,1,1,61.058
5.523,532.64,41,43.477,38,50.0,44.864,1,1,71.25
5.523,512.55,40,40.37,37,52.0,40.819,1,1,62.716
5.523,518.61,40,41.95,37,49.0,43.103,1,1,68.367
5.523,497.06,39,41.101,35,48.0,43.387,1,1,65.269
5.523,497.06,39,41.101,35,48.0,43.387,1,1,65.269
6.0,392.58,35,36.891,30,46.5,39.91,0,0,56.69
5.0,406.61,36,38.418,31,47.5,41.671,0,0,59.574
4.824,420.64,37,39.945,32,48.5,43.432,0,0,62.458
4.222,406.56,36,37.079,31,48.5,39.603,0,0,56.134
4.222,421.58,37,38.101,32,49.5,40.608,0,0,58.236
7.0,364.52,33,33.838,28,44.5,36.387,0,0,50.923
7.155,406.56,36,37.079,31,48.5,39.603,0,0,56.134
8.398,435.61,38,39.627,33,50.5,42.37,0,0,61.12
6.523,422.56,37,37.794,32,49.5,40.057,0,0,57.461
6.699,442.62,37,37.981,32,50.5,40.705,0,0,57.538
8.398,407.55,36,36.574,31,48.5,38.847,0,0,55.352
7.0,420.59,37,38.606,32,49.5,41.364,0,0,59.018
7.523,410.6,36,38.133,31,46.5,41.125,0,0,59.901
6.699,410.6,36,38.133,31,46.5,41.125,0,0,59.901
8.0,382.54,34,35.079,29,44.5,37.603,0,0,54.134
7.097,382.54,34,35.079,29,44.5,37.603,0,0,54.134
6.824,426.6,37,38.848,32,47.5,41.58,0,0,61.229
7.0,467.66,40,42.396,35,51.5,45.347,0,0,67.214
6.602,451.66,39,41.681,34,50.5,44.893,0,0,65.887
10.0,451.66,39,41.681,34,50.5,44.893,0,0,65.887
7.886,423.6,37,38.627,32,48.5,41.37,0,0,60.12
10.0,423.6,37,38.627,32,48.5,41.37,0,0,60.12
6.602,426.6,37,38.848,32,47.5,41.58,0,0,61.229
8.097,439.6,38,39.342,33,49.5,41.824,0,0,61.447
8.0,441.59,38,39.011,33,49.5,41.307,0,0,60.632
9.0,458.04,38,39.455,33,49.5,42.228,0,0,60.443
8.0,502.49,38,39.653,33,49.5,42.722,0,0,60.349
6.169,491.6,41,41.304,36,52.5,42.944,0,0,64.541
7.886,466.63,40,41.364,35,52.5,43.83,0,0,64.549
8.347,461.43,33,36.492,31,42.5,38.784,0,0,57.312
8.0,502.59,39,40.755,36,48.5,41.858,0,0,66.298
8.06,448.38,32,34.658,30,41.5,36.472,0,0,53.654
8.0,456.51,36,36.46,33,46.5,37.12,0,0,57.32
8.201,528.63,42,43.282,38,51.5,44.62,0,0,70.181
8.076,458.53,35,36.987,33,45.5,37.881,0,0,59.203
8.0,476.39,34,36.373,32,44.5,37.926,0,0,55.982
8.149,476.55,36,38.228,34,45.5,39.097,0,0,62.414
8.432,445.38,33,34.438,30,42.5,36.262,0,0,52.545
5.523,521.48,39,41.492,36,52.0,43.784,1,1,62.312
