pXC50,nH,Sv,nBT,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO
4.0,51,43.906,82,5.242,35.4,62.2,0.97,1.135,0.604,0.535,429.81,1.2,0,82,0,4,31
6.796,27,34.818,57,8.354,41.8,49.1,0.988,1.116,0.698,0.633,459.49,3.6,16,55,0,17,30
4.692,27,34.818,57,8.354,41.8,49.1,0.988,1.116,0.698,0.633,459.49,3.6,16,55,0,17,30
8.102,31,36.685,62,7.591,41.7,51.7,0.984,1.121,0.671,0.611,455.48,3.3,12,60,0,14,31
8.268,28,33.851,56,7.826,41.8,50.9,0.988,1.119,0.671,0.615,430.42,1.8,12,55,0,14,28
8.06,27,33.346,55,7.989,40.7,50.0,0.992,1.123,0.67,0.618,431.41,3.7,12,54,0,14,28
7.498,30,35.378,60,7.663,41.4,51.7,0.987,1.12,0.667,0.61,444.45,1.7,12,58,0,13,30
7.804,30,35.093,59,7.732,39.7,51.7,0.993,1.124,0.658,0.605,448.44,1.7,12,58,0,13,29
8.337,30,36.093,60,7.804,40.7,50.8,0.993,1.122,0.663,0.612,460.45,1.7,12,59,0,14,30
8.387,29,35.873,60,7.887,41.4,50.0,0.991,1.122,0.671,0.618,457.45,3.4,12,58,0,14,31
8.201,28,34.566,57,7.972,41.1,50.0,0.994,1.121,0.668,0.617,446.42,1.8,12,56,0,14,29
5.638,30,36.179,61,7.737,40.7,50.8,0.987,1.125,0.669,0.613,456.47,5.1,16,59,0,17,31
7.943,30,36.378,61,7.737,42.4,50.8,0.987,1.118,0.673,0.617,456.46,1.7,12,59,0,14,31
8.208,30,36.565,60,8.077,40.7,50.8,0.988,1.117,0.684,0.62,476.52,1.7,12,59,0,14,30
8.252,28,35.324,58,8.187,42.9,50.0,0.984,1.112,0.699,0.631,458.5,1.8,16,56,0,17,30
8.387,31,36.4,61,7.658,40.0,51.7,0.989,1.125,0.662,0.607,459.47,3.3,12,60,0,14,30
5.434,31,23.638,46,4.882,29.8,66.0,0.972,1.148,0.572,0.503,229.46,2.1,0,47,0,0,15
4.896,31,35.154,61,6.4,40.7,52.5,0.983,1.127,0.646,0.596,377.58,5.1,17,59,0,17,30
5.851,23,28.848,49,6.84,40.4,48.9,0.989,1.133,0.657,0.614,321.47,10.6,17,47,0,17,26
4.451,29,35.342,60,6.751,41.4,50.0,0.99,1.126,0.652,0.609,391.56,5.2,17,58,0,18,31
4.231,29,35.342,60,6.751,41.4,50.0,0.99,1.126,0.652,0.609,391.56,5.2,17,58,0,18,31
6.339,21,24.004,41,6.385,42.5,52.5,0.982,1.121,0.652,0.6,255.39,2.5,12,40,0,12,20
8.352,27,34.037,56,7.345,41.8,49.1,0.999,1.128,0.661,0.619,403.96,1.8,12,55,0,14,29
6.845,26,34.212,58,7.538,38.2,47.3,1.003,1.129,0.662,0.622,414.58,7.3,12,55,0,15,32
4.745,48,43.358,79,5.377,38.0,60.8,0.969,1.129,0.617,0.549,424.78,0.0,0,79,0,6,31
4.0,52,45.412,84,5.248,36.9,61.9,0.968,1.131,0.61,0.541,440.83,0.0,0,84,0,5,32
4.155,38,33.724,62,5.332,37.1,61.3,0.97,1.131,0.612,0.544,330.61,0.0,0,62,0,4,24
4.824,40,36.251,66,5.404,37.9,60.6,0.97,1.129,0.616,0.549,356.65,0.0,0,66,0,5,26
5.301,50,44.885,82,5.351,37.8,61.0,0.969,1.129,0.616,0.547,438.81,0.0,0,82,0,6,32
5.824,40,36.251,66,5.404,37.9,60.6,0.97,1.129,0.616,0.549,356.65,0.0,0,66,0,5,26
4.967,24,31.267,52,6.97,44.0,48.0,0.992,1.12,0.666,0.625,348.48,4.0,17,50,0,18,28
5.506,20,26.348,43,7.568,40.5,47.6,0.998,1.128,0.671,0.627,317.85,7.1,12,42,0,13,23
5.86,19,27.176,44,7.823,41.9,44.2,1.021,1.148,0.649,0.632,336.39,4.7,12,43,0,13,25
5.323,19,28.466,45,7.756,46.5,44.2,0.987,1.11,0.715,0.662,333.49,7.0,18,43,0,19,26
5.299,27,39.002,64,7.627,45.0,45.0,0.994,1.114,0.695,0.65,457.64,5.0,17,60,0,20,37
8.0,33,36.443,63,6.791,37.1,53.2,0.994,1.132,0.636,0.588,421.03,3.2,6,62,0,8,30
8.108,33,35.729,62,6.64,37.7,54.1,0.989,1.131,0.639,0.586,405.03,3.3,6,61,0,8,29
7.896,33,36.293,64,6.834,34.9,52.4,1.012,1.154,0.605,0.576,430.57,3.2,6,63,0,7,31
7.951,35,38.007,67,7.04,33.3,53.0,1.011,1.152,0.614,0.576,464.66,3.0,6,66,0,8,32
7.542,31,35.631,62,7.05,36.7,51.7,1.002,1.133,0.635,0.594,423.0,3.3,6,60,0,8,31
5.959,37,34.219,62,5.542,37.1,59.7,0.973,1.132,0.616,0.552,343.61,1.6,6,62,0,8,25
6.071,39,31.745,60,5.075,32.8,63.9,0.971,1.141,0.589,0.52,309.6,1.6,0,61,0,2,21
7.456,20,28.547,47,7.77,45.5,45.5,0.998,1.114,0.691,0.649,341.86,2.3,12,44,0,13,27
7.32,33,34.285,62,6.276,36.7,55.0,0.992,1.14,0.617,0.571,376.57,3.3,6,60,0,7,29
6.33,37,30.219,59,5.096,32.8,63.8,0.971,1.141,0.589,0.521,295.57,1.7,0,58,0,0,22
6.865,37,30.219,59,5.096,32.8,63.8,0.971,1.141,0.589,0.521,295.57,1.7,0,58,0,0,22
6.194,33,39.443,68,7.032,40.0,50.8,0.995,1.126,0.653,0.607,457.06,3.1,12,65,0,13,35
6.359,23,32.181,53,8.647,44.0,46.0,1.002,1.122,0.687,0.644,432.36,2.0,12,50,0,13,30
7.01,27,34.235,57,8.153,41.8,49.1,0.998,1.126,0.67,0.622,448.41,1.8,12,55,0,13,30
6.652,26,34.325,57,8.156,44.4,48.1,0.99,1.114,0.688,0.636,440.41,1.9,12,54,0,14,31
5.721,27,34.818,57,8.354,41.8,49.1,0.988,1.116,0.698,0.633,459.49,3.6,16,55,0,17,30
6.65,27,34.235,56,8.153,41.8,49.1,0.998,1.126,0.67,0.622,448.41,1.8,12,55,0,14,29
6.62,29,29.627,53,6.067,36.5,55.8,0.983,1.137,0.622,0.57,315.51,5.8,10,52,0,11,24
6.42,27,34.346,57,8.062,41.8,49.1,0.992,1.121,0.676,0.624,443.42,3.6,16,55,0,17,30
5.412,51,43.906,82,5.242,35.4,62.2,0.97,1.135,0.604,0.535,429.81,1.2,0,82,0,4,31
8.108,27,36.248,59,8.623,40.4,47.4,1.0,1.119,0.689,0.636,491.49,3.5,12,57,0,16,32
8.216,27,34.235,56,8.153,41.8,49.1,0.998,1.126,0.67,0.622,448.41,1.8,12,55,0,14,29
6.0,50,44.885,82,5.351,37.8,61.0,0.969,1.129,0.616,0.547,438.81,0.0,0,82,0,6,32
6.951,26,36.258,60,8.921,36.8,45.6,1.009,1.131,0.68,0.636,508.49,8.8,12,57,0,15,34
5.347,41,41.272,73,5.829,40.3,56.9,0.974,1.125,0.635,0.573,419.71,1.4,12,72,0,14,32
8.268,28,33.851,56,7.826,41.8,50.9,0.988,1.119,0.671,0.615,430.42,1.8,12,55,0,14,28
5.939,21,31.568,51,7.935,45.8,43.8,1.0,1.115,0.696,0.658,380.9,4.2,12,48,0,15,30
7.91,28,35.653,59,7.973,42.1,49.1,0.989,1.122,0.679,0.625,454.45,5.3,17,57,0,18,31
6.213,28,34.851,58,7.901,42.9,50.0,0.988,1.117,0.677,0.622,442.43,1.8,16,56,0,17,30
6.854,35,38.105,67,6.676,36.4,53.0,1.005,1.15,0.613,0.577,440.61,3.0,6,66,0,8,32
7.398,26,31.928,54,7.153,40.4,50.0,0.992,1.128,0.663,0.614,371.95,5.8,12,52,0,13,28
6.347,37,39.533,70,6.938,33.3,53.6,1.009,1.151,0.613,0.573,478.69,2.9,6,69,0,8,33
6.284,25,33.006,54,8.643,40.4,48.1,0.996,1.118,0.693,0.635,449.45,3.8,16,52,0,16,29
6.569,22,30.271,49,8.518,44.7,46.8,0.994,1.113,0.695,0.644,400.34,2.1,12,47,0,14,27
