pXC50,Sp,Sv
7.367,35.347,33.105
5.896,31.273,29.036
6.5,32.665,31.134
8.714,34.0,32.498
7.194,33.546,31.783
8.818,32.79,31.278
8.754,30.881,29.258
8.578,31.785,29.957
9.469,31.722,30.64
7.485,31.267,29.925
9.032,30.512,29.42
8.535,30.125,28.752
8.187,29.267,27.925
8.036,34.063,31.815
5.804,41.131,38.154
4.301,48.876,45.471
6.233,41.131,38.154
5.0,49.631,45.976
4.0,43.347,40.396
6.004,43.347,40.396
6.506,43.347,40.396
4.301,43.347,40.396
4.602,48.876,45.471
8.824,33.154,30.795
6.606,33.04,30.456
8.62,31.847,29.983
7.409,32.586,29.741
8.022,31.392,29.269
7.456,33.04,30.456
8.108,31.944,29.575
8.06,31.83,29.236
7.051,32.546,31.085
8.161,30.637,28.763
8.131,29.779,27.936
8.252,30.699,28.38
8.347,29.841,27.552
8.208,29.574,27.737
7.678,29.461,27.397
8.377,28.267,26.925
8.456,30.33,28.242
8.244,30.216,27.903
8.745,29.023,27.43
7.31,34.608,32.51
8.027,35.915,33.322
7.432,34.398,32.29
7.493,33.591,30.762
6.959,32.398,30.29
6.91,33.705,31.102
7.544,36.66,33.4
6.366,34.898,31.874
5.915,38.114,35.115
6.9,36.353,33.588
6.294,40.324,37.335
6.365,38.87,35.621
6.428,39.995,37.712
7.509,33.137,30.347
8.398,34.898,31.874
6.854,36.108,33.094
7.353,34.489,31.74
7.288,32.222,30.223
5.767,39.813,37.325
9.097,32.529,30.035
7.184,31.273,28.498
6.851,29.512,26.971
6.466,34.591,32.062
6.79,40.716,38.024
6.291,30.966,28.686
7.0,36.353,33.588
6.461,33.983,31.75
6.979,35.495,32.761
6.745,36.25,33.266
7.863,27.813,26.509
7.032,30.54,28.762
7.244,30.54,28.762
7.0,30.478,29.145
6.79,40.586,37.869
7.886,25.006,23.665
8.432,28.972,27.128
8.481,28.052,26.683
8.301,31.637,29.354
7.467,29.688,28.977
8.444,30.33,28.542
8.328,31.523,29.014
6.83,35.637,33.354
8.174,33.398,30.88
8.638,28.052,26.683
8.553,30.875,28.827
8.658,34.819,32.321
6.614,33.54,31.463
7.947,32.404,30.611
6.081,42.301,39.524
5.764,43.347,40.396
5.0,49.631,45.976
6.181,43.347,40.396
7.517,28.972,27.128
7.056,43.347,40.396
6.745,41.131,38.154
6.191,43.347,40.396
8.854,30.33,28.542
5.469,40.313,38.331
7.845,27.358,25.795
8.542,25.006,23.665
8.595,13.722,13.085
5.0,29.557,29.111
7.678,29.12,27.321
8.143,36.165,33.717
8.854,34.819,32.321
7.551,28.052,26.683
8.585,28.972,27.128
8.523,32.54,30.463
7.0,36.165,33.717
7.602,34.819,32.321
7.62,36.972,34.946
8.304,33.159,31.116
