pXC50,nHM,nX,X.,nCL,nAB,nBM,nHet,nN,AMW,Me,N.,nDB,RBF,MW,Mp
4.699,3,5,9.4,2,27,29,12,3,10.687,1.047,5.7,2,0.105,566.41,0.744
7.0,1,4,7.3,1,22,24,9,2,9.108,1.032,3.6,2,0.103,500.93,0.699
6.032,2,2,3.8,2,22,24,7,2,8.988,1.013,3.8,2,0.109,467.37,0.725
4.699,0,3,5.4,0,22,24,8,2,8.545,1.026,3.6,2,0.1,478.5,0.689
6.105,0,3,5.5,0,22,24,8,2,8.482,1.026,3.6,2,0.103,466.49,0.683
6.585,1,4,7.1,1,22,24,10,2,9.231,1.037,3.6,2,0.119,516.93,0.694
6.237,0,3,5.5,0,22,24,8,2,8.482,1.026,3.6,2,0.103,466.49,0.683
6.959,2,2,3.8,2,22,24,7,2,8.988,1.013,3.8,2,0.109,467.37,0.725
6.298,1,2,3.8,1,22,24,7,2,8.672,1.016,3.8,2,0.109,450.92,0.707
5.602,1,1,1.9,1,22,24,6,2,8.326,1.007,3.8,2,0.109,432.93,0.709
5.889,1,4,7.1,1,22,24,9,2,9.16,1.032,3.6,2,0.1,512.94,0.704
4.773,0,0,0.0,0,18,21,3,0,7.255,0.992,0.0,3,0.145,384.5,0.689
4.796,0,0,0.0,0,18,21,4,0,7.578,1.001,0.0,3,0.151,386.47,0.69
4.62,0,0,0.0,0,18,21,3,0,7.409,0.994,0.0,3,0.154,370.47,0.695
4.854,0,0,0.0,0,18,21,3,0,7.409,0.994,0.0,3,0.154,370.47,0.695
4.678,0,0,0.0,0,18,21,3,0,7.255,0.992,0.0,3,0.145,384.5,0.689
4.523,0,0,0.0,0,18,21,3,0,7.255,0.992,0.0,3,0.145,384.5,0.689
4.796,0,0,0.0,0,18,20,3,0,7.316,0.994,0.0,2,0.137,358.46,0.689
4.678,0,0,0.0,0,18,20,3,0,7.163,0.992,0.0,2,0.148,372.49,0.683
5.553,0,0,0.0,0,18,22,4,0,7.5,0.998,0.0,4,0.158,412.51,0.69
4.745,0,0,0.0,0,18,21,3,0,7.584,0.996,0.0,3,0.143,356.44,0.702
5.149,2,2,3.7,2,18,21,6,0,8.692,1.01,0.0,3,0.161,469.38,0.716
4.0,0,0,0.0,0,12,15,2,0,7.343,0.992,0.0,3,0.135,264.34,0.694
4.0,0,0,0.0,0,12,15,3,0,7.359,0.998,0.0,3,0.146,294.37,0.68
4.699,0,0,0.0,0,18,21,4,0,7.417,0.998,0.0,3,0.161,400.5,0.684
4.921,0,0,0.0,0,18,21,3,0,7.255,0.992,0.0,3,0.145,384.5,0.689
5.032,0,0,0.0,0,24,25,3,0,7.586,0.994,0.0,1,0.127,394.49,0.707
4.757,1,0,0.0,0,23,24,4,0,7.972,0.996,0.0,1,0.145,414.55,0.719
6.638,0,0,0.0,0,18,19,3,0,7.218,0.994,0.0,1,0.16,346.45,0.682
