pXC50,nBR,nCsp2,nBM,nAB,nN,N.,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAT
5.959,0,15,19,17,3,7.5,9.535,42.5,35.0,1.044,1.144,0.693,0.688,381.41,40
6.119,0,15,16,12,0,0.0,8.733,47.2,38.9,1.016,1.102,0.717,0.687,314.38,36
6.301,0,16,18,16,1,2.4,10.407,46.3,34.1,1.035,1.11,0.744,0.721,426.69,41
8.523,1,15,17,16,1,2.1,8.674,43.8,45.8,1.001,1.115,0.69,0.646,416.34,48
8.523,1,15,17,16,1,2.2,8.94,44.4,44.4,1.003,1.114,0.696,0.655,402.31,45
7.699,0,15,17,16,1,2.2,7.952,44.4,44.4,1.005,1.116,0.685,0.65,357.86,45
7.699,1,15,17,16,1,2.0,8.439,43.1,47.1,0.998,1.117,0.683,0.638,430.37,51
8.398,1,15,17,16,1,2.1,8.674,43.8,45.8,1.001,1.115,0.69,0.646,416.34,48
7.796,1,15,17,16,1,1.9,8.507,44.2,46.2,0.998,1.114,0.69,0.644,442.38,52
7.222,1,15,17,16,1,2.0,8.439,43.1,47.1,0.998,1.117,0.683,0.638,430.37,51
4.0,0,17,16,11,2,4.4,8.054,46.7,40.0,1.013,1.115,0.687,0.669,362.41,45
4.523,0,14,17,16,3,5.0,7.567,41.7,46.7,1.002,1.124,0.669,0.631,454.01,60
8.046,1,15,17,16,1,2.4,9.245,45.2,42.9,1.006,1.112,0.704,0.665,388.28,42
5.125,0,17,18,17,0,0.0,6.724,44.6,50.0,0.988,1.115,0.661,0.616,376.53,56
5.77,0,17,18,17,0,0.0,8.065,47.7,43.2,1.003,1.107,0.701,0.665,354.85,44
5.18,0,18,19,17,0,0.0,7.397,46.9,44.9,1.001,1.11,0.677,0.646,362.45,49
4.833,0,17,18,17,0,0.0,8.065,47.7,43.2,1.003,1.107,0.701,0.665,354.85,44
4.959,0,17,18,17,0,0.0,8.313,48.8,41.5,1.006,1.105,0.709,0.676,340.82,41
7.222,1,15,17,16,1,2.0,8.439,43.1,47.1,0.998,1.117,0.683,0.638,430.37,51
8.398,1,15,17,16,1,2.0,8.439,43.1,47.1,0.998,1.117,0.683,0.638,430.37,51
8.222,1,15,17,16,1,2.1,8.674,43.8,45.8,1.001,1.115,0.69,0.646,416.34,48
7.301,1,15,17,16,1,2.0,8.439,43.1,47.1,0.998,1.117,0.683,0.638,430.37,51
6.658,0,16,18,16,1,2.4,8.727,46.3,39.0,1.02,1.112,0.702,0.681,357.81,41
4.943,0,17,18,17,0,0.0,7.691,47.7,43.2,1.008,1.116,0.68,0.654,338.4,44
6.658,0,17,18,17,0,0.0,7.116,46.8,46.8,0.994,1.111,0.675,0.637,334.44,47
6.409,0,17,18,17,0,0.0,7.282,47.7,45.5,0.996,1.109,0.681,0.646,320.41,44
6.131,0,17,18,17,0,0.0,7.691,47.7,43.2,1.008,1.116,0.68,0.654,338.4,44
6.284,0,17,18,17,0,0.0,8.065,47.7,43.2,1.003,1.107,0.701,0.665,354.85,44
5.377,0,17,18,17,0,0.0,8.43,47.7,43.2,0.998,1.101,0.728,0.675,370.92,44
5.086,0,17,18,17,0,0.0,7.671,47.8,45.7,0.993,1.107,0.699,0.653,352.88,46
4.959,0,17,18,17,0,0.0,8.981,50.0,40.0,1.006,1.101,0.737,0.696,359.26,40
6.056,0,17,18,17,0,0.0,8.313,48.8,41.5,1.006,1.105,0.709,0.676,340.82,41
6.481,0,17,18,17,0,0.0,7.301,45.8,45.8,1.001,1.113,0.671,0.639,350.44,48
5.699,0,17,18,17,0,0.0,7.499,46.8,44.7,1.005,1.118,0.674,0.645,352.43,47
5.31,0,17,20,17,0,0.0,8.759,45.7,41.3,1.012,1.106,0.716,0.677,402.92,46
5.456,0,17,18,17,0,0.0,7.709,50.0,42.5,1.003,1.112,0.692,0.664,308.37,40
5.195,0,17,18,17,0,0.0,7.329,46.0,46.0,1.002,1.119,0.669,0.637,366.46,50
4.979,0,17,18,17,0,0.0,8.313,48.8,41.5,1.006,1.105,0.709,0.676,340.82,41
5.987,0,17,18,17,0,0.0,6.969,46.0,48.0,0.992,1.112,0.67,0.629,348.47,50
4.298,0,16,17,17,0,0.0,8.079,51.4,42.9,0.992,1.099,0.726,0.679,282.78,35
5.77,0,17,18,17,0,0.0,7.146,45.1,47.1,0.998,1.114,0.666,0.631,364.47,51
