pXC50,nH,nAT
5.921,78,127.0
7.319,81,134.0
5.301,28,44.0
5.903,90,156.0
9.347,82,135.0
9.0,82,139.0
9.06,78,135.0
6.0,89,151.0
8.188,62,106.0
9.252,70,118.0
8.833,86,142.0
6.0,60,110.0
8.676,69,120.0
8.81,72,125.0
8.491,74,126.0
8.71,48,83.0
8.73,48,83.0
8.397,48,82.0
6.0,50,85.0
6.0,48,82.0
6.0,50,85.0
6.0,84,139.0
6.0,82,136.0
6.0,80,133.0
6.0,79,131.0
9.585,80,133.0
4.658,91,157.0
5.668,91,154.0
5.19,91,157.0
5.161,91,157.0
8.32,52,88.0
8.996,50,87.0
8.785,54,93.0
8.42,62,105.0
8.347,47,87.0
8.258,52,90.0
7.638,156,261.0
8.432,126,214.0
7.469,177,332.0
7.506,138,243.0
7.602,136,239.0
7.108,170,313.0
7.602,168,317.0
7.252,196,370.0
6.022,89,156.0
5.284,92,158.0
5.655,91,157.0
6.046,90,157.0
5.301,135,228.0
6.046,95,167.0
6.62,108,188.0
6.337,102,174.0
6.638,94,168.0
5.301,32,50.0
