pXC50,nX,Mi,nBO,nSK,X.,SCBO,nF,nBT,Si,nAT,nDB,nN,MW,nCL,nHet,C.,nC,Sp,Se,Sv,N.,RBF,nAB,Me,nH,RBN,nHM,H.
5.268,0,1.124,32,31,0.0,41.0,0,58.0,64.073,57.0,6,0,430.49,0,8,40.4,23,36.534,58.105,35.567,0.0,0.172,6,1.019,26,10,0,45.6
6.854,1,1.11,23,22,2.6,31.0,0,40.0,43.309,39.0,2,0,316.8,1,4,46.2,18,27.074,39.258,25.713,0.0,0.125,12,1.007,17,5,1,43.6
8.699,0,1.124,32,29,0.0,43.5,0,47.0,49.455,44.0,3,5,433.51,0,12,38.6,17,31.403,45.716,30.689,11.4,0.128,17,1.039,15,6,2,34.1
6.699,0,1.124,32,31,0.0,41.0,0,58.0,64.073,57.0,6,0,430.49,0,8,40.4,23,36.534,58.105,35.567,0.0,0.172,6,1.019,26,10,0,45.6
5.523,0,1.124,36,35,0.0,46.0,0,68.0,75.318,67.0,4,0,484.59,0,8,40.3,27,42.818,67.756,41.147,0.0,0.191,12,1.011,32,13,0,47.8
6.347,0,1.122,28,27,0.0,36.0,0,54.0,59.445,53.0,2,0,370.48,0,5,41.5,22,34.171,53.123,32.422,0.0,0.148,12,1.002,26,8,0,49.1
6.097,0,1.116,27,26,0.0,36.0,0,51.0,55.82,50.0,3,0,352.46,0,4,44.0,22,32.955,49.912,31.181,0.0,0.157,12,0.998,24,8,0,48.0
5.076,0,1.122,28,27,0.0,36.0,0,52.0,57.239,51.0,5,0,372.45,0,6,41.2,21,32.864,51.567,31.61,0.0,0.135,6,1.011,24,7,0,47.1
5.721,0,1.112,32,30,0.0,43.0,0,54.0,57.824,52.0,5,0,406.46,0,6,46.2,24,35.102,52.683,34.084,0.0,0.148,12,1.013,22,8,0,42.3
7.362,0,1.127,39,38,0.0,49.0,0,73.0,81.152,72.0,7,0,530.62,0,10,38.9,28,45.489,73.294,44.104,0.0,0.178,6,1.018,34,13,0,47.2
4.796,0,1.104,19,18,0.0,27.0,0,31.0,33.119,30.0,2,0,240.27,0,3,50.0,15,20.932,30.284,20.305,0.0,0.129,12,1.009,12,4,0,40.0
6.046,0,1.123,31,30,0.0,40.0,0,57.0,62.863,56.0,3,0,414.49,0,7,41.1,23,36.08,56.778,34.852,0.0,0.175,12,1.014,26,10,0,46.4
6.174,0,1.123,33,32,0.0,42.0,0,67.0,74.105,66.0,3,0,438.61,0,5,40.9,27,42.216,65.658,39.53,0.0,0.179,12,0.995,34,12,0,51.5
6.208,0,1.112,22,21,0.0,30.0,0,40.0,43.365,39.0,2,0,282.36,0,3,46.2,18,26.216,38.934,24.886,0.0,0.125,12,0.998,18,5,0,46.2
6.456,0,1.119,26,25,0.0,34.0,0,50.0,54.82,49.0,2,0,340.45,0,4,42.9,21,31.955,48.912,30.181,0.0,0.16,12,0.998,24,8,0,49.0
4.921,0,1.117,27,26,0.0,36.0,0,49.0,53.614,48.0,3,0,354.43,0,5,43.8,21,31.648,48.356,30.369,0.0,0.143,12,1.007,22,7,0,45.8
6.222,0,1.135,33,33,0.0,38.0,0,77.0,87.391,77.0,5,0,464.71,0,6,35.1,27,46.478,76.403,42.878,0.0,0.234,0,0.992,44,18,0,57.1
6.337,0,1.121,28,27,0.0,36.0,0,56.0,61.65,55.0,2,0,368.51,0,4,41.8,23,35.478,54.68,33.234,0.0,0.143,12,0.994,28,8,0,50.9
6.602,0,1.11,21,20,0.0,29.0,0,37.0,39.95,36.0,2,0,268.33,0,3,47.2,17,24.455,36.051,23.359,0.0,0.135,12,1.001,16,5,0,44.4
7.292,3,1.151,35,34,5.3,45.0,3,58.0,65.627,57.0,7,4,480.49,0,12,38.6,22,36.483,59.301,36.604,7.0,0.155,6,1.04,23,9,0,40.4
6.456,3,1.165,27,27,7.0,34.0,3,43.0,50.092,43.0,7,3,391.34,0,12,34.9,15,26.648,45.876,27.717,7.0,0.163,0,1.067,16,7,0,37.2
4.824,3,1.17,24,24,7.9,31.0,3,38.0,44.467,38.0,7,3,349.3,0,11,34.2,13,23.432,40.665,24.476,7.9,0.158,0,1.07,14,6,0,36.8
7.328,6,1.154,45,43,8.6,57.0,6,72.0,80.808,70.0,6,3,611.59,0,14,41.4,29,45.336,73.272,45.84,4.3,0.153,12,1.047,27,11,0,38.6
7.469,3,1.141,42,40,4.4,54.0,3,70.0,77.583,68.0,6,3,559.59,0,12,41.2,28,44.216,70.178,43.878,4.4,0.157,12,1.032,28,11,0,41.2
7.056,3,1.14,45,43,4.1,58.0,3,75.0,83.208,73.0,7,3,601.63,0,13,41.1,30,47.432,75.389,47.12,4.1,0.173,12,1.033,30,13,0,41.1
7.149,4,1.145,42,40,6.0,54.0,4,69.0,76.714,67.0,6,3,561.58,0,12,41.8,28,43.699,69.363,43.547,4.5,0.159,12,1.035,27,11,0,40.3
5.824,0,1.12,27,26,0.0,35.0,0,53.0,58.235,52.0,2,0,354.48,0,4,42.3,22,33.716,51.796,31.708,0.0,0.151,12,0.996,26,8,0,50.0
6.301,3,1.163,28,28,6.5,35.0,3,46.0,53.507,46.0,7,3,405.37,0,12,34.8,16,28.409,48.76,29.244,6.5,0.174,0,1.06,18,8,0,39.1
6.495,3,1.168,27,27,6.8,34.0,3,44.0,51.381,44.0,7,4,390.36,0,12,34.1,15,27.199,46.651,28.024,9.1,0.159,0,1.06,17,7,0,38.6
7.921,3,1.14,48,46,3.7,61.0,3,84.0,93.453,82.0,7,3,643.72,0,13,40.2,33,52.716,84.039,51.7,3.7,0.167,12,1.025,36,14,0,43.9
5.824,0,1.122,29,28,0.0,37.0,0,57.0,62.86,56.0,2,0,384.51,0,5,41.1,23,35.932,56.007,33.949,0.0,0.14,12,1.0,28,8,0,50.0
6.921,0,1.119,29,28,0.0,38.0,0,55.0,60.445,54.0,3,0,382.49,0,5,42.6,23,35.171,54.123,33.422,0.0,0.145,12,1.002,26,8,0,48.1
7.076,0,1.119,29,28,0.0,38.0,0,55.0,60.445,54.0,3,0,382.49,0,5,42.6,23,35.171,54.123,33.422,0.0,0.145,12,1.002,26,8,0,48.1
8.051,2,1.148,41,40,2.5,49.0,2,81.0,91.818,80.0,5,4,566.72,0,12,35.0,28,49.091,81.185,47.15,5.0,0.16,6,1.015,40,13,0,50.0
7.06,4,1.145,42,40,6.0,54.0,4,69.0,76.714,67.0,6,3,561.58,0,12,41.8,28,43.699,69.363,43.547,4.5,0.159,12,1.035,27,11,0,40.3
7.824,2,1.15,37,36,2.8,44.0,2,73.0,82.778,72.0,4,4,510.65,0,11,34.7,25,44.114,73.09,42.382,5.6,0.151,6,1.015,36,11,0,50.0
5.161,0,1.127,14,13,0.0,19.0,0,22.0,23.661,21.0,2,2,176.19,0,4,42.9,9,14.205,21.509,14.053,9.5,0.045,6,1.024,8,1,0,38.1
9.456,2,1.144,45,43,2.5,56.0,2,82.0,91.486,80.0,5,5,601.72,0,13,37.5,30,50.574,81.519,49.118,6.3,0.159,12,1.019,37,13,0,46.3
7.155,3,1.148,36,35,5.1,46.0,3,60.0,67.753,59.0,7,3,495.5,0,12,39.0,23,37.693,61.411,37.824,5.1,0.167,6,1.041,24,10,0,40.7
7.051,3,1.141,42,40,4.4,54.0,3,70.0,77.583,68.0,6,3,559.59,0,12,41.2,28,44.216,70.178,43.878,4.4,0.157,12,1.032,28,11,0,41.2
6.959,1,1.146,19,18,3.6,24.0,1,29.0,32.09,28.0,5,1,279.27,0,9,32.1,9,18.125,30.073,18.515,3.6,0.069,0,1.074,10,2,1,35.7
7.377,3,1.14,45,43,4.1,58.0,3,75.0,83.208,73.0,7,3,601.63,0,13,41.1,30,47.432,75.389,47.12,4.1,0.173,12,1.033,30,13,0,41.1
6.252,0,1.138,67,63,0.0,77.0,0,134.0,147.903,130.0,7,6,882.98,0,19,33.8,44,80.433,130.817,33.718,4.6,0.157,6,1.006,67,21,0,51.5
7.398,3,1.14,41,39,4.5,53.0,3,69.0,76.374,67.0,6,3,543.59,0,11,41.8,28,43.762,68.85,43.163,4.5,0.159,12,1.028,28,11,0,41.8
5.469,3,1.16,30,30,5.8,37.0,3,52.0,60.338,52.0,7,3,433.43,0,12,34.6,18,31.932,54.527,32.298,5.8,0.192,0,1.049,22,10,0,42.3
8.822,0,1.13,17,16,0.0,22.0,0,31.0,33.907,30.0,2,2,218.28,0,4,40.0,12,19.489,30.16,18.633,6.7,0.065,6,1.005,14,2,0,46.7
6.097,1,1.14,66,62,0.8,76.0,1,130.0,143.618,126.0,7,6,870.94,0,19,34.1,43,78.154,127.119,33.718,4.8,0.154,6,1.009,64,20,0,50.8
7.77,3,1.152,36,35,4.5,43.0,3,68.0,77.204,67.0,4,3,499.59,0,11,35.8,24,41.284,68.618,40.217,4.5,0.147,6,1.024,32,10,0,47.8
4.301,0,1.116,24,22,0.0,32.5,0,41.0,43.531,39.0,1,3,311.44,0,5,43.6,17,27.449,38.894,25.654,7.7,0.122,11,0.997,17,5,1,43.6
5.745,3,1.145,69,65,2.3,79.0,3,133.0,147.713,129.0,7,6,920.95,0,21,34.1,44,79.791,131.028,33.718,4.7,0.15,6,1.016,64,20,0,49.6
9.187,0,1.131,47,44,0.0,60.0,0,85.0,92.727,82.0,5,4,606.74,0,12,39.0,32,52.603,83.047,50.76,4.9,0.141,16,1.013,38,12,0,46.3
7.319,3,1.149,35,34,5.4,45.0,3,57.0,64.338,56.0,7,3,481.47,0,12,39.3,22,35.932,58.527,36.298,5.4,0.158,6,1.045,22,9,0,39.3
6.886,2,1.15,37,36,2.8,44.0,2,73.0,82.778,72.0,4,4,510.65,0,11,34.7,25,44.114,73.09,42.382,5.6,0.164,6,1.015,36,12,0,50.0
4.585,2,1.161,31,30,3.8,39.0,2,54.0,61.533,53.0,5,7,423.48,0,12,34.0,18,33.131,54.672,32.802,13.2,0.185,6,1.032,23,10,0,43.4
9.456,2,1.148,43,42,2.4,51.0,2,85.0,96.442,84.0,5,4,596.75,0,13,34.5,29,51.307,85.396,49.392,4.8,0.188,6,1.017,42,16,0,50.0
4.585,2,1.161,32,31,3.9,42.0,2,52.0,59.2,51.0,5,8,434.46,0,13,35.3,18,32.614,53.007,32.77,15.7,0.212,6,1.039,20,11,0,39.2
8.387,2,1.142,44,42,2.4,54.0,2,84.0,93.608,82.0,4,4,586.75,0,11,37.8,31,51.637,82.858,49.435,4.9,0.167,12,1.01,40,14,0,48.8
9.194,0,1.131,46,43,0.0,59.0,0,82.0,89.312,79.0,5,4,592.71,0,12,39.2,31,50.841,80.163,49.233,5.1,0.146,16,1.015,36,12,0,45.6
6.398,0,1.136,72,67,0.0,82.0,0,147.0,161.355,142.0,7,6,935.11,0,18,34.5,49,88.024,142.024,33.718,4.2,0.143,6,1.0,75,21,0,52.8
7.0,3,1.154,30,29,6.5,38.5,3,47.0,53.092,46.0,6,4,430.45,0,12,37.0,17,30.392,48.4,30.496,8.7,0.149,5,1.052,17,7,1,37.0
7.796,3,1.149,33,32,5.7,42.0,3,54.0,60.922,53.0,6,4,470.52,0,12,37.7,20,34.915,55.167,34.55,7.5,0.148,6,1.041,21,8,1,39.6
8.426,0,1.13,43,40,0.0,55.0,0,79.0,85.893,76.0,4,4,548.7,0,10,39.5,30,48.932,76.509,46.803,5.3,0.139,16,1.007,36,11,0,47.4
5.796,1,1.136,66,62,0.8,76.0,0,130.0,143.12,126.0,7,6,931.84,0,19,34.1,43,79.569,126.836,33.718,4.8,0.154,6,1.007,64,20,1,50.8
4.585,3,1.161,31,30,6.0,39.0,2,51.0,58.061,50.0,5,7,443.89,1,13,34.0,17,32.228,52.112,32.103,14.0,0.216,6,1.042,20,11,1,40.0
8.509,2,1.143,46,44,2.4,57.0,2,85.0,94.901,83.0,5,5,615.75,0,13,37.3,31,52.336,84.403,50.645,6.0,0.153,12,1.017,39,13,0,47.0
9.097,1,1.122,36,33,1.8,47.0,0,59.0,62.814,56.0,5,2,515.05,1,12,37.5,21,38.722,57.691,37.043,3.6,0.102,12,1.03,23,6,3,41.1
7.886,3,1.142,40,38,4.8,53.0,3,65.0,71.962,63.0,7,4,550.61,0,13,39.7,25,41.892,65.261,41.318,6.3,0.154,12,1.036,25,10,1,39.7
7.149,3,1.153,33,32,5.7,43.0,3,54.0,61.131,53.0,7,4,474.51,0,13,35.8,19,34.37,55.494,34.265,7.5,0.148,6,1.047,21,8,1,39.6
8.796,2,1.124,39,36,3.2,49.0,0,65.0,69.668,62.0,4,2,557.49,2,12,38.7,24,42.455,63.705,40.737,3.2,0.138,12,1.028,26,9,3,41.9
5.456,0,1.137,65,61,0.0,75.0,0,130.0,143.279,126.0,7,6,852.95,0,18,34.1,43,78.217,126.606,33.718,4.8,0.154,6,1.005,65,20,0,51.6
5.244,0,1.137,66,62,0.0,76.0,0,133.0,146.694,129.0,7,6,866.98,0,18,34.1,44,79.978,129.49,33.718,4.7,0.15,6,1.004,67,20,0,51.9
8.456,2,1.126,39,36,3.2,49.0,0,66.0,70.957,63.0,4,3,556.51,2,12,38.1,24,43.006,64.48,41.043,4.8,0.121,12,1.023,27,8,3,42.9
7.959,3,1.142,39,37,5.0,50.5,3,62.0,68.547,60.0,6,4,536.58,0,13,40.0,24,40.131,62.378,39.791,6.7,0.161,11,1.04,23,10,1,38.3
6.444,3,1.15,34,33,5.3,43.0,3,58.0,65.543,57.0,6,3,467.49,0,11,38.6,22,36.239,59.083,36.11,5.3,0.155,6,1.037,24,9,0,42.1
7.102,3,1.14,42,40,4.3,54.0,3,72.0,79.789,70.0,6,3,557.62,0,11,41.4,29,45.523,71.734,44.69,4.3,0.167,12,1.025,30,12,0,42.9
8.194,2,1.141,46,44,2.4,57.0,2,86.0,95.818,84.0,5,4,614.76,0,12,38.1,32,53.091,85.185,51.15,4.8,0.151,12,1.014,40,13,0,47.6
9.092,2,1.15,36,35,2.9,43.0,2,70.0,79.363,69.0,4,4,496.62,0,11,34.8,24,42.353,70.207,40.855,5.8,0.157,6,1.017,34,11,0,49.3
8.638,2,1.148,39,38,2.7,47.0,2,75.0,84.987,74.0,5,4,538.66,0,12,35.1,26,45.569,75.418,44.097,5.4,0.16,6,1.019,36,12,0,48.6
7.481,3,1.162,31,31,4.8,35.0,3,63.0,73.204,63.0,4,3,451.55,0,11,31.7,20,37.285,64.618,36.217,4.8,0.143,0,1.026,32,9,0,50.8
7.377,0,1.126,36,33,0.0,47.0,0,63.0,67.574,60.0,5,3,493.66,0,11,36.7,22,40.176,61.025,38.049,5.0,0.095,12,1.017,27,6,2,45.0
7.481,3,1.147,40,38,4.8,52.0,3,64.0,71.125,62.0,6,5,531.54,0,13,40.3,25,40.489,64.403,40.626,8.1,0.156,12,1.039,24,10,0,38.7
7.444,3,1.164,29,29,5.3,33.0,3,57.0,66.374,57.0,4,3,423.49,0,11,31.6,18,33.762,58.85,33.163,5.3,0.14,0,1.032,28,8,0,49.1
8.77,2,1.144,45,43,2.5,56.0,2,82.0,91.486,80.0,5,5,601.72,0,13,37.5,30,50.574,81.519,49.118,6.3,0.159,12,1.019,37,13,0,46.3
7.699,3,1.161,32,32,4.5,36.0,3,66.0,76.619,66.0,4,3,465.58,0,11,31.8,21,39.046,67.501,37.744,4.5,0.152,0,1.023,34,10,0,51.5
8.469,2,1.148,44,43,2.3,52.0,2,88.0,99.858,87.0,5,4,610.78,0,13,34.5,30,53.069,88.279,50.919,4.6,0.182,6,1.015,44,16,0,50.6
9.456,2,1.141,45,43,2.4,55.0,2,87.0,97.024,85.0,4,4,600.78,0,11,37.6,32,53.398,85.741,50.962,4.7,0.161,12,1.009,42,14,0,49.4
8.721,3,1.158,34,33,4.5,38.0,3,68.0,77.619,67.0,4,3,477.59,0,11,32.8,22,40.046,68.501,38.744,4.5,0.132,0,1.022,34,9,0,50.7
8.959,2,1.148,44,43,2.3,52.0,2,88.0,99.858,87.0,5,4,610.78,0,13,34.5,30,53.069,88.279,50.919,4.6,0.193,6,1.015,44,17,0,50.6
7.143,9,1.173,48,46,13.0,60.0,9,71.0,80.91,69.0,6,4,666.55,0,18,40.6,28,44.392,74.028,46.484,5.8,0.141,12,1.073,23,10,0,33.3
6.046,0,1.138,66,62,0.0,76.0,0,131.0,144.488,127.0,7,6,868.95,0,19,33.9,43,78.671,127.934,33.718,4.7,0.153,6,1.007,65,20,0,51.2
7.284,3,1.156,28,27,6.8,35.5,3,45.0,50.882,44.0,5,4,402.44,0,11,36.4,16,28.938,46.072,28.781,9.1,0.133,5,1.047,17,6,1,38.6
8.086,4,1.149,41,39,6.3,53.0,4,65.0,72.381,63.0,6,4,548.54,0,13,41.3,26,41.182,65.698,41.514,6.3,0.154,12,1.043,24,10,0,38.1
