pXC50,nAB,nCsp2,nC,C.,Mv,nBM,RBF,Mi,H.,nBO,Mp,nDB,nSK,nAT,nBT
9.284,29,25,30,49.2,0.68,29,0.06,1.111,39.3,43,0.705,0,37,61,67
9.292,28,24,28,50.0,0.683,28,0.048,1.11,39.3,40,0.71,0,34,56,62
9.187,23,20,24,50.0,0.681,23,0.038,1.109,39.6,34,0.709,0,29,48,53
8.757,28,24,27,50.0,0.693,28,0.05,1.11,37.0,40,0.713,0,34,54,60
9.398,29,24,28,50.0,0.692,29,0.048,1.111,37.5,41,0.715,0,35,56,62
9.658,29,24,28,50.0,0.692,29,0.048,1.111,37.5,41,0.715,0,35,56,62
9.721,33,26,28,51.9,0.708,33,0.05,1.108,35.2,41,0.727,0,35,54,60
9.77,34,29,34,50.0,0.681,34,0.067,1.11,39.7,48,0.71,0,41,68,75
9.444,29,24,28,50.0,0.692,29,0.048,1.111,37.5,41,0.715,0,35,56,62
9.62,34,28,34,48.6,0.676,34,0.065,1.114,40.0,49,0.705,0,42,70,77
5.0,6,10,12,48.0,0.694,10,0.038,1.118,36.0,17,0.71,3,16,25,26
8.745,11,11,22,34.9,0.611,15,0.106,1.139,47.6,36,0.645,4,33,63,66
6.194,12,19,26,41.9,0.616,16,0.143,1.121,48.4,33,0.648,4,32,62,63
9.276,29,25,35,44.9,0.643,29,0.107,1.12,44.9,49,0.677,0,43,78,84
5.046,16,10,13,39.4,0.656,16,0.114,1.139,39.4,22,0.666,0,20,33,35
6.824,11,11,18,39.1,0.614,13,0.125,1.134,47.8,26,0.647,2,24,46,48
6.523,16,15,20,42.6,0.658,18,0.1,1.12,42.6,30,0.695,2,27,47,50
7.222,11,12,19,36.5,0.625,14,0.111,1.136,46.2,30,0.662,3,28,52,54
7.0,11,11,16,38.1,0.646,15,0.114,1.139,40.5,27,0.653,4,25,42,44
7.0,16,14,21,40.4,0.644,18,0.109,1.126,44.2,32,0.681,2,29,52,55
7.0,11,12,18,37.5,0.629,14,0.12,1.139,43.8,29,0.645,3,27,48,50
5.0,16,13,18,36.0,0.636,18,0.113,1.148,42.0,32,0.651,2,29,50,53
7.0,22,19,25,43.1,0.664,24,0.113,1.122,41.4,38,0.697,2,34,58,62
6.523,11,11,16,38.1,0.624,13,0.091,1.138,45.2,25,0.649,2,23,42,44
7.0,16,14,19,41.3,0.661,18,0.102,1.125,41.3,30,0.694,2,27,46,49
5.602,16,12,15,44.1,0.671,16,0.111,1.113,41.2,22,0.71,0,20,34,36
6.699,16,14,20,40.8,0.652,18,0.096,1.126,42.9,31,0.687,2,28,49,52
8.0,22,19,25,42.4,0.65,24,0.111,1.13,42.4,38,0.675,2,34,59,63
6.699,22,20,26,44.1,0.661,24,0.111,1.118,42.4,38,0.698,2,34,59,63
6.0,11,12,17,37.0,0.64,14,0.104,1.136,43.5,28,0.672,3,26,46,48
7.0,16,15,21,42.0,0.649,18,0.094,1.121,44.0,31,0.689,2,28,50,53
6.699,11,11,18,35.3,0.625,15,0.132,1.137,45.1,30,0.654,4,28,51,53
7.301,11,11,17,37.8,0.637,15,0.128,1.139,42.2,28,0.648,4,26,45,47
8.0,16,16,21,41.2,0.66,19,0.111,1.125,41.2,33,0.689,3,30,51,54
3.824,10,5,10,29.4,0.66,11,0.027,1.151,35.3,25,0.661,1,22,34,37
9.538,29,24,27,50.0,0.703,29,0.05,1.112,35.2,41,0.717,0,35,54,60
9.62,28,22,28,46.7,0.672,28,0.045,1.119,40.0,42,0.697,0,36,60,66
9.481,28,23,28,48.3,0.677,28,0.047,1.115,39.7,41,0.703,0,35,58,64
9.824,29,25,29,50.9,0.689,29,0.048,1.108,38.6,41,0.716,0,35,57,63
8.721,23,19,23,48.9,0.707,23,0.038,1.11,36.2,35,0.736,0,30,47,52
8.192,29,25,29,50.9,0.689,29,0.048,1.108,38.6,41,0.716,0,35,57,63
9.921,23,20,24,50.0,0.681,23,0.038,1.109,39.6,34,0.709,0,29,48,53
6.523,11,11,18,37.5,0.61,13,0.1,1.138,47.9,27,0.641,2,25,48,50
7.523,11,12,19,38.0,0.62,14,0.115,1.137,46.0,29,0.645,3,27,50,52
6.046,11,11,19,38.8,0.608,13,0.137,1.134,49.0,27,0.644,2,25,49,51
7.0,16,14,21,40.4,0.644,18,0.109,1.126,44.2,32,0.681,2,29,52,55
6.155,16,12,16,43.2,0.658,16,0.103,1.115,43.2,23,0.7,0,21,37,39
5.125,17,12,15,42.9,0.661,17,0.108,1.128,40.0,23,0.678,0,21,35,37
10.721,29,24,28,50.0,0.692,29,0.048,1.111,37.5,41,0.715,0,35,56,62
5.699,17,13,16,44.4,0.657,17,0.105,1.122,41.7,23,0.68,0,21,36,38
6.699,11,11,16,40.0,0.63,13,0.095,1.133,45.0,24,0.657,2,22,40,42
5.699,16,11,14,41.2,0.651,16,0.111,1.132,41.2,22,0.669,0,20,34,36
5.824,11,11,19,37.3,0.604,13,0.113,1.138,49.0,28,0.638,2,26,51,53
6.523,11,12,22,37.9,0.617,14,0.115,1.136,46.6,34,0.642,3,31,58,61
6.456,17,17,22,44.0,0.645,19,0.113,1.123,44.0,31,0.676,2,28,50,53
6.046,11,12,17,37.0,0.63,14,0.104,1.142,43.5,28,0.646,3,26,46,48
7.398,17,18,23,41.1,0.65,20,0.102,1.137,41.1,36,0.664,3,33,56,59
6.699,22,20,25,44.6,0.669,24,0.1,1.117,41.1,37,0.704,2,33,56,60
7.301,11,12,19,36.5,0.616,14,0.111,1.141,46.2,30,0.639,3,28,52,54
5.824,11,11,17,39.5,0.648,13,0.111,1.157,39.5,28,0.647,2,26,43,45
7.398,11,12,18,38.3,0.627,14,0.102,1.137,44.7,28,0.649,3,26,47,49
5.0,16,11,15,41.7,0.649,16,0.105,1.128,41.7,23,0.665,0,21,36,38
7.0,22,19,24,42.9,0.657,24,0.1,1.129,41.1,37,0.679,2,33,56,60
5.0,17,13,16,44.4,0.657,17,0.105,1.122,41.7,23,0.68,0,21,36,38
7.398,11,13,20,36.4,0.635,15,0.123,1.136,43.6,33,0.661,4,31,55,57
7.699,11,11,17,37.8,0.617,13,0.106,1.138,46.7,26,0.645,2,24,45,47
4.975,12,15,26,39.4,0.608,14,0.118,1.126,48.5,36,0.634,2,34,66,68
6.699,11,11,19,38.8,0.608,13,0.098,1.134,49.0,27,0.644,2,25,49,51
5.0,16,11,14,41.2,0.651,16,0.111,1.132,41.2,22,0.669,0,20,34,36
6.347,16,14,20,40.8,0.652,18,0.096,1.126,42.9,31,0.687,2,28,49,52
6.456,11,11,17,35.4,0.633,15,0.12,1.137,43.8,29,0.658,4,27,48,50
5.215,12,15,26,40.0,0.607,14,0.119,1.125,49.2,35,0.636,2,33,65,67
6.0,11,11,16,40.0,0.63,13,0.071,1.133,45.0,24,0.657,2,22,40,42
6.398,11,12,23,35.9,0.603,14,0.104,1.142,48.4,36,0.633,3,33,64,67
5.824,16,12,16,43.2,0.658,16,0.103,1.115,43.2,23,0.7,0,21,37,39
6.0,16,12,15,44.1,0.671,16,0.111,1.113,41.2,22,0.71,0,20,34,36
7.0,11,11,17,39.5,0.622,13,0.111,1.133,46.5,25,0.652,2,23,43,45
8.0,17,18,23,42.6,0.655,20,0.105,1.133,40.7,35,0.67,3,32,54,57
5.824,16,11,15,41.7,0.662,16,0.105,1.12,41.7,23,0.698,0,21,36,38
5.699,11,11,15,40.5,0.64,13,0.077,1.133,43.2,23,0.662,2,21,37,39
7.886,12,17,21,44.7,0.65,15,0.082,1.115,42.6,29,0.667,3,27,47,49
5.323,12,15,26,39.4,0.608,14,0.118,1.126,48.5,36,0.634,2,34,66,68
8.301,16,16,22,45.8,0.67,18,0.019,1.118,39.6,34,0.686,2,29,48,53
