pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.
4.777,7.141,37.7,49.1,1.015,1.129,0.624,0.601,378.46,0.0
4.301,6.28,40.5,54.1,0.986,1.124,0.636,0.586,232.35,0.0
6.928,9.205,20.0,46.7,1.055,1.148,0.636,0.593,138.07,0.0
5.004,7.376,44.8,48.3,0.989,1.115,0.685,0.634,641.73,2.3
4.301,7.992,45.2,45.2,0.998,1.115,0.698,0.653,495.48,3.2
4.301,8.272,42.9,44.9,1.005,1.12,0.694,0.651,405.35,4.1
4.301,10.913,50.0,31.8,1.028,1.103,0.783,0.75,480.18,4.5
4.301,8.692,46.3,40.7,1.01,1.113,0.712,0.678,469.39,3.7
4.301,10.946,48.0,28.0,1.068,1.15,0.718,0.734,547.3,4.0
5.076,9.941,50.0,32.6,1.031,1.112,0.742,0.727,457.3,4.3
4.301,10.13,50.0,34.1,1.02,1.104,0.763,0.731,445.74,4.5
4.301,8.243,41.2,45.1,1.006,1.125,0.687,0.646,420.37,5.9
4.301,9.05,48.9,38.3,1.01,1.107,0.734,0.699,425.33,4.3
4.329,9.619,49.0,34.7,1.026,1.114,0.732,0.714,471.33,4.1
4.301,9.025,50.9,36.8,1.008,1.104,0.741,0.709,514.43,5.3
4.476,8.929,47.1,39.2,1.013,1.111,0.72,0.688,455.36,3.9
4.301,10.198,48.9,31.9,1.042,1.129,0.73,0.724,479.3,4.3
4.301,6.28,40.5,54.1,0.986,1.124,0.636,0.586,232.35,0.0
4.485,6.97,38.5,50.0,1.009,1.128,0.627,0.599,362.46,0.0
5.337,19.991,14.3,28.6,1.124,1.168,0.718,0.715,139.94,14.3
5.553,19.793,40.0,20.0,1.087,1.109,0.84,0.818,296.9,6.7
4.564,14.534,40.0,26.7,1.072,1.12,0.75,0.75,218.01,6.7
4.301,9.986,49.0,32.7,1.037,1.121,0.731,0.721,489.32,4.1
4.301,9.348,50.0,36.4,1.013,1.105,0.744,0.712,411.3,4.5
4.301,9.634,47.1,35.3,1.033,1.124,0.717,0.703,491.34,3.9
5.018,10.318,50.8,29.5,1.048,1.125,0.732,0.736,629.41,3.3
4.354,8.787,48.0,40.0,1.007,1.109,0.725,0.688,439.36,4.0
4.301,9.194,47.9,37.5,1.016,1.109,0.728,0.7,441.33,4.2
5.009,9.244,47.1,39.2,1.008,1.105,0.743,0.698,471.43,3.9
4.301,8.318,44.8,43.1,1.004,1.117,0.703,0.663,482.44,5.2
4.489,9.334,48.1,36.5,1.023,1.115,0.724,0.702,485.36,3.8
4.697,8.304,46.5,42.3,1.006,1.112,0.704,0.668,589.55,2.8
4.623,8.555,47.2,41.5,1.004,1.111,0.717,0.678,453.39,3.8
4.374,8.347,46.4,42.9,1.002,1.112,0.71,0.669,467.42,3.6
4.457,8.16,45.8,44.1,1.0,1.114,0.704,0.661,481.45,3.4
4.71,7.37,40.4,46.8,1.015,1.124,0.64,0.619,346.41,0.0
4.301,8.065,42.3,46.2,1.002,1.121,0.688,0.643,419.38,3.8
4.301,6.536,39.5,52.6,0.995,1.126,0.631,0.59,248.35,0.0
4.301,6.28,40.5,54.1,0.986,1.124,0.636,0.586,232.35,0.0
4.301,6.581,42.9,51.4,0.989,1.119,0.65,0.605,230.33,0.0
