pXC50,nCsp3,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL
6.284,6,7.358,38.8,49.0,1.0,1.125,0.661,0.616,360.52,4.1,12,49,0,15,26,0,50,19,0
4.367,2,9.113,26.3,36.8,1.073,1.166,0.598,0.63,173.15,15.8,5,19,0,6,12,0,19,5,0
5.842,12,6.703,36.5,53.8,0.989,1.129,0.644,0.587,348.56,3.8,6,52,0,9,25,0,53,19,0
6.429,3,8.568,28.0,40.0,1.055,1.163,0.605,0.621,214.21,16.0,0,25,0,4,15,0,25,7,0
6.939,2,9.768,28.0,32.0,1.086,1.163,0.611,0.657,244.19,16.0,0,25,0,6,17,0,25,7,0
7.275,2,10.158,30.4,34.8,1.069,1.153,0.651,0.667,233.63,13.0,0,23,0,4,15,0,23,7,1
6.4,6,8.092,38.8,44.9,1.021,1.139,0.659,0.631,396.5,4.1,12,49,0,15,28,0,50,19,0
6.1,7,8.012,37.3,47.1,1.008,1.122,0.676,0.629,408.59,3.9,12,51,0,16,29,0,53,19,0
5.1,8,7.826,37.0,48.1,1.005,1.123,0.672,0.622,422.62,3.7,12,54,0,16,30,0,56,20,0
4.3,6,7.738,43.2,45.5,0.997,1.115,0.691,0.645,340.48,4.5,12,44,0,15,26,0,46,19,0
4.3,7,7.448,41.7,47.9,0.997,1.117,0.675,0.628,357.51,2.1,12,48,0,15,27,0,50,20,0
5.2,8,7.285,41.2,49.0,0.995,1.118,0.67,0.621,371.54,2.0,12,51,0,15,28,0,53,21,0
4.7,7,7.451,40.0,48.0,1.0,1.122,0.668,0.623,372.53,4.0,12,50,0,15,28,0,52,20,0
4.3,9,7.153,39.3,50.0,0.996,1.124,0.659,0.611,400.59,3.6,12,56,0,15,30,0,58,22,0
4.9,10,7.239,40.4,49.1,0.996,1.122,0.665,0.618,412.6,3.5,12,57,0,15,32,0,60,23,0
5.6,8,7.826,37.0,48.1,1.005,1.123,0.672,0.622,422.62,3.7,12,54,0,16,30,0,56,20,0
5.9,8,7.826,37.0,48.1,1.005,1.123,0.672,0.622,422.62,3.7,12,54,0,16,30,0,56,20,0
6.4,10,7.736,37.9,48.3,1.003,1.122,0.673,0.623,448.66,3.4,12,58,0,16,33,0,61,22,0
4.8,6,7.535,40.5,47.6,0.997,1.121,0.677,0.629,316.46,4.8,12,42,0,14,24,0,44,17,0
4.8,6,7.963,40.5,45.2,1.01,1.129,0.675,0.638,334.45,4.8,12,42,0,14,25,0,44,17,0
5.3,6,7.963,40.5,45.2,1.01,1.129,0.675,0.638,334.45,4.8,12,42,0,14,25,0,44,17,0
4.5,8,7.177,39.6,50.0,0.993,1.123,0.665,0.614,344.52,4.2,12,48,0,14,26,0,50,19,0
4.2,6,7.941,41.9,44.2,1.002,1.12,0.69,0.649,341.47,7.0,12,43,0,15,26,0,45,18,0
4.7,7,7.344,40.0,48.9,0.995,1.122,0.671,0.621,330.49,4.4,12,45,0,14,25,0,47,18,0
5.5,7,7.344,40.0,48.9,0.995,1.122,0.671,0.621,330.49,4.4,12,45,0,14,25,0,47,18,0
4.5,6,7.963,40.5,45.2,1.01,1.129,0.675,0.638,334.45,4.8,12,42,0,14,25,0,44,17,0
5.395,6,7.963,40.5,45.2,1.01,1.129,0.675,0.638,334.45,4.8,12,42,0,14,25,0,44,17,0
5.7,7,7.344,40.0,48.9,0.995,1.122,0.671,0.621,330.49,4.4,12,45,0,14,25,0,47,18,0
5.2,6,7.963,40.5,45.2,1.01,1.129,0.675,0.638,334.45,4.8,12,42,0,14,25,0,44,17,0
5.5,7,7.344,40.0,48.9,0.995,1.122,0.671,0.621,330.49,4.4,12,45,0,14,25,0,47,18,0
4.7,7,7.344,40.0,48.9,0.995,1.122,0.671,0.621,330.49,4.4,12,45,0,14,25,0,47,18,0
5.1,6,8.355,40.5,45.2,1.005,1.119,0.697,0.648,350.9,4.8,12,42,0,14,25,0,44,17,1
5.7,6,7.963,40.5,45.2,1.01,1.129,0.675,0.638,334.45,4.8,12,42,0,14,25,0,44,17,0
6.996,2,14.821,27.3,31.8,1.071,1.154,0.728,0.696,326.07,18.2,0,22,0,4,15,0,22,6,0
6.754,2,14.134,30.4,34.8,1.058,1.143,0.729,0.688,325.08,13.0,0,23,0,4,15,0,23,7,0
