pXC50,nN,nBM,nAB,SCBO,MW,nBO,Sv,nSK,nCsp2,Se,Si,Sp,nHet,nAT,nBT,nH,nC,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nB
5.15,3,24,23,42.5,377.47,30,30.037,27,20,43.407,47.87,31.387,6,43,46,16,21,8.778,48.8,37.2,1.009,1.113,0.73,0.699,7.0,0
5.1,4,23,23,39.5,346.84,28,28.074,25,19,40.033,44.428,29.449,5,40,43,15,20,8.671,50.0,37.5,1.001,1.111,0.736,0.702,10.0,0
5.15,5,23,22,55.0,527.73,43,46.68,39,20,75.629,85.763,49.574,8,76,80,37,31,6.944,40.8,48.7,0.995,1.128,0.652,0.614,6.6,0
5.0,2,13,12,34.0,478.68,27,27.598,25,13,40.345,44.081,29.404,8,39,41,14,17,12.274,43.6,35.9,1.034,1.13,0.754,0.708,5.1,0
6.2,3,13,11,31.5,319.47,24,26.422,22,9,42.989,48.571,28.426,6,43,45,21,16,7.43,37.2,48.8,1.0,1.13,0.661,0.614,7.0,0
6.3,7,21,18,50.0,507.55,38,36.846,35,16,57.378,63.377,36.955,14,55,58,20,21,9.228,38.2,36.4,1.043,1.152,0.672,0.67,12.7,0
6.3,7,34,33,66.5,587.76,49,48.561,43,28,72.163,80.394,50.972,10,72,78,29,33,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,0
6.194,7,34,33,66.5,587.76,49,48.561,43,28,72.163,80.394,50.972,10,72,78,29,33,8.163,45.8,40.3,1.002,1.117,0.708,0.674,9.7,0
5.1,2,17,16,31.0,349.22,22,21.792,20,14,29.698,31.838,22.966,6,29,31,9,14,12.042,48.3,31.0,1.024,1.098,0.792,0.751,6.9,0
6.0,6,18,18,48.0,503.02,39,39.427,35,16,62.076,69.935,40.841,10,61,65,26,25,8.246,41.0,42.6,1.018,1.146,0.67,0.646,9.8,0
5.5,6,18,18,46.0,471.0,37,37.517,33,16,58.68,66.18,39.142,9,58,62,25,24,8.121,41.4,43.1,1.012,1.141,0.675,0.647,10.3,0
