pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
5.229,8.211,52.4,40.5,0.99,1.101,0.737,0.692,344.86,4.8,23,42,0,23,28,0,45,22,1,0,21,1,0,0,17,3,1,0,2,0,0,0,25,0,1,0.0,0.089,4,39.5,41.596,46.262,30.961,29.085,2.4
4.996,10.199,46.2,38.5,1.008,1.104,0.778,0.716,397.77,5.1,17,39,0,17,26,0,41,18,3,0,15,3,0,0,15,6,4,0,2,0,0,1,24,0,3,0.0,0.146,6,34.5,39.32,43.07,30.324,27.927,7.7
5.745,8.249,38.1,42.9,1.015,1.13,0.675,0.645,346.45,9.5,16,42,0,17,26,0,44,16,0,0,11,5,1,0,18,8,1,0,4,3,0,1,24,0,0,7.1,0.114,5,35.0,42.651,47.448,28.364,27.105,0.0
4.9,9.351,39.0,36.6,1.046,1.142,0.675,0.672,383.41,7.3,16,41,0,17,28,0,43,16,0,0,12,4,1,2,15,10,1,0,3,4,0,1,26,0,2,9.8,0.14,6,37.0,42.902,46.838,27.688,27.565,4.9
5.347,7.534,34.9,47.6,1.01,1.139,0.645,0.611,474.65,9.5,11,63,0,15,36,0,66,22,0,0,11,11,4,0,30,11,1,0,6,4,0,1,33,0,0,6.3,0.106,7,45.5,63.6,71.73,40.637,38.496,0.0
5.824,8.055,39.5,41.9,1.029,1.13,0.647,0.641,346.37,4.7,6,43,0,12,26,0,44,17,0,0,12,5,6,0,18,8,0,0,2,6,0,0,25,0,0,14.0,0.114,5,35.0,44.236,48.575,27.83,27.546,0.0
4.542,6.01,40.0,56.0,0.981,1.125,0.631,0.576,300.48,0.0,0,50,0,6,22,0,50,20,0,0,11,9,6,0,28,2,0,0,0,2,0,0,22,0,0,4.0,0.1,5,28.0,49.025,56.232,31.569,28.805,0.0
5.347,7.614,41.4,46.6,1.005,1.118,0.669,0.632,441.59,1.7,12,58,0,14,34,0,61,24,0,0,14,10,2,0,27,7,1,0,1,5,0,1,31,0,0,8.6,0.082,5,42.0,58.302,64.863,38.824,36.631,0.0
5.086,9.472,41.0,35.9,1.045,1.148,0.685,0.68,369.4,7.7,16,39,0,17,27,0,41,16,0,0,12,4,1,3,14,9,1,0,3,2,0,1,25,0,3,5.1,0.122,5,36.0,40.76,44.759,26.716,26.518,7.7
4.728,6.316,41.9,53.2,0.982,1.122,0.647,0.595,391.6,1.6,6,62,0,12,30,0,63,26,0,0,17,9,6,0,33,3,0,0,1,2,0,0,29,0,0,3.2,0.095,6,39.0,60.894,69.56,40.097,36.88,0.0
5.119,9.787,46.2,38.5,1.015,1.112,0.747,0.704,381.7,5.1,17,39,0,17,26,0,41,18,3,0,15,3,0,0,15,6,3,0,2,1,0,0,24,0,3,2.6,0.146,6,34.5,39.571,43.36,29.131,27.455,7.7
5.174,10.67,46.2,35.9,1.023,1.11,0.769,0.725,416.14,5.1,17,39,0,17,27,0,41,18,4,0,15,3,0,0,14,7,4,0,2,1,0,0,25,0,4,2.6,0.146,6,35.5,39.895,43.304,29.989,28.282,10.3
