pXC50,nAB,nC,RBN,N.,nCsp2,MW,nSK,SCBO,nBM,nBO,nF,nDB,C.,Sv,Se,Sp,RBF,nAT,Si,nX,nBT,X.,nHet,nH
5.927,17,25,10,3.4,16,390.57,29,40.5,18,31,0,1,42.4,35.848,58.229,38.58,0.164,59.0,66.228,0,61.0,0.0,4,30
5.568,17,22,8,4.0,16,348.48,26,37.5,18,28,0,1,44.0,31.267,49.578,33.296,0.154,50.0,55.983,0,52.0,0.0,4,24
5.721,17,25,11,3.3,16,406.57,30,41.5,18,32,0,1,41.7,36.562,59.556,39.034,0.177,60.0,67.438,0,62.0,0.0,5,30
5.576,17,26,11,3.2,16,404.6,30,41.5,18,32,0,1,41.9,37.374,61.112,40.341,0.172,62.0,69.643,0,64.0,0.0,4,32
5.336,17,25,9,3.4,16,390.57,29,40.5,18,31,0,1,42.4,35.848,58.229,38.58,0.148,59.0,66.228,0,61.0,0.0,4,30
5.0,17,21,7,4.3,16,334.45,25,36.5,18,27,0,1,44.7,29.74,46.694,31.534,0.143,47.0,52.567,0,49.0,0.0,4,22
5.252,17,23,9,3.8,16,362.51,27,38.5,18,29,0,1,43.4,32.794,52.461,35.057,0.164,53.0,59.398,0,55.0,0.0,4,26
6.535,23,25,7,3.9,22,416.93,30,45.5,24,33,0,1,49.0,34.568,51.018,36.392,0.13,51.0,56.511,1,54.0,2.0,5,21
5.385,23,26,8,3.6,22,412.52,31,46.5,24,34,0,1,47.3,35.982,54.905,37.75,0.138,55.0,61.192,0,58.0,0.0,5,24
5.271,23,26,8,3.6,22,412.52,31,46.5,24,34,0,1,47.3,35.982,54.905,37.75,0.138,55.0,61.192,0,58.0,0.0,5,24
5.23,23,26,7,5.8,22,407.5,31,48.5,25,34,0,1,50.0,35.235,51.912,36.779,0.127,52.0,57.651,0,55.0,0.0,5,21
5.359,17,22,7,4.2,18,346.46,26,38.5,19,28,0,2,45.8,30.74,47.694,32.534,0.14,48.0,53.567,0,50.0,0.0,4,22
5.305,23,24,6,4.2,22,368.46,28,43.5,24,31,0,1,50.0,32.214,47.811,33.773,0.118,48.0,53.152,0,51.0,0.0,4,20
7.179,16,20,7,6.1,12,339.55,24,34.0,16,26,0,0,40.8,30.046,48.101,33.04,0.137,49.0,54.982,0,51.0,0.0,4,25
6.09,23,26,7,5.8,22,407.5,31,48.5,25,34,0,1,50.0,35.235,51.912,36.779,0.127,52.0,57.651,0,55.0,0.0,5,21
6.896,23,26,7,3.7,22,396.52,30,45.5,24,33,0,1,48.1,35.267,53.578,37.296,0.123,54.0,59.983,0,57.0,0.0,4,24
5.763,23,26,8,3.6,22,412.52,31,46.5,24,34,0,1,47.3,35.982,54.905,37.75,0.138,55.0,61.192,0,58.0,0.0,5,24
5.261,23,26,7,5.8,22,407.5,31,48.5,25,34,0,1,50.0,35.235,51.912,36.779,0.127,52.0,57.651,0,55.0,0.0,5,21
7.06,23,25,7,3.9,22,418.47,31,46.5,24,34,2,1,49.0,34.507,51.72,35.409,0.13,51.0,57.247,2,54.0,3.9,6,20
5.998,17,22,7,4.2,16,346.46,26,38.5,18,29,0,1,45.8,30.74,47.694,32.534,0.137,48.0,53.567,0,51.0,0.0,4,22
6.231,17,23,7,3.9,16,360.49,27,39.5,18,30,0,1,45.1,32.267,50.578,34.296,0.13,51.0,56.983,0,54.0,0.0,4,24
6.876,17,24,7,3.7,16,374.52,28,40.5,18,31,0,1,44.4,33.794,53.461,36.057,0.123,54.0,60.398,0,57.0,0.0,4,26
6.688,23,25,7,3.9,22,382.49,29,44.5,24,32,0,1,49.0,33.74,50.694,35.534,0.13,51.0,56.567,0,54.0,0.0,4,22
5.878,23,26,8,3.7,22,396.52,30,45.5,24,33,0,1,48.1,35.267,53.578,37.296,0.14,54.0,59.983,0,57.0,0.0,4,24
5.796,23,25,7,3.9,22,400.48,30,45.5,24,33,1,1,49.0,34.124,51.207,35.472,0.13,51.0,56.907,1,54.0,2.0,5,21
7.387,22,26,10,7.8,17,461.69,33,47.0,22,36,0,0,40.6,39.857,63.4,43.029,0.149,64.0,72.019,0,67.0,0.0,7,31
6.764,22,26,10,7.9,17,429.62,32,46.0,22,35,0,0,41.3,38.67,62.323,41.381,0.152,63.0,71.099,0,66.0,0.0,6,31
7.339,22,26,10,9.2,17,444.64,33,47.0,22,36,0,0,40.0,39.692,64.425,42.387,0.147,65.0,73.597,0,68.0,0.0,7,32
6.474,22,26,10,7.8,17,445.62,33,47.0,22,36,0,0,40.6,39.385,63.65,41.836,0.149,64.0,72.308,0,67.0,0.0,7,31
5.575,23,26,7,3.7,22,396.52,30,45.5,24,33,0,1,48.1,35.267,53.578,37.296,0.123,54.0,59.983,0,57.0,0.0,4,24
6.084,23,25,7,3.9,22,416.93,30,45.5,24,33,0,1,49.0,34.568,51.018,36.392,0.13,51.0,56.511,1,54.0,2.0,5,21
6.893,22,27,10,7.6,17,497.62,36,50.0,22,39,3,0,40.9,41.347,66.745,42.955,0.145,66.0,75.533,3,69.0,4.5,9,30
7.476,17,26,6,4.9,16,401.6,30,42.5,18,33,0,1,42.6,37.154,60.003,40.131,0.094,61.0,68.517,0,64.0,0.0,4,31
6.399,22,26,10,7.9,17,429.62,32,46.0,22,35,0,0,41.3,38.67,62.323,41.381,0.152,63.0,71.099,0,66.0,0.0,6,31
7.538,17,25,6,5.2,16,387.57,29,41.5,18,32,0,1,43.1,35.627,57.12,38.37,0.098,58.0,65.102,0,61.0,0.0,4,29
5.641,23,25,7,3.9,22,416.93,30,45.5,24,33,0,1,49.0,34.568,51.018,36.392,0.13,51.0,56.511,1,54.0,2.0,5,21
6.752,23,25,7,3.9,22,400.48,30,45.5,24,33,1,1,49.0,34.124,51.207,35.472,0.13,51.0,56.907,1,54.0,2.0,5,21
7.62,11,23,8,4.9,10,383.59,28,36.5,12,30,0,1,37.7,35.396,60.214,38.347,0.127,61.0,69.142,0,63.0,0.0,5,33
7.824,16,23,8,11.1,10,407.63,30,41.0,16,33,0,0,36.5,36.998,62.199,39.938,0.121,63.0,71.886,0,66.0,0.0,7,33
7.481,16,24,8,9.4,11,406.64,30,41.0,16,33,0,0,37.5,37.504,62.981,40.694,0.119,64.0,72.803,0,67.0,0.0,6,34
5.366,23,26,7,3.7,22,396.52,30,45.5,24,33,0,1,48.1,35.267,53.578,37.296,0.123,54.0,59.983,0,57.0,0.0,4,24
7.561,16,23,7,8.5,12,377.59,28,39.0,16,31,0,0,39.0,34.955,57.996,37.927,0.113,59.0,66.889,0,62.0,0.0,5,31
6.799,23,25,7,3.9,22,400.48,30,45.5,24,33,1,1,49.0,34.124,51.207,35.472,0.13,51.0,56.907,1,54.0,2.0,5,21
6.876,17,23,7,3.7,15,348.53,26,36.5,17,28,0,0,42.6,32.606,53.018,35.364,0.125,54.0,60.604,0,56.0,0.0,3,28
5.753,12,26,7,5.1,16,445.63,32,46.0,16,36,0,4,44.1,38.002,58.64,40.711,0.111,59.0,65.816,0,63.0,0.0,6,27
6.987,17,25,10,3.3,16,406.57,30,41.5,18,32,0,1,41.7,36.562,59.556,39.034,0.161,60.0,67.438,0,62.0,0.0,5,30
7.409,17,24,8,3.6,16,376.54,28,39.5,18,30,0,1,42.9,34.321,55.345,36.819,0.138,56.0,62.813,0,58.0,0.0,4,28
6.975,17,23,7,3.8,16,362.51,27,38.5,18,29,0,1,43.4,32.794,52.461,35.057,0.127,53.0,59.398,0,55.0,0.0,4,26
6.626,16,19,7,8.3,11,340.54,24,34.0,16,26,0,0,39.6,29.541,47.32,32.285,0.14,48.0,54.065,0,50.0,0.0,5,24
7.146,17,21,7,7.8,13,334.51,25,35.5,17,27,0,0,41.2,30.88,50.127,33.398,0.132,51.0,57.56,0,53.0,0.0,4,26
6.923,16,20,7,8.0,12,322.5,24,34.0,16,26,0,0,40.0,29.88,49.127,32.398,0.135,50.0,56.56,0,52.0,0.0,4,26
6.357,16,19,7,10.2,11,323.49,24,34.0,16,26,0,0,38.8,29.375,48.345,31.643,0.137,49.0,55.644,0,51.0,0.0,5,25
6.301,16,19,7,10.2,11,323.49,24,34.0,16,26,0,0,38.8,29.375,48.345,31.643,0.137,49.0,55.644,0,51.0,0.0,5,25
5.363,17,22,6,4.0,16,348.48,26,37.5,18,28,0,1,44.0,31.267,49.578,33.296,0.115,50.0,55.983,0,52.0,0.0,4,24
7.781,17,24,8,3.6,16,376.54,28,39.5,18,30,0,1,42.9,34.321,55.345,36.819,0.138,56.0,62.813,0,58.0,0.0,4,28
5.559,17,23,8,3.8,16,362.51,27,38.5,18,29,0,1,43.4,32.794,52.461,35.057,0.145,53.0,59.398,0,55.0,0.0,4,26
6.924,17,23,8,3.8,16,362.51,27,38.5,18,29,0,1,43.4,32.794,52.461,35.057,0.145,53.0,59.398,0,55.0,0.0,4,26
5.899,17,23,8,5.5,15,377.53,28,39.5,18,30,0,1,41.8,33.815,54.563,36.063,0.14,55.0,61.896,0,57.0,0.0,5,27
5.416,17,23,8,5.5,15,377.53,28,39.5,18,30,0,1,41.8,33.815,54.563,36.063,0.14,55.0,61.896,0,57.0,0.0,5,27
6.562,17,22,6,6.0,14,331.5,25,36.5,17,28,0,0,44.0,30.859,49.025,33.393,0.113,50.0,56.062,0,53.0,0.0,3,25
6.883,17,22,7,5.8,14,333.52,25,35.5,17,27,0,0,42.3,31.386,50.909,34.154,0.13,52.0,58.477,0,54.0,0.0,3,27
7.328,17,22,7,5.8,14,333.52,25,35.5,17,27,0,0,42.3,31.386,50.909,34.154,0.13,52.0,58.477,0,54.0,0.0,3,27
6.532,16,18,7,12.5,10,324.48,24,34.0,16,26,0,0,37.5,28.87,47.563,30.887,0.14,48.0,54.727,0,50.0,0.0,6,24
6.867,11,22,7,5.2,9,339.58,25,32.5,11,27,0,0,37.9,32.966,56.559,36.438,0.117,58.0,65.723,0,60.0,0.0,3,33
6.756,17,22,7,5.8,14,333.52,25,35.5,17,27,0,0,42.3,31.386,50.909,34.154,0.13,52.0,58.477,0,54.0,0.0,3,27
6.985,17,23,7,5.5,14,347.55,26,36.5,17,28,0,0,41.8,32.913,53.792,35.915,0.123,55.0,61.893,0,57.0,0.0,3,29
7.223,17,22,7,7.4,14,348.54,26,36.5,17,28,0,0,40.7,32.407,53.01,35.16,0.125,54.0,60.976,0,56.0,0.0,4,28
7.323,17,25,7,3.5,16,424.53,31,43.5,18,34,2,1,43.9,36.087,57.37,37.694,0.117,57.0,64.492,2,60.0,3.5,6,26
5.565,17,24,9,3.6,16,376.54,28,39.5,18,30,0,1,42.9,34.321,55.345,36.819,0.155,56.0,62.813,0,58.0,0.0,4,28
7.119,17,25,9,3.4,16,390.57,29,40.5,18,31,0,1,42.4,35.848,58.229,38.58,0.148,59.0,66.228,0,61.0,0.0,4,30
7.146,17,22,7,5.7,14,349.52,26,36.5,17,28,0,0,41.5,32.101,52.236,34.608,0.127,53.0,59.687,0,55.0,0.0,4,27
