pXC50,nCsp2,nAB,nBM,H.,C.,Mv,Mi,Mp,SCBO,nS,AMW,nSK,MW
8.066,6,6,6,51.3,33.3,0.578,1.149,0.599,22.0,0,7.009,19,273.34
6.757,6,6,6,51.3,33.3,0.578,1.149,0.599,22.0,0,7.009,19,273.34
5.17,6,6,6,48.1,37.0,0.605,1.134,0.627,18.0,0,7.231,14,195.24
7.89,13,16,16,48.1,38.5,0.619,1.127,0.662,37.0,1,7.453,27,387.55
4.0,7,6,7,53.8,36.5,0.578,1.135,0.621,30.0,0,6.394,24,332.49
6.796,7,6,7,55.7,36.1,0.567,1.136,0.616,33.0,0,6.141,27,374.58
7.94,16,17,18,48.4,39.1,0.61,1.131,0.64,44.5,0,7.087,33,453.59
6.5,15,17,17,48.3,38.3,0.608,1.132,0.636,41.5,0,7.126,31,427.55
5.0,7,6,7,54.8,35.5,0.57,1.137,0.613,34.0,0,6.3,28,390.58
7.3,15,17,17,47.5,39.0,0.624,1.128,0.662,41.5,0,8.313,31,490.44
6.071,7,6,7,54.8,35.5,0.57,1.137,0.613,34.0,0,6.3,28,390.58
5.0,13,12,13,50.0,38.6,0.599,1.135,0.631,45.0,0,6.952,35,486.64
7.83,15,17,17,50.0,38.7,0.602,1.131,0.637,41.5,0,6.864,31,425.58
8.0,9,11,11,54.0,36.0,0.576,1.138,0.621,29.5,0,6.35,23,317.48
7.96,15,17,17,49.2,38.1,0.603,1.133,0.634,42.5,0,7.009,32,441.58
8.71,15,17,17,46.4,39.3,0.63,1.128,0.667,40.5,0,8.507,30,476.41
6.051,7,6,7,54.5,36.4,0.574,1.135,0.619,31.0,0,6.3,25,346.52
8.16,15,17,17,49.2,38.1,0.603,1.133,0.634,42.5,0,7.009,32,441.58
4.0,7,6,7,57.1,35.7,0.56,1.136,0.612,36.0,0,5.952,30,416.67
8.12,15,17,17,44.6,39.3,0.645,1.127,0.682,41.5,0,9.122,31,510.85
7.88,15,17,17,50.0,37.9,0.599,1.133,0.632,43.5,0,6.903,33,455.61
7.65,15,17,17,51.5,38.2,0.593,1.132,0.633,43.5,0,6.671,33,453.64
5.835,8,6,8,50.8,33.9,0.598,1.141,0.64,35.0,0,7.55,29,445.44
7.63,1,0,1,60.0,30.0,0.532,1.15,0.582,17.0,0,5.709,16,228.38
5.94,15,17,17,48.4,38.7,0.618,1.129,0.659,42.5,0,8.137,32,504.47
8.5,9,11,11,50.0,36.4,0.609,1.134,0.657,28.5,0,8.371,22,368.31
7.72,13,16,16,50.0,38.9,0.611,1.126,0.661,37.0,1,7.14,27,385.58
5.0,13,12,13,54.1,37.6,0.579,1.132,0.624,49.0,0,6.339,39,538.8
8.839,15,17,17,50.8,38.5,0.597,1.132,0.635,42.5,0,6.763,32,439.61
7.23,15,17,17,47.3,40.0,0.626,1.122,0.666,39.5,1,7.538,29,414.57
4.15,7,6,7,50.0,33.3,0.603,1.143,0.646,29.0,0,7.82,24,375.34
5.495,7,6,7,51.0,33.3,0.598,1.143,0.643,30.0,0,7.635,25,389.37
4.886,13,12,13,52.1,38.4,0.59,1.13,0.63,45.0,0,6.612,35,482.68
8.911,13,16,16,47.9,39.6,0.624,1.125,0.671,35.0,1,7.448,25,357.52
8.29,18,22,22,45.2,40.3,0.636,1.125,0.671,48.0,1,7.752,34,480.64
8.541,19,22,22,47.0,40.9,0.629,1.122,0.669,49.0,1,7.48,35,493.68
7.03,10,11,12,52.5,33.9,0.578,1.144,0.615,35.5,0,6.603,28,389.56
8.1,15,17,17,47.5,39.0,0.62,1.13,0.654,41.5,0,7.559,31,445.99
9.03,13,12,14,45.8,39.6,0.624,1.132,0.651,36.0,0,7.384,26,354.45
7.51,15,17,17,47.5,39.0,0.624,1.128,0.662,41.5,0,8.313,31,490.44
7.21,9,11,11,54.0,36.0,0.576,1.138,0.621,29.5,0,6.35,23,317.48
8.24,10,11,11,51.2,39.0,0.596,1.129,0.634,26.5,0,6.717,20,275.38
8.46,19,22,22,47.0,40.9,0.629,1.122,0.669,49.0,1,7.48,35,493.68
5.95,15,17,17,47.3,40.0,0.617,1.128,0.644,39.5,0,7.245,29,398.5
8.22,16,17,18,47.7,38.5,0.611,1.132,0.637,45.5,0,7.224,34,469.59
7.61,15,17,17,50.0,37.9,0.599,1.133,0.632,43.5,0,6.903,33,455.61
7.51,16,17,18,46.7,38.3,0.616,1.134,0.641,43.5,0,7.342,32,440.55
8.3,19,22,22,44.4,41.3,0.647,1.121,0.686,49.0,1,8.16,35,514.09
7.36,16,17,18,46.3,38.9,0.621,1.135,0.648,40.5,0,7.324,29,395.51
4.58,15,17,17,51.9,42.3,0.604,1.125,0.657,35.5,0,6.414,25,333.52
8.658,6,6,6,53.1,34.4,0.574,1.139,0.608,18.0,0,6.603,15,211.29
5.42,1,0,1,60.4,32.1,0.535,1.144,0.591,23.0,0,5.595,21,296.51
6.55,1,0,1,60.5,30.2,0.53,1.149,0.583,18.0,0,5.637,17,242.41
6.71,1,0,1,61.5,28.2,0.52,1.153,0.572,15.0,0,5.548,15,216.37
4.87,0,0,0,63.9,27.8,0.507,1.152,0.564,12.0,0,5.259,13,189.34
6.55,9,6,8,55.3,36.2,0.57,1.136,0.618,26.0,0,6.18,21,290.45
6.92,1,0,1,61.9,28.6,0.519,1.152,0.573,16.0,0,5.486,16,230.4
6.31,0,0,0,64.1,28.2,0.507,1.151,0.565,13.0,0,5.215,14,203.37
8.36,19,22,22,46.0,41.3,0.634,1.121,0.673,48.0,1,7.613,34,479.65
6.77,6,10,10,42.9,35.7,0.651,1.143,0.694,23.0,0,10.078,16,282.17
6.201,6,10,10,39.3,35.7,0.688,1.137,0.742,24.0,0,12.895,17,361.06
8.3,12,12,12,55.2,37.3,0.573,1.131,0.62,37.0,0,6.203,30,415.63
4.987,4,0,3,51.5,33.3,0.584,1.151,0.624,21.0,0,6.646,16,219.33
5.201,6,10,10,45.2,35.5,0.638,1.142,0.683,24.0,0,9.555,17,296.2
6.495,6,6,6,56.8,34.1,0.557,1.139,0.602,22.0,0,6.077,19,267.41
8.3,7,6,7,52.5,35.0,0.579,1.137,0.611,23.0,0,6.684,19,267.36
8.3,13,12,13,49.1,38.2,0.603,1.13,0.63,36.0,0,7.082,28,389.49
8.801,7,6,7,53.5,34.9,0.574,1.137,0.609,24.0,0,6.544,20,281.39
4.3,7,6,7,39.1,39.1,0.688,1.132,0.73,19.0,0,10.005,14,230.11
6.8,7,6,7,52.5,35.0,0.579,1.137,0.611,23.0,0,6.684,19,267.36
9.5,13,12,13,49.0,38.8,0.606,1.131,0.637,33.0,0,7.03,25,344.45
7.4,6,6,6,56.9,35.3,0.56,1.136,0.608,26.0,0,6.029,22,307.48
7.01,12,12,12,45.8,39.6,0.62,1.134,0.637,34.0,0,7.571,26,363.42
6.4,6,6,6,55.6,33.3,0.56,1.14,0.599,23.0,0,6.298,20,283.41
7.2,6,6,6,57.5,35.0,0.556,1.137,0.607,20.0,0,5.934,17,237.38
5.435,12,12,12,43.1,39.2,0.629,1.148,0.632,37.0,0,8.106,29,413.43
6.427,6,6,6,47.8,34.8,0.6,1.139,0.616,15.0,0,7.357,12,169.2
4.5,12,12,12,45.8,39.6,0.64,1.122,0.694,34.0,0,9.819,26,471.32
8.12,6,6,6,56.8,34.1,0.557,1.139,0.602,22.0,0,6.077,19,267.41
6.82,7,6,7,56.5,34.8,0.561,1.139,0.61,24.0,0,6.053,20,278.44
5.8,5,5,6,51.5,33.3,0.593,1.132,0.64,19.5,1,7.375,16,243.36
6.01,0,0,0,63.9,27.8,0.507,1.152,0.564,12.0,0,5.259,13,189.34
4.57,1,0,1,60.0,28.6,0.527,1.151,0.571,14.0,0,5.809,14,203.32
4.55,1,0,1,60.0,28.6,0.527,1.151,0.571,14.0,0,5.809,14,203.32
6.34,5,5,6,52.8,33.3,0.586,1.133,0.635,20.5,1,7.15,17,257.39
5.1,1,0,1,60.0,31.1,0.534,1.145,0.584,19.0,0,5.72,18,257.42
4.96,5,5,6,52.8,33.3,0.586,1.133,0.635,20.5,1,7.15,17,257.39
8.26,7,6,7,57.1,34.7,0.558,1.139,0.609,25.0,0,5.969,21,292.47
4.91,1,0,1,59.5,31.0,0.535,1.145,0.583,18.0,0,5.795,17,243.39
6.41,1,0,1,61.5,28.2,0.52,1.153,0.572,15.0,0,5.548,15,216.37
5.4,6,6,6,56.9,35.3,0.56,1.136,0.608,26.0,0,6.029,22,307.48
8.48,10,6,8,48.0,38.0,0.606,1.137,0.627,33.0,0,7.309,26,365.44
8.07,1,0,1,60.0,30.0,0.532,1.15,0.582,17.0,0,5.709,16,228.38
7.3,10,6,9,47.5,40.0,0.616,1.127,0.642,28.0,0,7.234,21,289.36
6.17,9,11,11,48.7,38.5,0.608,1.134,0.641,27.5,0,7.009,20,273.37
9.05,9,11,11,46.8,36.2,0.605,1.16,0.619,31.5,0,7.605,25,357.42
9.07,9,11,11,42.9,38.1,0.628,1.159,0.633,31.5,0,8.128,24,341.37
7.97,15,17,17,48.2,39.3,0.612,1.131,0.642,39.5,0,7.099,29,397.52
6.58,14,12,13,47.1,41.2,0.622,1.126,0.651,37.0,0,7.225,27,368.47
7.46,13,12,13,51.0,41.2,0.604,1.125,0.648,34.0,0,6.637,25,338.49
6.13,6,6,6,56.8,34.1,0.557,1.139,0.602,22.0,0,6.077,19,267.41
7.62,15,17,17,49.2,39.0,0.606,1.131,0.64,40.5,0,6.975,30,411.55
6.73,19,22,22,45.5,43.6,0.645,1.116,0.69,44.0,1,7.629,30,419.59
7.57,2,5,5,53.3,28.9,0.571,1.149,0.614,24.5,1,7.033,21,316.48
7.22,9,11,11,52.3,36.4,0.585,1.138,0.626,27.5,0,6.578,21,289.42
8.699,14,12,13,46.9,40.8,0.62,1.125,0.646,35.0,0,7.295,26,357.44
6.21,8,6,7,50.0,39.5,0.603,1.128,0.637,25.0,0,6.878,19,261.35
7.81,8,6,7,50.0,38.2,0.599,1.131,0.631,22.0,0,6.921,17,235.31
8.22,19,22,22,47.0,40.9,0.629,1.122,0.669,49.0,1,7.48,35,493.68
8.04,19,22,22,47.8,40.6,0.623,1.123,0.665,50.0,1,7.358,36,507.71
6.62,12,12,12,45.8,39.6,0.62,1.134,0.637,34.0,0,7.571,26,363.42
7.88,13,12,13,50.0,41.7,0.61,1.125,0.652,33.0,0,6.76,24,324.46
7.48,1,0,1,59.1,31.8,0.541,1.145,0.592,20.0,0,5.782,18,254.42
7.53,19,22,22,46.0,41.3,0.634,1.121,0.673,48.0,1,7.613,34,479.65
7.77,15,17,17,49.2,38.1,0.603,1.133,0.634,42.5,0,7.009,32,441.58
8.19,13,16,16,48.1,38.5,0.619,1.127,0.662,37.0,1,7.453,27,387.55
7.7,15,17,17,51.5,38.2,0.593,1.132,0.633,43.5,0,6.671,33,453.64
5.58,12,12,12,45.8,39.6,0.62,1.134,0.637,34.0,0,7.571,26,363.42
7.92,1,0,1,59.1,31.8,0.541,1.145,0.592,20.0,0,5.782,18,254.42
7.27,19,22,22,46.0,41.3,0.634,1.121,0.673,48.0,1,7.613,34,479.65
8.21,13,16,16,45.7,41.3,0.64,1.121,0.683,36.0,1,7.728,25,355.5
7.68,15,17,17,48.2,39.3,0.612,1.131,0.642,39.5,0,7.099,29,397.52
8.719,9,11,11,42.9,38.1,0.628,1.159,0.633,31.5,0,8.128,24,341.37
7.78,13,12,13,51.0,41.2,0.604,1.125,0.648,34.0,0,6.637,25,338.49
5.769,6,6,6,52.3,34.1,0.574,1.154,0.6,24.0,0,6.895,21,303.39
6.8,7,6,7,53.7,34.1,0.572,1.141,0.609,23.0,0,6.497,19,266.38
7.98,1,0,1,60.0,30.0,0.532,1.15,0.582,17.0,0,5.709,16,228.38
4.87,0,0,0,63.9,27.8,0.507,1.152,0.564,12.0,0,5.259,13,189.34
6.51,1,0,1,61.1,27.8,0.521,1.155,0.57,14.0,0,5.621,14,202.34
5.88,1,0,1,61.5,30.8,0.526,1.147,0.583,21.0,0,5.471,20,284.5
4.43,2,0,1,62.5,30.0,0.519,1.147,0.576,15.0,0,5.384,15,215.38
6.92,2,0,2,59.3,31.5,0.539,1.145,0.589,24.0,0,5.787,22,312.51
5.82,0,0,0,63.5,30.8,0.517,1.145,0.579,19.0,0,5.221,19,271.5
6.31,0,0,0,64.1,28.2,0.507,1.151,0.565,13.0,0,5.215,14,203.37
7.08,1,0,1,60.5,30.2,0.53,1.149,0.583,18.0,0,5.637,17,242.41
6.74,0,0,0,64.3,28.6,0.507,1.15,0.567,14.0,0,5.176,15,217.4
4.9,0,0,0,61.9,28.6,0.519,1.152,0.573,16.0,0,5.486,16,230.4
6.24,1,0,1,60.6,27.3,0.522,1.156,0.569,13.0,0,5.706,13,188.31
7.32,1,0,1,61.9,28.6,0.519,1.152,0.573,16.0,0,5.486,16,230.4
7.09,0,0,0,62.2,29.7,0.52,1.148,0.575,14.0,0,5.442,14,201.35
4.51,0,0,0,61.4,31.8,0.53,1.144,0.587,18.0,0,5.487,17,241.42
