pXC50,Me,nHet,nDB,nO
4.921,1.011,5,0,1
5.0,1.0,7,1,3
7.167,0.998,7,1,3
5.0,0.998,7,1,3
7.066,0.996,7,1,3
6.215,0.992,7,1,2
5.658,0.998,7,1,3
5.959,0.994,7,1,2
7.215,0.998,7,1,3
7.155,0.99,6,1,2
5.959,0.991,6,1,2
7.31,1.0,7,1,3
6.367,1.002,7,1,3
6.42,1.002,7,1,3
6.678,1.0,7,1,3
5.585,1.005,7,1,3
6.208,1.0,7,1,3
7.167,1.0,7,1,3
5.301,1.005,7,1,3
7.602,0.998,7,1,3
6.143,1.004,7,1,3
5.42,0.996,7,1,3
7.319,0.996,7,1,3
7.523,0.994,7,1,3
6.959,0.993,7,1,3
7.237,0.998,7,1,3
7.699,0.996,7,1,3
8.0,0.995,7,1,3
7.252,0.996,7,1,3
5.975,1.005,6,2,2
5.876,1.013,8,2,4
5.222,0.978,4,2,1
5.268,0.976,4,2,1
5.046,0.975,4,2,1
5.301,0.988,5,2,2
6.301,0.981,4,2,1
5.886,0.982,4,2,1
6.409,0.985,5,2,2
6.62,0.984,5,2,2
6.097,0.983,5,2,2
5.824,0.982,5,2,2
6.959,0.982,5,2,2
6.347,0.983,5,2,2
6.886,0.984,5,2,2
6.77,0.985,5,2,2
5.886,0.985,5,2,2
5.398,0.985,5,2,2
7.022,0.982,5,2,2
5.796,0.978,4,2,1
6.886,0.978,4,2,1
4.796,0.978,4,2,1
7.125,0.983,5,2,2
7.004,0.977,4,2,1
6.886,0.981,5,2,2
5.699,0.987,6,2,1
7.328,0.99,6,2,2
6.959,0.986,6,2,1
4.0,0.967,1,0,0
4.658,0.973,2,0,1
4.495,0.967,1,0,0
4.398,0.967,1,0,0
4.222,0.966,1,0,0
4.493,0.966,1,0,0
4.0,0.966,1,0,0
4.155,0.971,2,0,1
4.456,0.966,1,0,0
4.456,0.965,1,0,0
4.824,0.965,1,0,0
4.886,0.965,1,0,0
4.444,0.965,1,0,0
4.569,0.965,1,0,0
6.0,1.002,11,3,3
5.244,0.975,3,1,2
6.187,0.985,4,1,2
5.502,0.985,5,2,4
5.921,0.987,5,2,4
5.402,0.985,4,1,2
6.301,0.983,4,1,2
5.4,0.978,4,1,2
5.556,0.981,4,1,2
5.66,0.98,4,1,2
5.648,0.98,4,1,2
5.398,0.983,4,1,2
5.301,0.978,3,0,1
5.658,0.985,4,1,2
5.678,0.984,4,1,2
5.0,0.985,4,1,2
6.367,0.984,4,1,2
5.208,0.983,4,1,2
5.367,0.987,4,1,2
5.0,0.977,3,0,1
7.208,0.985,4,1,2
5.0,0.984,4,1,2
5.495,0.984,4,1,2
5.0,0.985,4,1,2
5.469,0.985,4,1,2
5.081,0.992,5,1,3
5.301,0.987,4,1,2
5.678,0.985,4,1,2
6.745,0.985,4,1,2
5.796,0.985,4,1,2
5.959,0.985,4,1,2
6.131,0.977,3,0,1
5.553,0.985,4,1,2
5.854,0.985,4,1,2
5.0,0.985,4,1,2
5.456,0.984,4,1,2
5.413,0.977,3,1,2
