pXC50,RBF,nCL,nDB,RBN,nX,X.,AMW,C.,H.
4.544,0.173,1,1,9,1,2.0,6.881,37.3,52.9
4.496,0.173,1,1,9,1,2.0,6.881,37.3,52.9
5.772,0.013,0,6,1,0,0.0,6.347,40.8,53.5
4.456,0.059,0,5,2,0,0.0,8.509,37.5,37.5
4.638,0.196,1,1,9,1,2.2,7.552,35.6,48.9
4.618,0.184,1,1,9,1,2.1,7.373,35.4,50.0
4.38,0.133,1,1,6,1,2.3,7.857,37.2,46.5
5.678,0.105,0,5,4,0,0.0,8.844,36.1,38.9
5.886,0.067,0,5,3,0,0.0,8.773,40.5,38.1
4.695,0.133,1,1,6,2,4.7,8.275,37.2,44.2
4.607,0.057,0,6,2,0,0.0,8.736,36.4,36.4
4.509,0.125,1,1,6,1,2.2,7.649,37.0,47.8
4.202,0.143,1,1,6,1,2.5,8.497,37.5,45.0
4.381,0.143,1,3,8,1,1.9,8.241,33.3,46.3
4.917,0.115,1,1,6,1,2.0,7.916,40.8,44.9
4.827,0.098,0,6,4,0,0.0,8.112,35.9,41.0
4.4,0.061,0,5,2,0,0.0,8.816,35.5,35.5
4.532,0.133,1,1,6,2,4.7,8.275,37.2,44.2
4.279,0.133,1,1,6,1,2.3,8.23,37.2,46.5
4.567,0.186,1,1,8,1,2.4,7.758,35.7,47.6
4.622,0.204,1,1,10,1,2.1,7.373,35.4,50.0
4.686,0.054,0,6,2,0,0.0,8.666,37.1,37.1
4.78,0.154,1,1,8,1,2.0,7.214,35.3,51.0
5.292,0.061,0,5,2,0,0.0,9.334,38.7,35.5
4.775,0.095,0,5,4,0,0.0,8.286,37.5,42.5
4.389,0.087,0,5,4,0,0.0,8.172,39.5,39.5
4.489,0.118,1,1,6,1,2.0,7.467,36.7,49.0
5.602,0.083,0,5,4,0,0.0,8.054,42.2,40.0
4.936,0.054,0,6,2,0,0.0,9.125,37.1,37.1
4.593,0.163,1,1,8,1,2.1,7.373,35.4,50.0
5.602,0.083,0,5,4,0,0.0,8.5,40.0,40.0
5.066,0.093,0,6,4,0,0.0,8.474,36.6,41.5
4.334,0.056,0,5,2,0,0.0,8.45,38.2,38.2
4.642,0.184,1,1,9,2,4.2,7.747,35.4,47.9
4.68,0.218,1,1,12,1,1.9,7.073,35.2,51.9
5.114,0.103,0,5,4,0,0.0,8.145,35.1,40.5
4.759,0.118,1,1,6,1,2.0,7.467,36.7,49.0
5.0,0.093,0,6,4,0,0.0,8.082,36.6,41.5
4.368,0.148,1,3,8,1,1.9,8.269,34.6,46.2
4.542,0.191,1,1,9,1,2.2,7.736,34.8,47.8
4.64,0.133,2,1,6,2,4.7,8.658,37.2,44.2
4.996,0.061,0,5,2,0,0.0,8.815,38.7,35.5
4.854,0.064,0,5,3,1,2.3,9.778,46.5,30.2
5.602,0.089,0,5,4,0,0.0,8.773,40.5,38.1
4.68,0.133,2,1,6,2,4.7,8.658,37.2,44.2
4.907,0.176,1,1,9,1,2.0,7.467,36.7,49.0
4.381,0.125,1,1,6,1,2.2,7.649,37.0,47.8
5.004,0.095,0,5,4,0,0.0,7.884,37.5,42.5
5.387,0.064,0,5,3,0,0.0,9.36,46.5,32.6
4.733,0.133,1,1,6,2,4.7,8.275,37.2,44.2
4.83,0.095,0,5,4,0,0.0,7.784,40.0,42.5
4.29,0.133,1,1,6,2,4.7,8.275,37.2,44.2
4.279,0.133,1,1,6,2,4.7,8.275,37.2,44.2
4.762,0.056,0,5,2,0,0.0,8.923,38.2,38.2
