pXC50,nCsp3,nAT,nBT,Se
4.587,0,23,24,23.593
4.101,1,47,50,46.785
4.117,1,48,51,47.56
4.701,1,46,49,45.458
4.558,1,46,49,46.003
4.967,1,45,48,44.676
5.203,1,49,52,48.265
4.359,2,50,53,49.669
5.745,1,47,50,46.676
4.237,1,50,54,49.56
4.131,1,31,32,31.68
4.175,5,43,44,43.214
4.048,2,48,50,48.76
4.04,2,49,51,50.087
4.14,2,48,51,48.433
5.295,8,53,56,52.756
4.053,2,47,49,47.138
4.041,2,51,54,51.24
4.24,5,46,47,46.022
4.273,4,43,44,43.138
4.638,3,43,44,43.909
4.609,5,48,49,48.123
4.833,2,50,53,49.912
4.41,2,48,50,48.465
4.688,2,48,50,48.465
4.42,2,47,49,47.138
4.268,2,43,45,43.003
4.013,2,42,44,42.222
5.42,0,31,34,31.393
9.0,1,40,42,40.742
5.161,5,40,42,40.029
6.553,8,64,68,64.64
9.699,7,46,48,47.007
8.631,6,50,53,49.796
6.562,6,44,46,43.912
8.083,7,53,56,52.68
6.179,6,52,55,51.905
5.83,7,55,58,54.789
6.073,7,56,59,55.563
5.0,11,60,64,60.098
4.024,1,37,39,38.076
7.125,7,69,73,68.727
4.46,1,21,22,20.956
4.347,2,30,31,30.604
4.907,2,27,28,27.185
4.759,0,20,21,20.829
5.42,1,33,36,32.949
4.01,0,25,27,25.033
6.003,1,37,39,37.564
6.036,0,25,27,25.284
4.481,2,39,41,39.145
4.578,2,23,24,22.84
4.936,2,41,42,41.807
5.824,1,32,34,32.814
4.486,0,21,22,20.938
6.699,0,71,76,75.051
5.583,9,55,58,54.556
4.569,1,46,49,49.527
