pXC50,RBF,SCBO,MW,nSK
3.59,0.163,40.5,455.52,30
4.509,0.087,33.0,365.45,25
7.921,0.053,35.5,345.43,23
5.658,0.189,27.5,330.17,22
4.959,0.116,33.5,384.47,25
5.051,0.179,21.5,258.1,17
6.415,0.073,26.0,277.35,20
6.686,0.106,28.0,305.41,22
6.547,0.073,26.0,277.35,20
4.638,0.093,31.0,334.43,23
6.83,0.073,27.0,295.34,21
6.821,0.053,25.0,263.32,19
6.469,0.068,27.0,291.38,21
6.66,0.106,28.0,305.41,22
6.818,0.095,30.0,302.36,22
6.654,0.088,28.5,300.33,20
3.848,0.143,51.5,547.65,37
4.398,0.159,35.5,396.48,26
6.268,0.069,26.0,270.29,18
4.62,0.091,48.0,517.62,36
7.553,0.083,18.0,199.18,14
