pXC50,nAB,nBM,nCsp2,C.,Mi,Mv
5.0,11,18,16,33.6,1.143,0.577
7.553,12,17,15,34.2,1.142,0.576
5.409,12,17,15,33.6,1.144,0.571
4.886,12,17,15,34.2,1.143,0.578
5.0,12,19,15,33.9,1.14,0.585
5.187,12,17,16,35.5,1.139,0.58
5.102,12,17,15,34.2,1.142,0.576
5.0,12,17,15,34.2,1.143,0.58
5.0,12,17,15,33.9,1.144,0.573
5.328,12,17,15,33.6,1.143,0.569
4.137,12,16,14,33.9,1.14,0.577
5.097,12,17,15,34.2,1.142,0.57
5.0,12,18,15,34.2,1.139,0.584
4.0,12,16,14,33.9,1.14,0.577
5.0,12,15,13,35.1,1.134,0.594
5.0,6,12,14,35.8,1.135,0.591
5.0,12,15,14,35.8,1.132,0.596
5.0,12,15,14,35.9,1.134,0.583
5.0,6,12,14,35.8,1.135,0.591
5.0,11,14,11,33.7,1.138,0.594
5.0,17,20,17,36.6,1.135,0.599
5.0,12,15,14,35.9,1.134,0.583
5.0,12,15,14,35.8,1.135,0.591
5.0,12,15,14,36.2,1.134,0.59
5.0,12,17,15,33.9,1.143,0.571
5.0,12,17,15,33.9,1.144,0.572
5.0,12,17,15,33.9,1.144,0.574
6.553,0,4,4,30.7,1.147,0.542
7.222,0,5,5,30.6,1.148,0.546
7.086,0,4,4,30.2,1.148,0.539
6.328,0,4,4,30.5,1.147,0.542
5.0,6,9,8,33.3,1.137,0.562
7.292,0,4,4,30.3,1.148,0.539
5.0,6,9,8,33.3,1.137,0.559
5.0,6,8,7,33.3,1.136,0.556
5.0,6,9,8,33.3,1.137,0.556
5.0,6,9,8,33.3,1.137,0.557
5.191,6,8,7,34.1,1.135,0.563
4.921,10,14,12,35.1,1.138,0.577
6.721,0,5,5,30.4,1.148,0.548
5.0,6,9,8,33.3,1.137,0.562
5.289,12,16,15,36.1,1.132,0.576
5.495,12,17,15,34.2,1.142,0.574
5.277,6,9,8,33.3,1.137,0.554
5.0,12,14,12,35.6,1.129,0.584
5.0,6,9,8,33.7,1.135,0.567
8.584,17,23,20,36.0,1.145,0.6
4.0,6,8,8,32.6,1.143,0.549
5.1,6,11,9,32.1,1.15,0.582
7.222,11,15,14,36.3,1.135,0.576
6.921,0,4,4,30.1,1.149,0.54
5.0,11,14,13,35.8,1.136,0.567
5.0,11,14,13,35.4,1.137,0.566
5.0,11,14,13,35.4,1.137,0.566
7.237,0,4,4,31.6,1.145,0.545
5.0,10,14,12,34.5,1.14,0.576
5.0,10,17,15,33.6,1.142,0.581
6.921,0,4,4,30.4,1.148,0.539
7.086,0,4,4,30.6,1.148,0.537
5.0,10,15,13,34.0,1.141,0.573
6.319,0,4,4,31.2,1.147,0.545
7.167,0,4,4,30.4,1.148,0.538
7.237,0,4,4,30.6,1.148,0.537
5.0,12,16,13,33.6,1.14,0.574
6.699,0,7,7,30.1,1.15,0.55
5.77,0,6,6,29.9,1.15,0.549
6.745,11,14,13,36.5,1.135,0.571
7.201,11,14,13,35.8,1.136,0.567
7.26,0,3,3,32.1,1.143,0.539
7.032,0,4,4,31.5,1.145,0.546
7.215,0,3,3,31.3,1.145,0.536
7.432,6,10,9,33.3,1.142,0.558
6.208,10,15,13,34.5,1.14,0.573
6.456,0,4,4,31.4,1.145,0.549
6.886,0,4,4,31.5,1.145,0.547
6.678,10,13,11,34.6,1.139,0.563
6.796,0,4,4,30.7,1.147,0.542
5.337,0,4,4,30.7,1.147,0.542
7.678,0,4,4,30.7,1.147,0.542
6.387,0,4,4,30.1,1.149,0.542
6.959,11,15,12,34.2,1.138,0.571
6.553,11,14,13,34.8,1.139,0.562
6.523,0,4,4,30.8,1.148,0.54
7.796,0,4,4,31.4,1.146,0.54
6.268,0,4,4,31.4,1.146,0.54
7.187,0,4,4,30.5,1.148,0.538
6.824,0,4,4,30.6,1.147,0.543
7.143,0,4,4,30.8,1.147,0.541
