pXC50,Sp,Sv,SCBO,nBO,nSK,MW
4.523,49.574,46.68,55.0,43,39,527.73
5.658,33.58,32.658,44.0,33,30,429.51
5.0,25.364,23.906,30.0,23,21,340.64
5.0,24.506,23.079,29.0,22,20,306.2
6.0,50.972,48.561,66.5,49,43,587.76
5.569,18.495,18.565,28.0,20,18,244.26
5.0,18.557,18.182,27.0,19,17,226.27
6.0,43.086,40.901,49.0,39,35,473.64
5.0,31.489,29.95,42.0,30,27,372.49
4.301,28.818,28.24,37.0,28,26,373.83
4.721,46.176,42.995,46.5,38,36,554.6
4.523,40.313,38.032,46.0,37,32,432.59
5.824,27.949,27.369,38.5,28,25,333.37
7.553,202.65,191.108,204.5,168,160,2269.24
4.301,28.705,27.875,38.5,28,25,332.38
5.0,37.353,36.037,44.5,35,32,458.97
5.0,36.347,35.015,43.5,34,31,443.95
5.0,34.586,33.489,42.5,33,30,429.92
5.0,32.824,31.962,41.5,32,29,415.89
4.222,29.051,28.271,39.5,28,26,369.43
5.0,40.875,39.09,46.5,37,34,487.03
5.0,36.801,35.73,44.5,35,32,459.95
5.0,32.824,31.962,41.5,32,29,415.89
5.0,37.563,36.257,43.5,34,32,461.97
5.0,34.586,33.489,42.5,33,30,429.92
5.0,35.04,34.203,43.5,34,31,445.92
5.0,33.586,32.489,40.5,31,29,417.91
5.0,37.353,36.037,44.5,35,32,458.97
5.0,41.33,39.805,47.5,38,35,503.03
5.0,37.108,35.542,42.5,33,31,445.97
5.0,33.586,32.489,40.5,31,29,417.91
5.0,34.04,33.203,41.5,32,30,433.91
5.0,34.586,33.489,42.5,33,30,429.92
5.027,17.977,17.622,22.0,16,16,220.26
5.027,21.523,20.908,29.0,20,19,252.3
5.027,29.932,29.159,36.0,27,26,356.42
5.027,33.864,32.636,39.0,30,29,443.95
5.027,34.25,33.303,42.0,31,30,434.52
5.0,35.347,34.015,41.5,32,30,431.94
5.0,28.682,28.255,39.5,29,26,354.39
5.0,28.62,28.638,40.5,30,27,372.38
5.0,26.858,27.111,39.5,29,26,358.35
5.0,26.228,25.839,37.5,27,24,323.36
5.0,27.472,27.034,38.5,28,25,339.38
5.0,27.841,27.172,38.5,28,25,356.81
