pXC50,RBF,O.,Me,H.,nBM,nDB,nAB,Mv,Mp,AMW,Sp,Se,SCBO,nCsp2,nBO,nSK,Si,MW,Mi,nAT,nH,nO,RBN,Sv,nBT,C.
8.578,0.135,2.8,0.994,52.8,6,1,5,0.588,0.645,7.039,23.211,35.778,21.5,4,18,17,40.946,253.41,1.137,36,19,1,5,21.181,37,33.3
7.131,0.032,0.0,0.986,51.7,6,0,6,0.594,0.641,6.527,18.586,28.607,19.0,4,16,14,32.986,189.29,1.137,29,15,0,1,17.225,31,37.9
8.333,0.032,0.0,0.998,48.3,6,0,6,0.623,0.67,7.715,19.443,28.931,20.0,4,17,15,32.93,223.73,1.136,29,14,0,1,18.053,31,37.9
8.0,0.034,1.8,0.991,47.3,14,2,12,0.632,0.682,7.393,37.5,54.531,41.0,13,33,29,61.69,406.6,1.122,55,26,1,2,34.782,59,41.8
6.187,0.034,3.6,0.996,47.3,14,2,12,0.624,0.66,7.101,36.307,54.781,41.0,13,33,29,61.979,390.53,1.127,55,26,2,2,34.31,59,41.8
7.553,0.063,3.3,0.996,48.3,14,2,12,0.614,0.651,6.993,39.074,59.767,43.0,13,35,31,67.893,419.58,1.132,60,29,2,4,36.858,64,40.0
7.368,0.029,0.0,0.984,53.1,6,0,6,0.586,0.636,6.354,20.347,31.491,20.0,4,17,15,36.401,203.32,1.138,32,17,0,1,18.752,34,37.5
5.678,0.069,6.9,0.992,62.1,0,0,0,0.515,0.565,5.527,16.387,28.767,11.0,0,11,11,33.446,160.27,1.153,29,18,2,2,14.929,29,27.6
6.073,0.071,5.1,1.02,35.9,19,2,17,0.693,0.703,8.599,27.432,39.774,38.5,17,28,25,43.745,335.36,1.122,39,14,2,3,27.038,42,48.7
6.053,0.071,5.1,1.033,33.3,19,2,17,0.703,0.702,9.06,27.37,40.287,39.5,17,29,26,44.084,353.35,1.13,39,13,2,3,27.421,42,48.7
5.635,0.071,5.1,1.033,33.3,19,2,17,0.703,0.702,9.06,27.37,40.287,39.5,17,29,26,44.084,353.35,1.13,39,13,2,3,27.421,42,48.7
5.91,0.071,5.1,1.046,30.8,19,2,17,0.713,0.7,9.522,27.307,40.8,40.5,17,30,27,44.424,371.34,1.139,39,12,2,3,27.805,42,48.7
5.616,0.071,5.1,1.007,38.5,19,2,17,0.683,0.705,8.138,27.495,39.262,37.5,17,27,24,43.405,317.37,1.113,39,15,2,3,26.655,42,48.7
5.987,0.071,5.1,1.046,30.8,19,2,17,0.713,0.7,9.522,27.307,40.8,40.5,17,30,27,44.424,371.34,1.139,39,12,2,3,27.805,42,48.7
6.5,0.081,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,3,20.499,37,36.1
5.3,0.069,3.4,0.99,55.2,2,1,0,0.567,0.614,6.217,17.796,28.716,16.0,1,13,13,33.112,180.28,1.142,29,16,1,2,16.445,29,34.5
5.642,0.044,4.7,1.0,48.8,8,2,6,0.618,0.66,7.462,28.392,43.018,29.0,9,24,22,48.511,320.85,1.128,43,21,2,2,26.568,45,39.5
5.3,0.054,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,2,20.499,37,36.1
6.1,0.081,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,3,20.499,37,36.1
5.4,0.063,3.1,0.987,56.3,2,1,0,0.562,0.611,6.072,19.557,31.6,17.0,1,14,14,36.528,194.31,1.141,32,18,1,2,17.972,32,34.4
5.0,0.059,3.0,0.988,54.5,2,1,0,0.575,0.623,6.252,20.557,32.6,19.0,1,16,15,37.528,206.32,1.137,33,18,1,2,18.972,34,36.4
4.42,0.044,4.7,0.993,51.2,8,2,6,0.599,0.64,6.661,27.534,42.694,28.0,9,23,21,48.567,286.41,1.129,43,22,2,2,25.74,45,39.5
5.796,0.042,4.3,0.991,52.2,8,2,6,0.593,0.637,6.531,29.296,45.578,29.0,9,24,22,51.983,300.44,1.13,46,24,2,2,27.267,48,39.1
6.538,0.054,2.8,0.986,55.6,2,1,0,0.569,0.62,6.121,22.319,35.483,20.0,1,17,16,40.943,220.35,1.137,36,20,1,2,20.499,37,36.1
4.319,0.064,8.9,1.013,46.7,10,4,6,0.615,0.638,7.365,28.688,45.567,33.0,9,26,24,51.069,331.41,1.135,45,21,4,3,27.665,47,37.8
4.187,0.064,8.9,1.013,46.7,10,4,6,0.615,0.638,7.365,28.688,45.567,33.0,9,26,24,51.069,331.41,1.135,45,21,4,3,27.665,47,37.8
3.3,0.0,4.0,0.993,56.0,1,1,0,0.557,0.601,6.17,15.034,24.833,13.0,1,12,11,28.697,154.24,1.148,25,14,1,0,13.918,26,32.0
5.8,0.103,3.4,0.99,55.2,2,1,0,0.567,0.614,6.217,17.796,28.716,16.0,1,13,13,33.112,180.28,1.142,29,16,1,3,16.445,29,34.5
8.532,0.089,3.8,0.986,50.9,13,1,12,0.609,0.657,6.595,34.813,52.243,36.0,13,29,26,59.315,349.51,1.119,53,27,2,5,32.299,56,43.4
8.323,0.094,4.0,0.987,50.0,13,1,12,0.615,0.661,6.71,33.052,49.36,35.0,13,28,25,55.9,335.48,1.118,50,25,2,5,30.773,53,44.0
3.3,0.0,4.8,0.998,57.1,1,1,0,0.542,0.584,6.105,12.273,20.949,10.0,1,9,9,24.282,128.2,1.156,21,12,1,0,11.392,21,28.6
4.3,0.077,3.8,0.994,53.8,2,1,0,0.574,0.617,6.394,16.034,25.833,15.0,1,12,12,29.697,166.25,1.142,26,14,1,2,14.918,26,34.6
6.3,0.059,3.0,0.988,54.5,2,1,0,0.575,0.623,6.252,20.557,32.6,19.0,1,16,15,37.528,206.32,1.137,33,18,1,2,18.972,34,36.4
6.0,0.033,3.5,0.981,57.9,2,2,0,0.559,0.616,5.817,35.097,55.894,29.0,3,27,24,64.56,331.55,1.133,57,33,2,2,31.88,60,36.8
5.2,0.094,3.1,0.987,56.3,2,1,0,0.562,0.611,6.072,19.557,31.6,17.0,1,14,14,36.528,194.31,1.141,32,18,1,3,17.972,32,34.4
5.4,0.069,3.4,0.99,55.2,2,1,0,0.567,0.614,6.217,17.796,28.716,16.0,1,13,13,33.112,180.28,1.142,29,16,1,2,16.445,29,34.5
