pXC50,nDB,nS,nHM,nAB,nBM,C.,nCsp2,Mv,SCBO,Me,RBF,H.,nC,AMW,MW,Si,Se,nBO,nCL,nCsp3,Mi,Mp,N.,nAT,nB,nBR,nBT,nCsp,nF,nH
6.585,3,1,1,23,26,41.8,22,0.653,56.5,1.019,0.171,41.8,28,8.279,554.67,75.828,68.305,42,0,6,1.132,0.676,6.0,67,0,0,70,0,2,28
5.0,3,1,1,23,26,43.5,23,0.649,56.5,1.013,0.153,43.5,30,8.01,552.69,77.662,69.869,42,0,7,1.126,0.678,2.9,69,0,0,72,0,2,30
5.678,3,1,1,28,31,45.6,26,0.672,62.0,1.018,0.153,39.7,31,8.466,575.68,76.33,69.203,45,0,5,1.122,0.695,4.4,68,0,0,72,0,2,27
5.276,3,1,1,28,31,44.8,26,0.675,62.0,1.021,0.155,38.8,30,8.607,576.67,75.413,68.421,45,0,4,1.126,0.694,6.0,67,0,0,71,0,2,26
6.252,3,1,1,23,26,41.3,22,0.647,61.5,1.019,0.152,42.7,31,8.143,610.74,84.868,76.4,47,0,9,1.132,0.67,5.3,75,0,0,79,0,2,32
5.301,3,1,1,23,26,43.2,23,0.649,60.5,1.015,0.141,43.2,32,8.037,594.73,83.286,75.08,46,0,9,1.125,0.676,2.7,74,0,0,78,0,2,32
5.0,3,1,1,29,33,47.9,29,0.684,68.5,1.018,0.156,38.4,35,8.585,626.72,81.456,74.312,49,0,5,1.116,0.705,2.7,73,0,0,77,1,2,28
5.77,3,1,1,29,32,46.5,28,0.675,64.5,1.018,0.16,39.4,33,8.489,602.7,79.456,72.312,47,0,5,1.119,0.697,2.8,71,0,0,75,0,2,28
5.553,3,1,1,23,26,42.9,22,0.665,55.5,1.026,0.182,39.7,27,8.597,541.62,71.124,64.647,41,0,5,1.129,0.682,4.8,63,0,0,66,0,2,25
5.886,3,1,1,23,26,43.5,22,0.664,54.5,1.021,0.169,40.3,27,8.478,525.62,69.914,63.32,40,0,5,1.128,0.685,4.8,62,0,0,65,0,2,25
5.0,2,0,0,18,20,42.9,20,0.617,49.0,0.999,0.153,48.6,30,7.024,491.65,78.734,69.945,38,0,10,1.125,0.653,1.4,70,0,0,72,0,1,34
5.357,2,0,1,18,20,42.9,20,0.624,49.0,0.997,0.153,48.6,30,7.259,508.1,78.338,69.756,38,1,10,1.119,0.666,1.4,70,0,0,72,0,0,34
5.0,2,0,0,18,20,42.5,20,0.608,49.0,0.991,0.147,50.7,31,6.681,487.69,81.81,72.316,38,0,11,1.121,0.651,1.4,73,0,0,75,0,0,37
5.0,2,0,0,18,20,42.9,20,0.623,50.0,1.007,0.153,47.1,30,7.281,509.64,79.074,70.458,39,0,10,1.13,0.652,1.4,70,0,0,72,0,2,33
5.0,2,0,0,18,20,42.9,20,0.623,50.0,1.007,0.153,47.1,30,7.281,509.64,79.074,70.458,39,0,10,1.13,0.652,1.4,70,0,0,72,0,2,33
5.0,2,0,0,18,20,42.9,20,0.612,48.0,0.992,0.153,50.0,30,6.767,473.66,78.394,69.432,37,0,10,1.12,0.654,1.4,70,0,0,72,0,0,35
5.357,2,0,1,18,20,42.9,20,0.624,49.0,0.997,0.153,48.6,30,7.259,508.1,78.338,69.756,38,1,10,1.119,0.666,1.4,70,0,0,72,0,0,34
5.387,2,0,0,18,20,41.9,20,0.609,50.0,0.995,0.158,50.0,31,6.807,503.69,83.019,73.643,39,0,11,1.122,0.648,1.4,74,0,0,76,0,0,37
5.0,2,0,0,18,20,41.7,19,0.609,49.0,0.994,0.149,50.0,30,6.787,488.68,80.893,71.534,38,0,11,1.124,0.65,2.8,72,0,0,74,0,0,36
5.0,2,0,0,18,20,43.3,20,0.617,47.0,0.993,0.145,49.3,29,6.86,459.63,74.979,66.549,36,0,9,1.119,0.657,1.5,67,0,0,69,0,0,33
5.0,2,0,0,18,20,42.1,20,0.604,50.0,0.989,0.141,51.3,32,6.602,501.72,85.225,75.199,39,0,12,1.121,0.649,1.3,76,0,0,78,0,0,39
5.0,2,0,0,18,20,42.0,19,0.613,48.0,0.995,0.155,49.3,29,6.879,474.65,77.477,68.65,37,0,10,1.123,0.652,2.9,69,0,0,71,0,0,34
5.0,2,0,0,18,20,42.5,20,0.608,49.0,0.991,0.133,50.7,31,6.681,487.69,81.81,72.316,38,0,11,1.121,0.651,1.4,73,0,0,75,0,0,37
5.0,2,0,0,18,21,44.1,20,0.629,51.0,0.997,0.143,47.1,30,7.127,484.64,76.062,67.767,38,0,9,1.119,0.665,2.9,68,0,0,70,1,0,32
5.0,2,0,0,18,20,42.6,20,0.623,49.0,1.005,0.143,47.1,29,7.274,494.63,76.947,68.349,38,0,9,1.132,0.653,2.9,68,0,0,70,0,2,32
5.0,2,0,0,18,20,43.3,20,0.628,49.0,1.009,0.145,46.3,29,7.397,495.61,75.659,67.574,38,0,9,1.129,0.655,1.5,67,0,0,69,0,2,31
5.0,2,0,0,18,21,43.7,20,0.624,52.0,0.995,0.151,47.9,31,7.024,498.67,79.477,70.65,39,0,10,1.119,0.662,2.8,71,0,0,73,1,0,34
5.0,2,0,0,18,20,42.9,20,0.623,50.0,1.007,0.153,47.1,30,7.281,509.64,79.074,70.458,39,0,10,1.13,0.652,1.4,70,0,0,72,0,2,33
5.0,2,0,0,18,20,42.1,20,0.604,50.0,0.989,0.141,51.3,32,6.602,501.72,85.225,75.199,39,0,12,1.121,0.649,1.3,76,0,0,78,0,0,39
5.0,2,0,0,18,20,42.3,20,0.608,48.0,0.989,0.137,50.7,30,6.657,472.68,79.683,70.207,37,0,10,1.122,0.652,2.8,71,0,0,73,0,0,36
5.0,2,0,0,18,20,41.7,19,0.609,49.0,0.994,0.149,50.0,30,6.787,488.68,80.893,71.534,38,0,11,1.124,0.65,2.8,72,0,0,74,0,0,36
5.06,2,0,0,18,21,43.5,20,0.625,51.0,0.993,0.141,47.8,30,7.01,483.66,77.351,68.541,38,0,9,1.121,0.664,4.3,69,0,0,71,1,0,33
5.0,2,0,0,18,20,41.9,20,0.604,49.0,0.988,0.132,51.4,31,6.577,486.71,83.098,73.09,38,0,11,1.123,0.65,2.7,74,0,0,76,0,0,38
7.32,1,0,2,18,19,48.8,18,0.718,39.0,1.032,0.14,34.1,20,9.909,406.25,45.676,42.313,29,2,2,1.114,0.734,2.4,41,0,0,43,0,1,14
