pXC50,H.,nAT,Se,Si
5.62,40.0,20,20.193,22.21
5.658,46.9,49,49.269,55.487
6.959,43.1,51,52.142,57.989
5.638,45.7,46,46.385,52.072
4.0,48.6,37,37.658,42.076
4.959,51.5,33,32.887,37.903
5.721,41.7,48,49.258,54.574
6.208,40.7,54,55.796,61.408
6.886,41.7,48,49.258,54.574
7.0,39.1,23,23.353,25.419
6.041,41.7,48,49.258,54.574
5.174,47.2,53,53.738,60.029
6.114,45.7,35,35.447,39.451
6.456,43.4,53,53.854,59.614
6.553,48.1,52,52.411,58.82
5.051,46.2,52,53.251,59.369
4.097,49.1,55,55.622,62.444
4.097,49.1,55,55.622,62.444
4.569,49.1,55,55.622,62.444
4.097,50.0,58,58.505,65.86
6.06,46.2,52,53.062,58.973
4.097,46.7,45,45.643,50.989
5.167,45.9,61,61.731,68.571
4.337,42.9,56,56.956,63.112
4.097,48.6,70,70.374,79.188
4.796,41.5,53,54.367,59.954
6.131,48.2,56,56.949,63.654
6.678,49.1,55,55.622,62.444
7.409,39.3,56,58.276,64.048
6.495,39.6,53,54.88,60.293
6.481,41.5,53,54.367,59.954
6.301,39.6,53,54.88,60.293
6.602,41.5,53,54.178,59.558
6.469,39.3,56,58.276,64.048
6.201,42.2,64,64.949,71.654
6.638,44.6,56,56.738,63.029
6.42,42.4,59,59.738,66.029
6.143,42.4,59,59.738,66.029
6.174,42.2,64,64.949,71.654
6.328,42.2,64,64.949,71.654
6.509,44.2,43,44.087,48.784
6.745,45.7,46,46.971,52.199
6.62,47.2,53,53.738,60.029
6.119,45.5,55,55.411,61.82
6.699,44.6,56,56.411,62.82
6.509,45.7,46,46.643,51.989
6.553,50.0,64,64.163,72.564
6.481,50.0,64,64.163,72.564
6.523,48.1,54,54.512,61.318
6.509,44.4,54,55.538,61.997
6.244,47.1,51,51.629,57.903
6.745,49.2,63,63.061,71.065
6.301,43.5,46,46.534,51.863
6.469,44.9,49,49.418,55.278
6.658,44.9,49,49.418,55.278
6.602,38.8,49,50.956,56.297
6.244,38.8,49,50.956,56.297
6.432,44.7,47,47.316,52.78
5.854,40.0,50,51.738,57.214
5.921,48.2,56,55.967,63.026
6.009,49.2,59,58.851,66.441
5.796,47.1,51,51.956,58.112
5.886,42.3,52,53.073,58.697
5.824,44.4,45,45.862,51.072
5.658,48.4,62,62.28,70.148
5.481,46.0,50,51.174,57.195
4.097,41.2,51,52.291,57.78
5.602,47.5,61,61.498,69.232
4.585,41.1,73,73.6,81.73
7.292,46.2,52,53.251,59.369
7.18,46.2,52,53.062,58.973
4.097,48.9,94,94.894,107.341
6.367,48.1,52,52.738,59.029
5.959,45.9,37,37.549,41.95
6.377,43.4,53,53.854,59.614
6.387,43.4,53,53.854,59.614
6.143,43.4,53,53.854,59.614
6.301,43.4,53,53.854,59.614
6.018,43.4,53,53.854,59.614
6.222,43.9,57,57.738,64.029
6.071,45.5,55,55.738,62.029
5.678,47.2,53,53.738,60.029
6.357,45.8,59,59.622,66.444
6.284,45.8,59,59.622,66.444
6.509,44.6,56,56.738,63.029
6.319,44.6,56,56.738,63.029
6.174,44.6,56,56.738,63.029
5.444,44.6,56,56.738,63.029
5.194,46.8,62,62.505,69.86
4.456,50.0,70,69.745,79.348
4.678,50.0,70,69.752,78.976
4.174,47.8,69,69.294,78.003
4.097,50.8,65,65.523,73.979
6.155,46.9,49,49.269,55.487
6.377,41.8,55,56.571,62.697
