pXC50,nN,nDB,O.,Sv,nSK,Se,Sp,nBO,Si,nBT,nAT,MW,Mi,nC,SCBO,nBM,N.
7.16,5,2,1.8,31.857,25,55.4,35.029,26,64.019,57,56,365.61,1.143,18,30.5,7,8.9
7.445,5,2,1.8,31.857,25,55.4,35.029,26,64.019,57,56,365.61,1.143,18,30.5,7,8.9
7.56,5,2,1.8,31.857,25,55.4,35.029,26,64.019,57,56,365.61,1.143,18,30.5,7,8.9
7.075,5,2,2.2,27.563,23,45.789,29.336,24,52.438,47,46,313.45,1.14,17,31.5,13,10.9
7.61,5,2,2.2,27.563,23,45.789,29.336,24,52.438,47,46,313.45,1.14,17,31.5,13,10.9
6.99,5,2,1.9,29.143,23,51.44,31.62,24,59.683,53,52,319.51,1.148,17,28.5,7,9.6
7.48,5,2,1.9,29.143,23,51.44,31.62,24,59.683,53,52,319.51,1.148,17,28.5,7,9.6
7.48,5,2,2.0,30.277,25,49.749,32.745,26,56.773,51,50,359.55,1.135,18,33.5,13,10.0
6.99,5,2,2.0,30.277,25,49.749,32.745,26,56.773,51,50,359.55,1.135,18,33.5,13,10.0
7.4,5,2,2.0,30.277,25,49.749,32.745,26,56.773,51,50,359.55,1.135,18,33.5,13,10.0
5.721,2,0,0.0,26.838,21,43.923,29.387,23,50.564,47,45,280.45,1.124,19,29.0,12,4.4
4.82,3,0,0.0,10.832,9,18.033,11.949,9,20.661,18,18,143.24,1.148,5,11.5,5,16.7
5.93,5,2,2.7,22.983,20,37.138,24.051,21,42.192,38,37,271.36,1.14,14,28.5,13,13.5
4.3,3,1,6.1,20.655,18,33.262,21.495,19,37.405,34,33,245.31,1.133,13,25.5,12,9.1
4.0,2,0,5.6,21.687,18,35.927,23.012,19,40.737,37,36,246.34,1.132,14,24.5,11,5.6
4.8,3,1,5.1,23.708,20,39.029,25.017,21,44.235,40,39,273.37,1.134,15,27.5,12,7.7
4.3,3,1,7.5,24.423,21,40.356,25.472,22,45.445,41,40,289.37,1.136,15,28.5,12,7.5
4.3,4,1,5.7,21.676,19,35.363,22.5,20,39.903,36,35,260.33,1.14,13,26.5,12,11.4
4.4,3,1,5.1,23.708,20,39.029,25.017,21,44.235,40,39,273.37,1.134,15,27.5,12,7.7
4.5,3,0,0.0,31.386,25,50.909,34.154,27,58.477,54,52,333.52,1.125,22,35.5,17,5.8
4.3,3,1,4.7,26.235,22,42.912,27.779,24,48.651,45,43,299.41,1.131,17,30.5,12,7.0
4.58,3,0,0.0,31.386,25,50.909,34.154,27,58.477,54,52,333.52,1.125,22,35.5,17,5.8
6.87,7,3,4.7,50.491,42,84.927,53.563,44,96.799,87,85,577.81,1.139,31,55.0,16,8.2
