pXC50,nC,AMW
4.301,17,7.986
7.745,18,6.234
7.398,16,6.451
4.886,19,6.349
5.301,33,7.021
6.237,15,6.149
5.301,27,6.56
5.081,15,6.21
7.398,14,6.259
5.699,29,6.557
5.301,29,6.557
6.301,23,7.288
5.301,28,7.491
5.699,30,6.483
4.886,13,6.112
8.854,12,6.299
4.886,26,6.324
4.886,22,6.845
4.886,24,6.312
5.699,26,6.822
4.886,25,6.927
4.886,23,6.567
6.301,22,6.976
5.301,26,6.48
6.721,23,6.457
6.638,21,6.632
4.886,16,6.343
5.216,19,6.987
4.523,25,8.181
4.523,14,7.066
5.181,12,7.561
5.0,10,6.428
4.0,13,6.324
4.0,34,6.18
4.032,33,7.009
4.921,28,6.638
5.301,28,6.638
9.337,14,6.078
4.886,24,6.312
6.721,15,6.874
4.886,20,6.571
5.576,14,7.066
5.0,13,7.29
4.0,12,8.115
4.0,6,11.447
4.0,13,6.921
4.301,16,10.644
4.0,22,7.083
4.886,28,6.714
5.301,26,6.646
4.0,13,6.324
4.538,12,7.697
5.009,12,11.631
5.0,28,7.467
4.037,17,14.714
4.0,17,11.888
4.301,17,7.986
8.0,25,8.343
5.854,28,7.132
4.0,18,6.848
4.487,17,11.531
4.0,27,7.583
6.839,17,10.6
4.0,17,12.174
6.863,22,7.153
4.301,17,8.447
4.301,17,7.986
4.0,21,8.447
4.0,18,10.156
4.177,18,12.752
6.19,14,9.384
6.9,14,9.384
4.84,15,8.508
5.0,58,6.599
4.79,15,8.55
4.886,11,5.981
