pXC50,AMW,C.,H.,Me
5.0,8.778,48.8,37.2,1.009
5.0,8.671,50.0,37.5,1.001
5.0,6.944,40.8,48.7,0.995
5.0,12.274,43.6,35.9,1.034
5.0,8.237,40.7,42.4,1.018
5.0,11.791,51.4,24.3,1.049
5.0,10.094,41.5,34.1,1.046
5.0,9.217,46.2,33.3,1.011
5.0,7.928,47.3,40.5,1.007
5.0,7.907,41.0,41.0,1.009
5.0,6.781,37.3,50.6,0.998
6.06,7.188,37.0,49.3,0.999
5.0,8.402,47.8,39.1,1.0
5.0,9.685,43.8,33.3,1.048
5.0,8.272,37.3,44.1,1.01
5.0,6.817,36.5,50.0,0.996
5.0,10.898,40.5,35.7,1.039
7.137,7.649,45.9,42.6,1.002
8.0,7.295,39.7,46.0,1.001
5.216,7.501,39.0,45.8,1.014
6.119,7.473,41.5,43.9,0.998
5.0,8.074,43.5,42.0,1.008
5.0,7.556,42.4,45.5,0.994
5.0,7.189,43.3,46.3,0.995
5.0,7.741,41.5,43.9,1.017
5.0,8.237,40.9,42.4,1.019
5.0,6.979,39.4,48.5,0.996
5.0,8.286,41.4,41.4,1.016
5.0,7.388,44.4,44.4,0.996
5.347,10.113,38.5,30.8,1.057
5.0,7.577,38.8,44.8,1.012
5.0,7.266,37.2,46.5,1.003
5.0,8.162,45.7,39.1,1.012
5.0,8.659,45.0,35.0,1.02
5.174,8.139,48.1,38.9,1.011
5.0,7.818,47.9,41.1,1.003
5.0,8.804,40.7,44.4,1.01
5.019,9.439,40.0,36.0,1.028
5.0,7.093,38.9,47.2,0.995
5.0,8.681,45.9,36.1,1.025
5.0,9.732,51.0,30.6,1.033
5.0,7.479,40.8,44.9,1.007
5.0,8.497,51.3,35.9,1.011
5.0,8.162,40.0,44.6,1.01
6.0,7.767,34.7,49.0,1.001
5.0,7.583,47.1,42.6,0.997
5.0,8.237,40.7,42.4,1.018
5.0,8.053,41.3,41.3,1.021
5.0,7.316,44.9,44.9,0.994
5.0,8.657,35.3,41.2,1.037
5.0,9.853,46.7,35.6,1.014
5.0,8.372,43.8,41.7,1.019
5.0,8.543,48.9,35.6,1.015
5.585,9.102,38.1,40.5,1.024
6.004,8.333,41.6,44.2,1.008
5.0,7.833,39.7,42.6,1.015
5.0,8.255,38.6,40.4,1.03
5.0,8.103,38.9,42.6,1.009
5.0,7.574,43.5,43.5,1.003
5.0,7.509,41.7,45.0,1.008
5.0,7.337,36.2,46.6,1.009
7.796,7.491,36.6,48.8,1.001
5.0,6.776,36.4,50.6,0.998
5.0,8.286,37.1,43.5,1.011
5.0,7.85,42.0,42.0,1.01
5.0,7.777,44.2,41.9,1.006
5.569,7.117,39.3,48.2,1.003
5.0,7.567,42.3,44.2,1.009
5.0,8.805,43.9,39.4,1.019
5.0,9.782,45.3,30.2,1.058
5.0,7.617,37.7,45.9,1.001
5.0,7.324,43.1,45.1,0.996
5.0,8.295,45.2,38.1,1.016
5.0,7.789,38.2,44.1,1.02
5.0,7.788,40.3,44.4,1.007
6.432,8.661,40.4,42.3,1.016
5.0,8.357,42.9,41.1,1.015
5.0,8.947,46.3,36.6,1.017
5.0,7.438,44.4,44.4,1.0
5.0,8.126,40.0,43.6,1.017
5.0,7.26,42.6,45.6,0.995
