pXC50,N.,nN,nCsp3,nAB
5.495,8.7,4,1,23
4.523,7.0,3,1,23
4.523,7.0,3,1,23
4.523,5.1,3,3,33
4.523,7.9,3,2,17
4.523,6.3,3,3,23
4.523,4.5,3,4,34
4.523,4.7,3,5,29
4.523,4.7,3,5,29
4.523,4.7,3,1,34
4.523,6.6,5,5,34
4.523,4.5,3,4,34
4.523,6.4,3,2,23
4.523,8.2,4,3,23
4.523,5.2,3,3,29
5.143,1.4,1,13,16
5.194,1.6,1,8,22
5.0,1.9,1,11,10
8.398,1.5,1,6,28
6.0,1.4,1,7,28
5.367,1.8,1,9,16
6.796,1.5,1,6,28
5.0,2.9,2,12,16
6.602,1.4,1,13,16
5.0,1.8,1,12,10
7.921,3.0,2,6,28
7.495,4.6,3,6,28
6.222,1.8,1,6,22
5.174,1.7,1,12,10
6.0,1.5,1,6,28
6.481,1.7,1,10,16
6.187,1.6,1,8,22
7.509,1.4,1,7,28
7.481,1.4,1,7,28
5.796,1.5,1,12,16
6.046,1.5,1,9,22
6.538,1.3,1,13,22
5.585,2.1,1,6,16
7.796,1.5,1,6,28
5.495,1.4,1,14,16
7.658,1.5,1,6,28
8.097,1.5,1,6,28
5.959,1.8,1,9,16
8.222,1.4,1,7,28
8.301,1.4,1,7,28
4.523,10.3,4,0,26
6.585,1.4,1,13,16
4.523,7.8,4,3,26
5.495,2.1,1,6,16
4.523,6.1,4,9,26
