pXC50,Mv,Mp,C.,nAB,AMW,H.,Me,Mi,MW,N.,nAT,nB,nBM,nBO,nBR,nBT,nC
10.398,0.669,0.696,43.9,23,8.333,40.4,1.01,1.124,474.99,10.5,57,0,23,39,0,62,25
9.301,0.668,0.678,43.9,23,8.36,38.6,1.022,1.137,476.53,10.5,57,0,23,40,0,62,25
9.699,0.647,0.676,43.3,23,7.576,43.3,1.002,1.126,454.58,10.0,60,0,23,39,0,65,26
8.699,0.661,0.68,43.9,23,8.045,40.4,1.013,1.131,458.54,10.5,57,0,23,39,0,62,25
8.699,0.654,0.681,43.9,23,7.729,42.1,1.004,1.125,440.55,10.5,57,0,23,38,0,62,25
8.523,0.654,0.681,43.9,23,7.729,42.1,1.004,1.125,440.55,10.5,57,0,23,38,0,62,25
8.398,0.654,0.681,43.9,23,7.729,42.1,1.004,1.125,440.55,10.5,57,0,23,38,0,62,25
8.0,0.639,0.671,42.9,18,7.42,44.6,1.0,1.126,415.54,8.9,56,0,19,35,0,60,24
6.0,0.641,0.665,41.9,18,7.638,43.5,1.009,1.127,473.58,8.1,62,0,20,39,0,66,26
6.0,0.628,0.659,41.3,18,7.295,46.0,1.001,1.129,459.6,7.9,63,0,19,38,0,67,26
7.301,0.623,0.656,40.9,18,7.176,47.0,1.0,1.129,473.63,7.6,66,0,19,39,0,70,27
6.523,0.625,0.654,40.0,18,7.302,46.2,1.003,1.132,474.62,9.2,65,0,19,39,0,69,26
7.398,0.619,0.651,39.7,18,7.186,47.1,1.001,1.133,488.65,8.8,68,0,19,40,0,72,27
7.398,0.615,0.649,39.4,18,7.08,47.9,0.999,1.133,502.68,8.5,71,0,19,41,0,75,28
5.699,0.625,0.656,40.6,18,7.256,46.4,1.001,1.131,500.66,8.7,69,0,19,42,0,74,28
8.0,0.62,0.654,40.3,18,7.148,47.2,0.999,1.131,514.69,8.3,72,0,19,43,0,77,29
5.745,0.621,0.649,39.1,18,7.314,46.4,1.006,1.134,504.65,8.7,69,0,19,41,0,73,27
8.523,0.679,0.682,37.8,16,10.384,35.6,1.044,1.144,467.29,13.3,45,0,17,32,1,48,17
7.745,0.674,0.676,38.3,16,9.231,36.2,1.039,1.147,433.87,14.9,47,0,17,34,0,51,18
8.046,0.667,0.691,37.3,16,9.058,39.2,1.025,1.135,461.98,13.7,51,0,17,35,0,55,19
7.678,0.689,0.702,37.2,16,9.858,34.9,1.039,1.144,423.9,16.3,43,0,17,31,0,46,16
8.046,0.684,0.703,43.8,18,9.861,37.5,1.025,1.128,473.33,8.3,48,0,19,33,1,51,21
7.921,0.669,0.697,44.4,23,8.296,40.7,1.008,1.122,447.96,9.3,54,0,23,36,0,58,24
8.347,0.669,0.683,40.9,17,8.86,38.6,1.027,1.139,389.85,11.4,44,0,17,30,0,47,18
6.432,0.666,0.687,39.0,17,8.728,39.0,1.019,1.139,357.84,17.1,41,0,17,28,0,44,16
8.036,0.664,0.695,44.2,17,8.276,41.9,1.008,1.12,355.85,7.0,43,0,17,28,0,46,19
8.398,0.663,0.698,44.4,18,8.153,42.2,1.003,1.122,366.88,8.9,45,0,18,29,0,48,20
7.222,0.652,0.678,40.0,17,8.258,42.0,1.013,1.133,412.92,12.0,50,0,18,32,0,53,20
6.658,0.641,0.665,40.9,17,7.669,43.2,1.008,1.132,337.42,11.4,44,0,17,28,0,47,18
5.876,0.626,0.656,40.0,17,7.31,46.0,1.002,1.133,365.48,10.0,50,0,17,30,0,53,20
7.495,0.641,0.677,40.8,17,7.835,44.9,1.002,1.13,383.92,10.2,49,0,17,30,0,52,20
7.699,0.649,0.683,41.3,17,8.041,43.5,1.005,1.13,369.89,10.9,46,0,17,29,0,49,19
6.009,0.631,0.65,39.5,12,7.684,44.2,1.015,1.141,330.4,9.3,43,0,13,26,0,45,17
6.824,0.611,0.635,38.2,12,7.355,47.3,1.013,1.147,404.51,7.3,55,0,13,31,0,57,21
7.469,0.612,0.632,37.9,12,7.526,46.6,1.019,1.152,436.53,6.9,58,0,13,33,0,60,22
7.796,0.627,0.669,38.2,12,7.953,47.3,1.006,1.132,437.41,7.3,55,0,13,31,0,57,21
8.523,0.645,0.683,39.5,12,9.1,44.2,1.008,1.13,391.3,9.3,43,0,13,26,1,45,17
6.602,0.641,0.665,40.9,12,7.669,43.2,1.008,1.132,337.42,11.4,44,0,14,27,0,46,18
7.62,0.656,0.686,42.3,18,8.153,42.3,1.008,1.127,423.94,9.6,52,0,19,33,0,55,22
8.155,0.66,0.692,39.5,12,8.867,41.9,1.018,1.131,381.29,9.3,43,0,13,27,0,45,17
8.301,0.65,0.67,39.5,12,8.485,41.9,1.022,1.14,364.84,9.3,43,0,13,27,0,45,17
8.149,0.651,0.678,40.0,12,8.32,42.5,1.014,1.132,332.82,10.0,40,0,13,25,0,42,16
7.244,0.634,0.662,38.3,12,8.019,44.7,1.014,1.134,376.88,8.5,47,0,13,28,0,49,18
8.0,0.65,0.675,40.4,17,8.229,42.3,1.015,1.131,427.93,9.6,52,0,18,33,0,55,21
7.155,0.644,0.673,39.6,17,8.056,43.4,1.01,1.134,426.95,11.3,53,0,18,33,0,56,21
8.0,0.66,0.685,40.9,17,8.451,40.9,1.015,1.131,371.86,11.4,44,0,17,29,0,47,18
8.0,0.653,0.681,44.4,23,7.658,42.6,1.002,1.123,413.52,9.3,54,0,23,35,0,58,24
7.585,0.669,0.697,44.4,23,8.296,40.7,1.008,1.122,447.96,9.3,54,0,23,36,0,58,24
5.0,0.614,0.651,37.0,12,7.481,48.1,1.004,1.137,403.96,9.3,54,0,13,30,0,56,20
8.222,0.624,0.649,38.6,17,7.413,45.6,1.008,1.136,422.54,10.5,57,0,18,34,0,60,22
6.203,0.621,0.636,37.9,12,7.751,44.8,1.022,1.154,449.53,8.6,58,0,14,34,0,60,22
5.292,0.642,0.682,42.2,18,8.398,45.3,1.002,1.123,537.5,6.3,64,0,20,38,1,67,27
6.405,0.607,0.63,37.3,12,7.382,47.5,1.015,1.155,435.55,8.5,59,0,13,33,0,61,22
7.699,0.604,0.636,38.2,12,7.028,49.1,1.003,1.141,386.52,7.3,55,0,13,30,0,57,21
7.921,0.604,0.636,38.2,12,7.028,49.1,1.003,1.141,386.52,7.3,55,0,13,30,0,57,21
6.022,0.651,0.654,39.3,17,8.456,39.3,1.033,1.155,473.51,12.5,56,0,19,37,0,59,22
7.187,0.604,0.636,38.2,12,7.028,49.1,1.003,1.141,386.52,7.3,55,0,13,30,0,57,21
7.721,0.611,0.635,38.2,12,7.355,47.3,1.013,1.147,404.51,7.3,55,0,13,31,0,57,21
7.854,0.611,0.635,38.2,12,7.355,47.3,1.013,1.147,404.51,7.3,55,0,13,31,0,57,21
6.0,0.626,0.651,39.6,12,7.5,45.3,1.01,1.14,397.5,9.4,53,0,14,32,0,56,21
7.108,0.619,0.638,39.0,12,7.602,45.8,1.018,1.15,448.54,6.8,59,0,14,34,0,61,23
5.0,0.621,0.636,37.9,12,7.751,44.8,1.022,1.154,449.53,8.6,58,0,14,34,0,60,22
5.0,0.621,0.636,37.9,12,7.751,44.8,1.022,1.154,449.53,8.6,58,0,14,34,0,60,22
5.921,0.615,0.634,37.7,12,7.599,45.9,1.019,1.153,463.56,8.2,61,0,14,35,0,63,23
6.658,0.619,0.638,39.0,12,7.602,45.8,1.018,1.15,448.54,6.8,59,0,14,34,0,61,23
5.061,0.641,0.648,39.6,12,8.179,41.5,1.029,1.152,433.48,9.4,53,0,14,34,0,56,21
7.469,0.627,0.642,39.0,12,7.823,44.1,1.022,1.151,461.54,8.5,59,0,14,36,0,62,23
8.0,0.622,0.639,38.7,12,7.67,45.2,1.019,1.15,475.57,8.1,62,0,14,37,0,65,24
5.0,0.622,0.633,37.3,12,7.89,44.1,1.028,1.155,465.53,8.5,59,0,14,35,0,61,22
5.903,0.629,0.635,37.5,12,8.062,42.9,1.031,1.155,451.5,8.9,56,0,14,34,0,58,21
7.602,0.621,0.636,37.9,12,7.751,44.8,1.022,1.154,449.53,8.6,58,0,14,34,0,60,22
