pXC50,RBF,AMW
5.087,0.25,9.436
4.137,0.227,7.876
4.237,0.25,8.248
5.144,0.25,8.248
5.569,0.24,8.66
5.218,0.231,8.784
4.319,0.233,8.876
4.276,0.226,7.913
4.0,0.167,8.373
4.0,0.182,8.037
4.42,0.265,8.492
5.538,0.231,8.932
4.699,0.25,8.248
4.733,0.258,7.913
4.119,0.257,7.868
4.041,0.206,8.271
8.0,0.143,8.341
7.509,0.154,9.2
4.96,0.063,8.951
4.276,0.211,8.157
4.201,0.136,8.87
4.268,0.136,8.87
4.25,0.129,8.782
4.523,0.113,9.223
4.523,0.108,7.501
4.523,0.07,8.15
5.764,0.211,8.356
7.268,0.2,9.485
6.678,0.12,9.246
6.398,0.15,7.958
4.495,0.174,8.833
4.996,0.115,8.354
5.879,0.13,7.53
6.62,0.2,8.72
4.0,0.143,8.341
4.161,0.211,8.157
5.301,0.038,8.928
4.201,0.136,8.87
5.039,0.077,9.307
5.469,0.222,7.745
5.097,0.222,7.745
