pXC50,Me,nCsp3,O.,AMW,H.,nHet,N.,nH,Mv,MW,nBM,nCsp2,nO
4.886,0.99,16,3.4,6.315,54.2,6,6.8,32,0.574,372.57,7,5,2
5.796,0.992,15,3.6,6.402,53.6,6,7.1,30,0.578,358.54,7,5,2
5.131,0.994,14,3.8,6.5,52.8,6,7.5,28,0.582,344.51,7,5,2
7.721,1.003,9,5.0,6.909,50.0,6,10.0,20,0.593,276.38,7,5,2
7.481,1.0,10,4.7,6.754,51.2,6,9.3,22,0.587,290.41,7,5,2
8.149,0.998,13,4.2,6.843,50.0,6,8.3,24,0.6,328.46,7,5,2
5.854,1.007,8,5.4,7.091,48.6,6,10.8,18,0.6,262.35,7,5,2
7.022,1.011,7,5.9,7.304,47.1,6,11.8,16,0.608,248.32,7,5,2
7.658,0.99,15,3.4,6.217,55.2,6,6.9,32,0.567,360.56,7,5,2
7.092,1.007,9,5.3,7.22,47.4,6,10.5,18,0.611,274.36,7,5,2
5.469,1.022,4,7.4,7.713,44.4,6,14.8,12,0.616,208.25,7,5,2
4.0,1.03,3,8.3,8.093,41.7,6,16.7,10,0.629,194.22,7,5,2
8.569,0.99,16,1.8,6.563,51.8,6,8.9,29,0.592,367.55,7,5,1
6.921,0.99,16,1.8,6.563,51.8,6,8.9,29,0.592,367.55,7,5,1
4.672,1.004,4,5.4,7.334,45.9,5,8.1,17,0.627,271.35,13,11,2
4.939,1.053,1,11.1,9.231,33.3,6,22.2,6,0.669,166.16,7,5,2
4.9,1.028,5,9.1,8.145,40.9,10,13.6,18,0.64,358.4,16,11,4
5.009,1.039,2,9.5,8.58,38.1,6,19.0,8,0.646,180.19,7,5,2
6.26,1.021,10,8.5,7.456,46.8,10,12.8,22,0.6,350.43,10,5,4
4.74,1.011,6,6.1,7.161,48.5,6,12.1,16,0.596,236.31,7,5,2
5.367,1.016,5,6.7,7.409,46.7,6,13.3,14,0.605,222.28,7,5,2
6.585,1.024,11,9.3,7.546,46.3,12,13.0,25,0.601,407.49,11,6,5
5.721,1.016,5,6.7,7.409,46.7,6,13.3,14,0.605,222.28,7,5,2
4.917,1.007,7,5.6,6.954,50.0,6,11.1,18,0.589,250.34,7,5,2
6.213,1.004,12,5.5,7.27,46.6,10,8.2,34,0.621,530.69,22,17,4
6.58,1.002,15,4.6,7.067,48.3,12,9.2,42,0.609,614.83,23,18,4
5.137,1.003,8,5.1,6.779,51.3,6,10.3,20,0.583,264.37,7,5,2
8.699,1.033,10,10.9,8.388,43.5,11,10.9,20,0.624,385.85,10,5,5
4.043,1.022,4,7.4,7.713,44.4,6,14.8,12,0.616,208.25,7,5,2
6.409,1.008,13,6.3,7.347,46.3,12,8.8,37,0.62,587.75,23,18,5
7.076,1.027,10,10.4,7.634,45.8,11,12.5,22,0.602,366.43,10,5,5
5.222,1.003,8,5.1,6.779,51.3,6,10.3,20,0.583,264.37,7,5,2
4.928,1.011,6,6.1,7.161,48.5,6,12.1,16,0.596,236.31,7,5,2
6.658,0.998,9,4.0,7.05,48.0,6,8.0,24,0.616,352.48,13,11,2
6.398,0.992,12,3.4,6.688,50.8,6,6.8,30,0.599,394.57,13,11,2
7.31,1.0,9,4.8,6.629,52.4,6,9.5,22,0.578,278.4,7,5,2
4.0,0.987,19,2.9,6.098,55.9,6,5.9,38,0.566,414.66,7,5,2
6.824,0.996,10,3.8,6.915,49.1,6,7.5,26,0.61,366.51,13,11,2
8.013,0.992,15,3.6,6.402,53.6,6,7.1,30,0.578,358.54,7,5,2
7.721,0.995,11,4.2,6.385,54.2,6,8.3,26,0.569,306.46,7,5,2
6.658,1.0,10,5.4,6.867,50.0,7,7.1,28,0.599,384.53,13,11,3
5.553,1.033,10,12.0,7.889,44.0,12,12.0,22,0.613,394.44,11,6,6
