pXC50,nCsp3,nS,nAT,nBT,Se,Sp,Sv,H.,Mv,Si,AMW,C.,Me
4.0,9,1,46,48,45.32,30.285,27.541,52.2,0.599,52.065,6.881,37.0,0.985
4.215,9,1,55,58,54.858,36.955,34.497,47.3,0.627,61.899,7.465,40.0,0.997
4.0,10,2,48,50,47.178,32.688,29.233,52.1,0.609,53.902,7.242,37.5,0.983
4.194,9,1,53,56,51.985,35.802,32.573,50.9,0.615,59.397,6.898,41.5,0.981
4.0,8,1,44,46,43.218,29.279,26.519,52.3,0.603,49.567,6.852,38.6,0.982
4.125,8,1,50,53,49.101,34.04,31.046,50.0,0.621,55.982,7.031,42.0,0.982
4.071,9,1,50,52,48.665,33.552,30.057,54.0,0.601,55.816,6.511,42.0,0.973
4.137,9,2,47,49,46.396,31.932,28.728,51.1,0.611,52.985,7.417,36.2,0.987
4.0,8,1,52,55,51.974,35.194,32.97,46.2,0.634,58.484,7.626,40.4,1.0
4.0,9,1,52,55,51.203,35.046,32.068,50.0,0.617,58.48,7.05,40.4,0.985
4.0,8,1,49,52,48.32,33.285,30.541,49.0,0.623,55.065,7.195,40.8,0.986
4.456,8,1,48,50,47.109,32.245,29.245,52.1,0.609,53.61,6.824,41.7,0.981
4.114,9,1,47,49,46.101,31.04,28.046,53.2,0.597,52.982,6.713,38.3,0.981
4.114,9,1,48,50,47.421,31.29,28.562,52.1,0.595,54.564,6.907,35.4,0.988
4.292,9,1,46,48,45.32,30.285,27.541,52.2,0.599,52.065,6.881,37.0,0.985
4.0,8,1,47,49,45.781,31.79,28.53,53.2,0.607,52.401,6.628,42.6,0.974
4.0,8,1,45,47,44.538,29.529,27.035,51.1,0.601,51.148,7.056,35.6,0.99
5.0,3,0,37,38,39.676,24.182,25.272,32.4,0.683,43.566,9.792,43.2,1.072
5.0,4,0,40,41,41.021,26.131,25.649,42.5,0.641,45.962,8.059,42.5,1.026
5.0,1,0,30,31,30.476,23.154,21.686,36.7,0.723,33.32,10.454,46.7,1.016
5.0,2,0,34,35,35.902,24.324,24.25,32.4,0.713,39.02,10.682,44.1,1.056
5.0,2,0,34,35,35.902,24.324,24.25,32.4,0.713,39.02,10.682,44.1,1.056
5.0,7,0,47,49,46.796,30.54,28.762,48.9,0.612,53.066,6.924,40.4,0.996
7.538,4,0,32,35,31.287,22.336,20.709,46.9,0.647,35.405,6.916,50.0,0.978
4.0,8,1,43,45,42.436,28.523,26.014,51.2,0.605,48.65,7.035,37.2,0.987
4.0,8,2,44,46,43.512,30.171,27.201,50.0,0.618,49.57,7.604,36.4,0.989
4.0,10,1,49,51,48.203,32.046,29.068,53.1,0.593,55.48,6.746,36.7,0.984
4.0,9,2,45,47,44.294,30.927,27.706,51.1,0.616,50.487,7.413,37.8,0.984
4.699,3,0,43,45,42.483,29.319,27.499,46.5,0.64,47.943,7.08,46.5,0.988
4.0,8,0,49,51,48.032,32.597,30.058,51.0,0.613,54.69,6.52,44.9,0.98
