pXC50,RBF,RBN,nDB,N.,nN,nCsp2,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAB,nAT,nB
4.192,0.211,4,3,0.0,0,7,9.586,42.1,31.6,1.068,1.121,0.661,0.692,182.14,5,19,0
10.119,0.036,1,2,7.7,2,12,12.427,46.2,26.9,1.054,1.112,0.749,0.75,323.11,11,26,0
9.471,0.0,0,2,9.1,2,6,9.648,36.4,36.4,1.041,1.127,0.696,0.68,212.25,5,22,0
10.553,0.059,2,2,6.3,2,12,9.011,43.8,37.5,1.021,1.113,0.713,0.688,288.35,11,32,0
9.545,0.0,0,2,9.1,2,10,9.917,45.5,27.3,1.058,1.121,0.698,0.725,218.18,10,22,0
4.199,0.162,6,2,11.4,4,15,8.809,45.7,34.3,1.026,1.122,0.698,0.695,308.32,17,35,0
4.0,0.167,6,3,0.0,0,16,8.066,48.6,40.0,1.014,1.107,0.69,0.673,282.31,12,35,0
8.967,0.082,4,3,6.5,3,19,8.858,45.7,37.0,1.019,1.112,0.713,0.691,407.48,17,46,0
4.333,0.148,4,2,3.8,1,11,9.511,46.2,34.6,1.027,1.104,0.733,0.71,247.29,11,26,0
4.0,0.154,6,2,2.7,1,17,8.738,48.6,35.1,1.028,1.109,0.699,0.696,323.32,17,37,0
10.086,0.032,1,2,6.9,2,12,8.905,44.8,34.5,1.036,1.121,0.685,0.69,258.25,11,29,0
5.116,0.167,5,3,0.0,0,13,9.459,48.3,34.5,1.028,1.098,0.734,0.713,274.31,11,29,0
10.745,0.071,3,2,5.1,2,12,9.292,41.0,35.9,1.04,1.12,0.691,0.684,362.39,11,39,0
10.854,0.0,0,2,10.5,2,8,11.189,42.1,26.3,1.067,1.126,0.724,0.74,212.6,6,19,0
6.721,0.162,6,3,0.0,0,15,9.243,47.2,36.1,1.032,1.108,0.707,0.697,332.75,12,36,0
6.357,0.176,6,3,0.0,0,13,10.858,45.5,27.3,1.077,1.136,0.706,0.729,358.31,11,33,0
9.638,0.065,2,2,6.9,2,12,9.459,44.8,34.5,1.027,1.111,0.726,0.706,274.32,11,29,0
4.967,0.167,5,3,0.0,0,13,10.092,48.3,31.0,1.048,1.106,0.722,0.725,292.68,11,29,0
9.836,0.036,1,2,7.7,2,12,10.011,46.2,30.8,1.035,1.107,0.743,0.729,260.29,11,26,0
10.42,0.065,2,2,6.9,2,12,8.905,44.8,34.5,1.036,1.121,0.685,0.69,258.25,11,29,0
6.387,0.152,5,3,0.0,0,15,10.536,50.0,31.3,1.039,1.101,0.753,0.74,337.16,12,32,0
9.845,0.036,1,2,7.7,2,12,9.393,46.2,30.8,1.045,1.118,0.697,0.711,244.22,11,26,0
4.996,0.211,4,3,0.0,0,7,10.432,42.1,31.6,1.055,1.105,0.724,0.717,198.21,5,19,0
10.854,0.0,0,2,10.5,2,6,10.433,36.8,31.6,1.054,1.125,0.713,0.707,198.22,5,19,0
10.102,0.0,0,2,10.5,2,8,9.377,42.1,31.6,1.05,1.129,0.679,0.697,178.16,6,19,0
5.157,0.182,4,3,0.0,0,9,10.301,45.5,31.8,1.053,1.111,0.715,0.718,226.62,6,22,0
4.421,0.182,4,3,0.0,0,9,11.866,45.5,27.3,1.068,1.108,0.754,0.756,261.06,6,22,0
4.914,0.167,5,3,0.0,0,13,10.092,48.3,31.0,1.048,1.106,0.722,0.725,292.68,11,29,0
10.143,0.065,2,2,6.9,2,12,12.18,44.8,31.0,1.035,1.105,0.773,0.742,353.21,11,29,0
10.509,0.063,2,2,6.7,2,12,9.142,43.3,33.3,1.046,1.123,0.678,0.691,274.25,11,30,0
4.87,0.143,6,3,0.0,0,13,7.667,43.9,43.9,1.014,1.117,0.662,0.642,314.36,11,41,0
5.866,0.162,6,3,0.0,0,15,8.286,47.2,38.9,1.023,1.11,0.683,0.674,298.31,12,36,0
5.757,0.176,6,3,0.0,0,15,8.615,48.5,36.4,1.028,1.107,0.692,0.689,284.28,12,33,0
5.441,0.152,5,3,0.0,0,15,8.384,50.0,37.5,1.019,1.104,0.7,0.688,268.28,12,32,0
4.752,0.182,4,3,0.0,0,9,11.866,45.5,27.3,1.068,1.108,0.754,0.756,261.06,6,22,0
4.889,0.16,4,3,0.0,0,9,8.248,44.0,40.0,1.029,1.117,0.665,0.66,206.21,6,25,0
5.136,0.176,6,3,0.0,0,15,8.615,48.5,36.4,1.028,1.107,0.692,0.689,284.28,12,33,0
5.257,0.182,4,3,0.0,0,9,11.866,45.5,27.3,1.068,1.108,0.754,0.756,261.06,6,22,0
5.74,0.182,4,3,0.0,0,9,11.866,45.5,27.3,1.068,1.108,0.754,0.756,261.06,6,22,0
6.481,0.152,5,3,0.0,0,15,9.46,50.0,34.4,1.029,1.102,0.726,0.714,302.72,12,32,0
4.604,0.182,4,3,0.0,0,9,8.735,45.5,36.4,1.038,1.114,0.676,0.68,192.18,6,22,0
5.456,0.152,5,3,0.0,0,15,8.384,50.0,37.5,1.019,1.104,0.7,0.688,268.28,12,32,0
10.367,0.0,0,2,9.1,2,10,10.648,45.5,27.3,1.047,1.108,0.752,0.747,234.25,10,22,0
10.469,0.063,2,2,6.7,2,12,9.142,43.3,33.3,1.046,1.123,0.678,0.691,274.25,11,30,0
9.87,0.034,1,2,7.1,2,6,8.583,35.7,42.9,1.024,1.129,0.672,0.643,240.31,5,28,0
10.921,0.036,1,2,7.7,2,12,10.011,46.2,30.8,1.035,1.107,0.743,0.729,260.29,11,26,0
4.0,0.139,5,2,11.8,4,15,8.598,47.1,35.3,1.018,1.12,0.705,0.695,292.32,17,34,0
10.602,0.0,0,2,12.5,2,6,11.512,37.5,25.0,1.072,1.123,0.737,0.744,184.19,5,16,0
4.947,0.189,7,3,0.0,0,13,8.397,44.4,38.9,1.032,1.116,0.668,0.666,302.3,11,36,0
10.959,0.053,2,2,5.7,2,12,9.496,42.9,34.3,1.038,1.115,0.707,0.698,332.36,11,35,0
4.465,0.148,8,2,7.8,4,21,8.088,47.1,39.2,1.009,1.117,0.696,0.675,412.48,23,51,0
6.244,0.167,5,3,0.0,0,13,11.267,48.3,27.6,1.057,1.107,0.761,0.755,326.74,11,29,0
11.0,0.065,2,4,6.9,2,12,11.185,41.4,27.6,1.057,1.108,0.754,0.744,324.36,11,29,0
10.456,0.057,2,2,6.1,2,12,9.223,42.4,36.4,1.031,1.116,0.706,0.689,304.35,11,33,0
5.455,0.182,4,3,0.0,0,9,10.301,45.5,31.8,1.053,1.111,0.715,0.718,226.62,6,22,0
4.839,0.182,4,3,0.0,0,9,9.553,45.5,31.8,1.062,1.129,0.673,0.698,210.17,6,22,0
10.638,0.051,2,2,5.6,2,18,8.898,50.0,33.3,1.026,1.109,0.712,0.709,320.32,17,36,0
4.538,0.093,4,1,5.0,2,21,8.559,52.5,35.0,1.012,1.103,0.724,0.709,342.37,23,40,0
5.818,0.182,4,3,0.0,0,7,12.1,40.9,22.7,1.112,1.156,0.697,0.741,266.21,5,22,0
4.714,0.182,4,3,0.0,0,9,10.301,45.5,31.8,1.053,1.111,0.715,0.718,226.62,6,22,0
5.78,0.167,5,3,0.0,0,13,8.905,48.3,34.5,1.036,1.108,0.692,0.697,258.24,11,29,0
