pXC50,nC,Sp,nBT,nAT,Sv,nP,O.,nSK,Si,Me,nAB,Se,AMW,nH,nBO,nCsp2,nCsp3,nO,nHM,H.,nDB,SCBO,RBN,MW,nBM,Mv,nN,nHet,nTB,Mp
6.319,6,15.074,24,25,13.666,1,12.0,11,29.013,1.022,0,25.538,7.367,14,10,0,6,3,1,56.0,1,11.0,4,184.17,1,0.547,0,5,0,0.603
6.114,20,32.881,52,48,31.137,0,6.3,27,53.78,1.007,11,48.316,7.99,21,31,12,8,3,1,43.8,2,38.5,3,383.51,13,0.649,3,7,0,0.685
4.979,13,23.904,38,36,22.369,0,5.6,19,40.74,1.006,5,36.222,7.761,17,21,6,7,2,1,47.2,2,25.5,2,279.4,7,0.621,3,6,0,0.664
4.301,11,21.023,31,29,19.481,0,6.9,17,32.331,1.015,5,29.429,9.255,12,19,6,5,2,2,41.4,2,23.5,1,268.39,7,0.672,2,6,0,0.725
6.312,15,27.426,44,42,25.422,0,4.8,21,47.571,1.0,5,41.989,7.32,21,23,6,9,2,1,50.0,2,27.5,3,307.46,7,0.605,3,6,0,0.653
5.77,18,29.665,46,43,27.895,0,4.7,24,48.155,1.002,11,43.105,7.941,19,27,12,6,2,1,44.2,2,34.5,3,341.47,13,0.649,3,6,0,0.69
5.879,27,42.716,67,62,40.024,0,3.2,34,69.314,0.996,17,61.741,7.624,28,39,18,9,2,1,45.2,2,49.5,5,472.66,19,0.646,4,7,0,0.689
5.066,16,24.796,37,35,23.734,0,11.4,21,38.664,1.016,11,35.571,8.639,14,23,12,4,4,1,40.0,2,30.5,4,302.37,13,0.678,0,5,0,0.708
4.347,18,27.262,40,38,26.099,0,10.5,23,42.001,1.016,12,38.607,9.874,15,25,14,4,4,1,39.5,2,33.0,4,375.23,14,0.687,0,5,0,0.717
4.276,19,27.154,41,39,26.568,0,10.3,24,43.242,1.015,12,39.596,8.24,15,26,14,4,4,0,38.5,2,36.0,4,321.35,15,0.681,1,5,1,0.696
4.532,20,30.438,48,46,29.149,0,8.7,25,51.488,1.005,12,46.247,7.379,21,27,14,6,4,0,45.7,2,35.0,5,339.42,14,0.634,1,5,0,0.662
5.208,19,28.125,44,42,27.315,0,11.9,24,46.784,1.014,12,42.589,7.771,18,26,14,5,5,0,42.9,2,34.0,5,326.37,14,0.65,0,5,0,0.67
4.385,18,26.767,40,38,25.901,0,10.5,23,42.103,1.018,12,38.702,8.705,15,25,14,4,4,1,39.5,2,33.0,4,330.78,14,0.682,0,5,0,0.704
4.678,18,25.909,40,38,25.074,0,10.5,22,42.159,1.01,12,38.378,7.798,16,24,14,4,4,0,42.1,2,32.0,4,296.34,14,0.66,0,4,0,0.682
5.367,20,30.341,48,46,29.557,0,13.0,26,51.408,1.017,12,46.8,7.748,20,28,14,6,6,0,43.5,2,36.0,6,356.4,14,0.643,0,6,0,0.66
5.569,21,32.557,52,50,31.798,0,14.0,28,56.033,1.02,12,51.011,7.729,22,30,14,7,7,0,44.0,2,38.0,7,386.43,14,0.636,0,7,0,0.651
4.377,18,25.847,40,38,25.457,0,10.5,23,42.499,1.023,12,38.891,8.272,15,25,14,4,4,0,39.5,2,33.0,4,314.33,14,0.67,0,5,0,0.68
4.194,18,26.767,40,38,25.901,0,10.5,23,42.103,1.018,12,38.702,8.705,15,25,14,4,4,1,39.5,2,33.0,4,330.78,14,0.682,0,5,0,0.704
5.027,16,23.602,37,35,23.262,0,14.3,21,38.953,1.023,11,35.822,8.18,14,23,12,4,5,0,40.0,2,30.5,4,286.3,13,0.665,0,5,0,0.674
4.046,44,68.262,116,104,64.491,0,5.8,54,116.799,0.997,12,103.694,7.029,50,66,16,28,6,0,48.1,3,75.0,3,730.98,15,0.62,4,10,0,0.656
4.41,12,22.142,35,33,20.842,0,6.1,18,37.325,1.01,5,33.338,8.042,15,20,6,6,2,1,45.5,2,24.5,1,265.37,7,0.632,3,6,0,0.671
5.666,23,40.694,68,68,36.294,0,1.5,26,77.51,0.974,6,66.203,5.333,42,26,6,17,1,0,61.8,0,29.0,16,362.67,6,0.534,2,3,0,0.598
5.466,19,32.887,55,54,29.66,0,1.9,22,61.434,0.977,6,52.785,5.639,32,23,6,13,1,0,59.3,0,26.0,10,304.53,6,0.549,2,3,0,0.609
4.973,19,33.648,56,56,30.186,0,1.8,22,63.849,0.976,6,54.669,5.474,34,22,6,13,1,0,60.7,0,25.0,12,306.55,6,0.539,2,3,0,0.601
4.864,21,37.171,62,62,33.24,0,1.6,24,70.68,0.975,6,60.436,5.397,38,24,6,15,1,0,61.3,0,27.0,14,334.61,6,0.536,2,3,0,0.6
4.989,23,40.694,68,68,36.294,0,1.5,26,77.51,0.974,6,66.203,5.333,42,26,6,17,1,0,61.8,0,29.0,16,362.67,6,0.534,2,3,0,0.598
7.076,23,39.932,67,66,35.767,0,1.5,26,75.095,0.975,6,64.319,5.464,40,27,6,17,1,0,60.6,0,30.0,14,360.65,6,0.542,2,3,0,0.605
7.036,24,41.694,70,69,37.294,0,1.4,27,78.51,0.974,6,67.203,5.43,42,28,6,18,1,0,60.9,0,31.0,14,374.68,6,0.54,2,3,0,0.604
6.678,24,42.7,72,71,38.315,0,1.4,28,81.008,0.976,6,69.305,5.489,43,29,6,18,1,0,60.6,0,32.0,14,389.7,6,0.54,3,4,0,0.601
7.114,25,44.461,75,74,39.842,0,1.4,29,84.424,0.976,6,72.188,5.456,45,30,6,19,1,0,60.8,0,33.0,15,403.73,6,0.538,3,4,0,0.601
6.854,23,40.694,68,68,36.294,0,1.5,26,77.51,0.974,6,66.203,5.333,42,26,6,17,1,0,61.8,0,29.0,16,362.67,6,0.534,2,3,0,0.598
4.074,28,48.433,81,80,43.589,0,2.5,32,90.965,0.977,6,78.181,5.56,48,33,7,21,2,0,60.0,1,37.0,17,444.78,7,0.545,2,4,0,0.605
6.409,17,27.875,45,43,25.827,0,0.0,21,48.73,0.985,12,42.36,6.568,22,23,10,7,0,0,51.2,0,29.0,4,282.43,12,0.601,4,4,0,0.648
4.921,16,26.114,42,40,24.3,0,0.0,20,45.315,0.987,12,39.476,6.71,20,22,10,6,0,0,50.0,0,28.0,5,268.4,12,0.608,4,4,0,0.653
4.602,16,27.762,43,41,25.487,0,0.0,21,46.235,0.989,12,40.552,7.329,20,23,10,6,0,1,48.8,0,29.0,5,300.47,12,0.622,4,5,0,0.677
4.842,17,28.881,47,45,26.848,0,0.0,22,51.228,0.988,12,44.461,6.61,23,24,10,7,0,0,51.1,0,30.0,5,297.45,12,0.597,5,5,0,0.642
5.102,18,29.637,48,46,27.354,0,0.0,22,52.145,0.984,12,45.243,6.445,24,24,10,8,0,0,52.2,0,30.0,5,296.46,12,0.595,4,4,0,0.644
6.357,21,36.41,61,60,32.713,0,1.7,24,68.264,0.976,6,58.552,5.543,36,25,6,15,1,0,60.0,0,28.0,12,332.59,6,0.545,2,3,0,0.607
5.79,23,40.938,69,68,36.788,0,1.5,27,77.593,0.977,6,66.421,5.525,41,28,6,17,1,0,60.3,0,31.0,13,375.67,6,0.541,3,4,0,0.602
6.018,21,37.171,62,62,33.24,0,1.6,24,70.68,0.975,6,60.436,5.397,38,24,6,15,1,0,61.3,0,27.0,14,334.61,6,0.536,2,3,0,0.6
5.171,20,34.648,58,57,31.186,0,1.8,23,64.849,0.977,6,55.669,5.589,34,24,6,14,1,0,59.6,0,27.0,10,318.56,6,0.547,2,3,0,0.608
5.253,20,35.654,60,59,32.208,0,1.7,24,67.348,0.979,6,57.77,5.654,35,25,6,14,1,0,59.3,0,28.0,10,333.58,6,0.546,3,4,0,0.604
6.921,14,22.495,36,34,21.655,0,5.9,19,38.405,1.008,11,34.262,7.568,15,21,9,5,2,0,44.1,1,27.5,2,257.32,12,0.637,3,5,0,0.662
6.509,17,27.779,45,43,26.235,0,4.7,22,48.651,0.998,11,42.912,6.963,21,24,9,8,2,0,48.8,1,30.5,3,299.41,12,0.61,3,5,0,0.646
6.174,25,44.217,74,74,39.347,0,1.4,28,84.34,0.973,6,71.97,5.28,46,28,6,19,1,0,62.2,0,31.0,18,390.73,6,0.532,2,3,0,0.598
5.237,19,29.114,46,43,27.3,0,0.0,23,48.315,0.988,17,42.476,7.08,20,26,14,5,0,0,46.5,0,34.5,4,304.43,17,0.635,4,4,0,0.677
4.804,19,29.569,47,44,28.015,0,2.3,24,49.524,0.996,17,43.803,7.282,20,27,14,5,1,0,45.5,0,35.5,4,320.43,17,0.637,4,5,0,0.672
4.81,19,30.762,47,44,28.487,0,0.0,24,49.235,0.99,17,43.552,7.648,20,27,14,5,0,1,45.5,0,35.5,4,336.5,17,0.647,4,5,0,0.699
4.754,20,31.881,51,48,29.848,0,0.0,25,54.228,0.989,17,47.461,6.947,23,28,14,6,0,0,47.9,0,36.5,4,333.48,17,0.622,5,5,0,0.664
6.444,16,26.017,42,40,24.708,0,5.0,21,45.235,1.001,11,40.029,7.134,19,23,9,7,2,0,47.5,1,29.5,2,285.38,12,0.618,3,5,0,0.65
6.602,17,27.779,45,43,26.235,0,4.7,22,48.651,0.998,11,42.912,6.963,21,24,9,8,2,0,48.8,1,30.5,2,299.41,12,0.61,3,5,0,0.646
6.456,15,24.256,39,37,23.181,0,5.4,20,41.82,1.004,11,37.145,7.334,17,22,9,6,2,0,45.9,1,28.5,3,271.35,12,0.627,3,5,0,0.656
6.398,18,29.54,48,46,27.762,0,4.3,23,52.066,0.996,11,45.796,6.814,23,25,9,9,2,0,50.0,1,31.5,3,313.44,12,0.604,3,5,0,0.642
4.941,18,32.131,54,53,29.154,0,1.9,22,60.517,0.981,6,52.003,5.765,31,23,6,12,1,0,58.5,0,26.0,8,305.52,6,0.55,3,4,0,0.606
6.585,29,51.262,86,86,45.454,0,1.2,32,98.001,0.971,6,83.505,5.196,54,32,6,23,1,0,62.8,0,35.0,22,446.85,6,0.529,2,3,0,0.596
