pXC50,nBM,nCsp2,nAB,Mv,Sp,Mp,H.,MW,Si,RBN,Sv,nAT,Se,SCBO,nBT
7.076,20,20,12,0.59,81.012,0.623,50.8,887.22,148.284,10,76.683,130,130.377,82.0,134
7.959,28,22,22,0.599,84.603,0.631,49.3,935.28,153.028,8,80.285,134,134.363,91.0,140
6.793,28,22,22,0.595,88.126,0.629,50.0,963.34,159.858,10,83.339,140,140.13,93.0,146
7.963,22,22,18,0.613,57.313,0.651,48.9,609.84,99.218,10,53.975,88,87.607,62.0,92
7.495,22,22,18,0.613,57.313,0.651,48.9,609.84,99.218,10,53.975,88,87.607,62.0,92
8.585,16,16,12,0.6,54.313,0.639,50.6,573.81,96.218,8,50.975,85,84.607,56.0,89
7.342,15,15,12,0.602,46.023,0.639,50.0,492.68,81.474,7,43.374,72,71.854,48.0,75
7.264,15,15,12,0.602,46.023,0.639,50.0,492.68,81.474,7,43.374,72,71.854,48.0,75
8.378,34,28,28,0.607,94.887,0.641,48.6,1037.42,168.273,18,89.866,148,148.013,104.0,156
8.523,28,22,22,0.587,101.456,0.626,51.9,1073.56,184.765,25,95.026,162,161.315,102.0,169
8.337,34,28,28,0.597,105.456,0.635,50.6,1121.6,188.765,24,99.026,166,165.315,110.0,174
5.046,56,46,48,0.619,129.422,0.654,47.5,1407.9,223.841,28,122.606,198,197.708,148.0,210
8.244,34,28,28,0.603,98.41,0.639,49.4,1065.48,175.104,20,92.919,154,153.781,106.0,162
8.515,34,28,28,0.6,101.933,0.637,50.0,1093.54,181.934,22,95.973,160,159.548,108.0,168
8.268,34,28,28,0.591,112.501,0.632,51.7,1177.72,202.425,28,105.134,178,176.849,114.0,186
8.602,34,28,28,0.585,119.547,0.629,52.6,1233.84,216.086,32,111.241,190,188.384,118.0,198
8.495,28,22,22,0.584,104.979,0.625,52.4,1101.62,191.595,27,98.08,168,167.082,104.0,175
8.208,33,24,27,0.596,102.189,0.631,50.0,1112.56,185.014,24,96.51,162,161.97,108.5,170
8.167,29,23,22,0.591,101.399,0.626,50.6,1103.55,185.14,24,95.73,162,162.079,105.0,169
8.31,28,22,22,0.587,101.91,0.625,51.5,1089.56,185.974,26,95.741,163,162.642,103.0,170
8.125,28,22,22,0.591,98.842,0.626,50.6,1077.5,180.353,25,93.402,158,158.202,102.0,165
7.87,28,22,22,0.592,99.297,0.625,50.3,1093.5,181.562,26,94.117,159,159.53,103.0,166
7.717,45,37,38,0.609,117.439,0.645,48.9,1264.75,206.303,26,110.816,182,181.511,129.0,192
6.947,8,8,6,0.563,43.637,0.615,56.3,428.69,80.886,9,39.998,71,69.967,38.0,73
5.471,8,8,6,0.568,40.114,0.617,55.4,400.63,74.055,8,36.944,65,64.199,36.0,67
6.301,8,8,6,0.566,41.876,0.616,55.9,414.66,77.47,9,38.471,68,67.083,37.0,70
6.131,8,8,6,0.563,43.637,0.615,56.3,428.69,80.886,10,39.998,71,69.967,38.0,73
5.299,9,9,6,0.58,39.807,0.622,53.1,414.61,72.849,7,37.132,64,63.643,38.0,66
6.108,9,9,6,0.577,41.569,0.62,53.7,428.64,76.265,8,38.659,67,66.527,39.0,69
6.131,9,9,6,0.579,42.023,0.618,52.9,444.64,77.474,9,39.374,68,67.854,40.0,70
5.772,8,8,6,0.566,41.876,0.616,55.9,414.66,77.47,8,38.471,68,67.083,37.0,70
6.102,8,8,6,0.561,45.398,0.613,56.8,442.72,84.301,10,41.524,74,72.85,39.0,76
5.474,9,9,6,0.577,41.569,0.62,53.7,428.64,76.265,7,38.659,67,66.527,39.0,69
6.886,9,9,6,0.574,43.33,0.619,54.3,442.67,79.68,8,40.186,70,69.41,40.0,72
6.347,9,9,6,0.576,43.785,0.617,53.5,458.67,80.889,9,40.9,71,70.738,41.0,73
6.569,8,8,6,0.563,43.637,0.615,56.3,428.69,80.886,8,39.998,71,69.967,38.0,73
7.097,8,8,6,0.561,45.398,0.613,56.8,442.72,84.301,9,41.524,74,72.85,39.0,76
7.585,8,8,6,0.559,40.876,0.61,56.7,402.65,76.47,9,37.471,67,66.083,35.0,68
7.357,8,8,6,0.561,45.398,0.613,56.8,442.72,84.301,9,41.524,74,72.85,39.0,76
7.208,14,14,12,0.581,51.16,0.632,54.3,504.79,91.716,10,47.051,81,79.734,48.0,84
5.701,8,8,6,0.567,46.398,0.619,56.0,454.73,85.301,7,42.524,75,73.85,41.0,78
5.24,10,8,6,0.579,39.909,0.624,53.1,438.66,72.979,8,37.034,64,64.047,38.0,65
5.41,10,8,6,0.576,41.671,0.622,53.7,452.69,76.394,9,38.561,67,66.93,39.0,68
6.983,8,8,6,0.569,43.574,0.614,54.9,446.68,81.225,9,40.381,71,70.479,39.0,73
6.554,8,8,6,0.569,43.574,0.614,54.9,446.68,81.225,9,40.381,71,70.479,39.0,73
7.491,8,8,6,0.569,43.574,0.614,54.9,446.68,81.225,9,40.381,71,70.479,39.0,73
7.461,8,8,6,0.565,40.813,0.609,55.2,420.64,76.81,9,37.854,67,66.596,36.0,68
6.807,8,8,6,0.559,43.091,0.607,56.3,432.68,81.095,10,39.712,71,70.294,37.0,72
6.785,8,8,6,0.559,43.091,0.607,56.3,432.68,81.095,10,39.712,71,70.294,37.0,72
6.801,8,8,6,0.559,43.091,0.607,56.3,432.68,81.095,10,39.712,71,70.294,37.0,72
6.932,8,8,6,0.572,41.733,0.623,55.2,437.09,76.414,9,38.298,67,66.407,36.0,68
7.385,8,8,6,0.575,42.228,0.63,55.2,481.54,76.312,9,38.496,67,66.312,36.0,68
7.373,8,8,6,0.557,42.637,0.609,57.1,416.68,79.886,9,38.998,70,68.967,36.0,71
7.272,8,8,6,0.562,41.33,0.608,55.9,418.65,77.68,9,38.186,68,67.41,36.0,69
7.359,10,8,6,0.571,42.029,0.609,53.6,447.65,78.972,10,39.395,69,68.956,40.0,70
6.523,8,8,6,0.574,42.449,0.606,52.9,470.65,80.905,9,40.147,70,70.505,39.0,71
6.477,8,7,6,0.56,40.12,0.608,56.1,403.64,75.554,9,36.965,66,65.301,35.0,67
6.33,8,7,6,0.56,40.12,0.608,56.1,403.64,75.554,9,36.965,66,65.301,35.0,67
6.836,12,10,10,0.57,43.881,0.618,54.9,441.69,80.969,9,40.492,71,70.185,41.0,73
8.35,8,8,6,0.567,46.398,0.619,56.0,454.73,85.301,9,42.524,75,73.85,41.0,78
8.699,21,21,18,0.598,61.143,0.644,51.6,623.92,107.254,13,56.841,95,93.93,62.0,99
8.699,21,21,18,0.598,61.143,0.644,51.6,623.92,107.254,13,56.841,95,93.93,62.0,99
