pXC50,AMW,C.,H.,Me,Mi,Mp
5.253,8.878,47.8,34.8,1.037,1.109,0.69
5.275,8.601,29.4,47.1,1.025,1.135,0.66
5.117,8.768,44.8,34.5,1.025,1.126,0.697
5.301,8.153,40.8,42.9,1.013,1.122,0.68
5.214,8.605,43.8,40.6,1.014,1.111,0.706
5.087,7.324,40.0,45.7,1.001,1.134,0.658
5.232,8.182,48.3,37.9,1.006,1.116,0.707
5.505,7.547,39.1,46.4,1.002,1.13,0.666
4.225,8.578,39.3,46.4,1.014,1.125,0.66
5.026,8.15,46.5,41.9,1.0,1.108,0.713
6.606,10.596,35.3,23.5,1.082,1.154,0.67
4.224,7.584,50.0,42.5,0.996,1.106,0.7
5.957,8.576,43.3,36.7,1.027,1.126,0.681
4.822,8.335,43.5,39.1,1.026,1.13,0.671
5.382,8.861,51.9,33.3,1.023,1.103,0.719
5.656,6.86,43.3,48.3,0.985,1.125,0.669
5.708,8.705,50.0,34.8,1.022,1.108,0.709
5.529,8.294,42.9,40.0,1.033,1.119,0.659
5.178,7.655,41.7,43.8,1.012,1.126,0.66
5.563,7.715,33.3,45.1,1.028,1.147,0.62
5.39,9.133,41.7,35.4,1.055,1.146,0.654
4.672,9.365,41.0,43.6,1.012,1.123,0.688
5.267,9.421,46.2,33.3,1.028,1.111,0.725
5.431,8.079,46.5,39.5,1.011,1.117,0.691
5.402,9.139,41.0,35.9,1.027,1.126,0.704
4.791,8.185,31.7,46.0,1.025,1.139,0.645
4.224,7.281,42.4,45.8,0.998,1.127,0.666
5.076,8.652,46.4,35.7,1.026,1.117,0.694
4.342,10.347,41.0,33.3,1.024,1.111,0.767
4.604,7.457,42.1,44.7,1.004,1.127,0.665
5.212,8.531,56.5,34.8,1.008,1.09,0.737
5.304,7.488,47.8,43.5,0.996,1.112,0.691
6.075,7.985,39.0,41.5,1.019,1.137,0.658
5.573,7.881,58.1,38.7,0.988,1.087,0.743
5.538,10.162,50.0,26.9,1.062,1.149,0.705
5.074,7.447,46.9,43.8,0.995,1.116,0.689
5.656,7.784,45.0,42.5,1.012,1.116,0.673
5.367,7.168,38.6,47.7,1.005,1.133,0.642
5.326,9.304,47.1,35.3,1.03,1.102,0.72
6.14,8.403,48.2,39.3,1.008,1.105,0.716
4.952,8.836,42.5,37.5,1.016,1.123,0.71
5.394,8.136,35.7,46.4,1.016,1.134,0.664
4.225,9.845,41.7,33.3,1.038,1.116,0.721
5.206,8.388,43.2,37.8,1.022,1.127,0.681
4.596,9.811,43.9,39.0,1.017,1.119,0.709
5.179,7.974,39.7,43.1,1.026,1.149,0.644
5.112,8.32,42.5,42.5,1.014,1.122,0.683
5.615,8.754,46.2,38.5,1.017,1.107,0.713
4.82,7.572,43.8,43.8,1.005,1.122,0.672
5.027,7.01,44.7,47.4,0.989,1.119,0.673
5.259,7.784,45.0,42.5,1.012,1.116,0.673
5.436,8.182,30.2,54.2,0.996,1.118,0.691
5.202,7.226,43.2,45.9,0.995,1.125,0.67
5.041,8.204,46.3,39.0,1.017,1.116,0.687
5.146,7.334,40.5,45.9,1.004,1.13,0.656
5.39,9.437,34.6,42.3,1.025,1.117,0.71
5.304,9.249,48.4,35.5,1.019,1.111,0.729
4.828,8.327,39.5,42.1,1.012,1.127,0.688
5.411,9.584,46.3,33.3,1.047,1.127,0.7
5.343,11.289,37.0,33.3,1.044,1.114,0.762
5.121,7.352,44.7,44.7,0.995,1.121,0.679
4.224,7.741,44.6,42.9,1.009,1.126,0.673
5.179,7.42,44.6,44.6,1.0,1.119,0.674
5.454,9.526,55.2,27.6,1.029,1.099,0.747
5.56,7.05,38.0,48.0,0.998,1.139,0.647
5.208,10.377,34.8,30.4,1.05,1.155,0.7
5.586,9.194,51.4,34.3,1.011,1.106,0.747
4.983,11.006,44.7,31.6,1.042,1.117,0.722
6.061,7.755,49.0,41.2,0.998,1.111,0.702
5.537,8.509,50.0,35.7,1.014,1.11,0.713
5.303,8.087,46.2,38.5,1.002,1.125,0.704
5.284,6.839,42.9,48.6,0.985,1.126,0.667
5.175,9.49,51.9,29.6,1.043,1.1,0.715
5.136,9.444,48.7,30.8,1.049,1.107,0.698
5.211,8.115,44.7,40.4,1.022,1.117,0.672
5.832,9.736,45.5,27.3,1.043,1.129,0.713
5.516,8.861,51.9,33.3,1.023,1.103,0.719
