pXC50,nHM,nCL,nAB,MW,nSK,nBO,Se,nC,nAT,nCsp3,Sp,nBM,Sv,SCBO,nHet
5.943,0,0,34,700.84,52.0,57.0,92.61,42,92.0,8,62.114,36,59.77,76.0,10
6.367,0,0,34,700.84,52.0,57.0,92.61,42,92.0,8,62.114,36,59.77,76.0,10
4.955,1,0,23,560.66,41.0,47.0,65.636,33,65.0,4,47.307,28,45.599,63.5,8
4.712,1,0,23,560.66,41.0,47.0,65.636,33,65.0,4,47.307,28,45.599,63.5,8
5.097,1,0,23,548.62,40.0,46.0,61.938,32,61.0,3,45.029,28,43.74,62.5,8
5.509,1,0,18,524.63,38.0,43.0,62.636,30,62.0,5,44.307,23,42.599,57.0,8
5.495,1,0,24,630.76,46.0,52.0,76.614,37,76.0,6,54.046,29,51.894,69.0,9
6.766,0,0,24,756.86,56.0,61.0,97.265,44,96.0,10,65.023,32,63.2,81.0,12
6.731,0,0,24,728.8,54.0,59.0,91.498,42,90.0,8,61.5,32,60.146,79.0,12
6.741,0,0,24,642.64,48.0,53.0,75.76,38,74.0,4,52.443,32,51.996,73.0,10
5.73,0,0,12,570.68,42.0,47.0,76.64,34,76.0,14,50.58,18,48.674,59.0,8
5.261,0,0,12,626.8,46.0,51.0,88.174,38,88.0,18,57.625,18,54.781,63.0,8
5.676,0,0,24,614.68,46.0,51.0,76.872,38,76.0,6,53.057,30,51.62,69.0,8
5.594,0,0,24,642.74,48.0,53.0,82.64,40,82.0,8,56.58,30,54.674,71.0,8
5.752,0,0,24,642.74,48.0,53.0,82.64,40,82.0,8,56.58,30,54.674,71.0,8
6.63,0,0,24,586.62,44.0,49.0,71.105,36,70.0,4,49.534,30,48.567,67.0,8
6.554,2,2,24,655.5,46.0,51.0,71.753,36,70.0,4,51.25,30,50.222,69.0,10
4.35,0,0,12,226.29,17.0,18.0,30.84,15,31.0,2,21.239,13,20.117,25.0,2
6.658,2,2,24,606.58,42.0,46.0,75.407,34,75.0,9,51.938,25,49.206,59.0,8
6.699,2,1,24,651.03,42.0,46.0,75.312,34,75.0,9,52.432,25,49.404,59.0,8
6.959,1,1,24,628.26,45.0,49.0,86.618,38,87.0,13,58.125,25,54.486,62.0,7
7.398,1,1,24,612.26,44.0,48.0,85.29,38,86.0,13,57.671,25,53.771,61.0,6
4.699,2,2,12,338.3,22.0,23.0,42.796,18,43.0,6,29.551,12,27.186,29.0,4
4.097,1,1,12,303.86,21.0,22.0,42.472,18,43.0,6,28.694,12,26.359,28.0,3
5.301,0,0,24,509.69,38.0,41.0,72.432,33,73.0,8,48.767,25,45.836,54.0,5
4.699,0,0,24,495.66,37.0,40.0,69.549,32,70.0,7,47.006,25,44.309,53.0,5
5.284,0,0,24,495.66,37.0,40.0,69.549,32,70.0,7,47.006,25,44.309,53.0,5
5.337,0,0,24,509.69,38.0,41.0,72.432,33,73.0,8,48.767,25,45.836,54.0,5
5.469,0,0,24,509.69,38.0,41.0,72.432,33,73.0,8,48.767,25,45.836,54.0,5
6.0,0,0,24,525.69,39.0,42.0,73.76,33,74.0,8,49.222,25,46.551,55.0,6
5.237,0,0,24,495.66,37.0,40.0,69.549,32,70.0,7,47.006,25,44.309,53.0,5
5.097,0,0,24,509.69,38.0,41.0,72.432,33,73.0,8,48.767,25,45.836,54.0,5
4.081,0,0,24,495.66,37.0,40.0,69.549,32,70.0,7,47.006,25,44.309,53.0,5
4.921,0,0,24,509.69,38.0,41.0,72.432,33,73.0,8,48.767,25,45.836,54.0,5
6.0,0,0,24,525.69,39.0,42.0,73.76,33,74.0,8,49.222,25,46.551,55.0,6
6.337,2,2,24,507.43,35.0,38.0,59.443,29,59.0,4,42.432,25,40.363,51.0,6
6.517,0,0,12,490.54,36.0,39.0,63.105,28,62.0,8,41.534,18,40.567,51.0,8
6.686,0,0,12,518.6,38.0,41.0,68.872,30,68.0,10,45.057,18,43.62,53.0,8
5.114,2,0,36,614.28,38.0,46.0,52.182,34,52.0,0,43.705,38,41.694,66.0,4
