pXC50,nBO,nC,MW,nBT,Sp,Sv
5.87,25,14,305.32,40,23.858,23.799
6.092,25,14,305.32,40,23.858,23.799
9.35,60,41,825.09,120,73.387,70.016
8.046,67,47,924.23,136,83.097,79.058
5.608,14,8,168.16,22,12.864,12.966
8.824,65,46,897.2,133,81.092,77.037
6.347,16,10,214.24,30,17.602,17.262
8.469,70,50,949.28,142,86.614,82.09
6.921,15,9,182.19,25,14.625,14.493
6.328,17,11,228.27,33,19.364,18.788
8.469,29,19,430.43,56,35.432,33.732
6.432,14,8,168.16,22,12.864,12.966
5.469,30,26,371.56,59,38.12,35.111
5.398,44,32,647.77,99,58.307,53.494
9.523,66,47,909.21,134,82.092,78.037
7.301,16,10,214.24,30,17.602,17.262
6.387,15,9,200.21,27,15.841,15.735
9.174,63,44,805.12,131,75.796,71.204
4.796,55,40,770.04,114,70.131,66.479
4.602,44,32,614.82,90,55.648,52.867
4.77,54,39,758.03,113,69.131,65.479
4.0,39,30,543.78,84,51.733,48.416
4.699,38,29,529.75,81,49.972,46.889
8.013,73,51,1023.35,156,93.978,87.803
8.824,71,51,965.33,147,89.137,84.144
10.523,56,41,767.03,114,70.126,66.457
8.418,72,50,1009.32,153,92.217,86.277
8.523,72,49,995.33,146,88.876,84.649
4.26,16,10,198.24,30,17.148,16.547
6.387,15,9,200.21,27,15.841,15.735
6.328,17,11,228.27,33,19.364,18.788
6.347,16,10,214.24,30,17.602,17.262
6.585,16,10,196.22,28,16.386,16.02
8.0,56,41,767.07,122,72.035,67.677
4.602,47,34,656.86,95,58.864,56.108
4.495,23,13,297.29,38,22.517,22.713
