pXC50,nAB,nBM,nCsp2,nC,H.,Mv,AMW,C.,RBF,N.,nN,nSK,Mp
6.78,11,12,11,20,49.0,0.622,7.276,40.8,0.077,4.1,2,25,0.672
6.66,12,14,14,22,45.8,0.638,7.322,45.8,0.078,2.1,1,26,0.671
6.35,11,13,12,22,47.1,0.634,7.56,43.1,0.093,2.0,1,27,0.679
7.19,11,12,11,21,50.0,0.615,7.126,40.4,0.091,3.8,2,26,0.667
6.23,15,16,12,22,45.1,0.644,7.815,43.1,0.073,3.9,2,28,0.684
6.8,11,13,12,24,49.2,0.617,7.265,40.7,0.129,3.4,2,30,0.664
6.88,11,13,12,21,45.8,0.642,7.74,43.8,0.078,2.1,1,26,0.685
5.0,12,14,14,24,48.2,0.62,7.045,42.9,0.119,3.6,2,29,0.656
5.1,6,6,6,8,52.4,0.589,6.533,38.1,0.095,4.8,1,10,0.632
9.75,17,17,16,23,49.0,0.629,6.704,46.9,0.038,4.1,2,25,0.681
7.22,16,18,16,25,45.5,0.64,7.355,45.5,0.068,3.6,2,30,0.673
6.8,16,17,15,24,48.2,0.622,6.956,42.9,0.067,5.4,3,29,0.662
6.0,10,10,8,12,53.3,0.591,6.277,40.0,0.097,6.7,2,14,0.645
7.924,6,6,6,11,51.6,0.612,10.361,35.5,0.129,3.2,1,15,0.699
5.32,6,6,6,10,53.6,0.576,6.474,35.7,0.107,3.6,1,13,0.616
7.14,10,10,8,14,55.9,0.581,5.922,41.2,0.086,2.9,1,15,0.643
6.86,10,10,8,14,55.9,0.581,5.922,41.2,0.086,2.9,1,15,0.643
7.68,10,10,8,14,54.3,0.585,6.21,40.0,0.111,2.9,1,16,0.638
6.27,6,6,6,12,58.8,0.552,5.657,35.3,0.147,5.9,2,14,0.614
6.02,6,6,6,10,57.1,0.562,5.867,35.7,0.143,7.1,2,12,0.619
6.86,10,10,7,11,51.7,0.594,6.527,37.9,0.1,10.3,3,14,0.641
6.98,10,10,8,13,54.8,0.588,6.042,41.9,0.094,3.2,1,14,0.648
4.0,11,12,11,19,48.9,0.616,6.898,42.2,0.063,4.4,2,23,0.656
6.23,11,13,12,24,49.2,0.609,6.992,40.7,0.129,3.4,2,30,0.644
6.36,11,13,12,23,48.2,0.615,7.116,41.1,0.119,3.6,2,29,0.647
6.71,11,13,12,21,45.8,0.632,7.405,43.8,0.078,2.1,1,26,0.66
6.61,15,16,12,21,43.8,0.642,7.676,43.8,0.058,4.2,2,27,0.665
5.46,11,12,10,18,47.7,0.619,7.078,40.9,0.064,6.8,3,23,0.654
7.9,12,13,12,17,45.0,0.637,7.36,42.5,0.023,10.0,4,22,0.67
8.2,16,17,14,19,45.5,0.637,7.282,43.2,0.043,9.1,4,24,0.672
8.9,16,17,14,17,40.5,0.666,7.928,45.9,0.025,8.1,3,22,0.689
8.2,16,17,15,19,45.2,0.643,7.272,45.2,0.022,7.1,3,23,0.68
8.0,16,17,14,18,43.9,0.646,7.473,43.9,0.045,9.8,4,23,0.678
