pXC50,Mi,Sp
4.009,1.13,22.852
4.585,1.127,36.494
4.086,1.148,21.898
5.553,1.111,43.477
4.174,1.126,50.881
5.886,1.106,42.262
5.301,1.119,40.904
4.237,1.13,32.659
5.0,1.133,30.262
4.921,1.122,41.455
4.004,1.118,34.727
4.056,1.141,35.04
5.886,1.12,45.495
5.036,1.127,22.398
6.222,1.111,38.75
5.301,1.119,40.904
4.638,1.122,42.767
4.77,1.135,26.926
4.495,1.13,27.682
5.796,1.114,39.512
5.745,1.119,43.586
6.046,1.117,40.063
5.553,1.111,43.477
5.071,1.121,44.614
6.699,1.116,38.301
5.796,1.108,39.807
5.42,1.111,43.33
5.602,1.121,45.949
5.77,1.112,45.091
4.357,1.139,28.262
6.046,1.117,41.728
5.721,1.11,40.205
5.377,1.12,43.0
4.051,1.124,42.483
5.921,1.116,41.784
6.699,1.118,41.972
5.367,1.118,41.824
5.921,1.111,38.75
5.699,1.115,41.273
6.699,1.118,41.972
6.62,1.119,42.279
4.06,1.113,37.75
5.638,1.116,43.034
5.658,1.117,41.728
5.658,1.109,41.568
6.155,1.114,38.205
5.745,1.115,41.421
5.745,1.115,41.421
4.137,1.138,27.807
4.428,1.12,40.762
5.377,1.12,43.0
5.071,1.124,45.165
4.636,1.121,42.523
