pXC50,nCsp2,MW
4.0,16,461.54
5.208,7,466.58
4.921,6,399.51
5.538,7,480.61
4.889,34,769.83
5.252,7,494.64
6.0,6,381.45
4.573,12,276.39
4.332,18,528.58
4.352,16,264.36
4.125,20,332.32
4.338,19,386.88
4.183,19,352.44
4.928,25,428.54
4.851,26,456.55
4.517,26,484.61
5.824,14,401.29
4.455,18,422.94
4.311,19,414.94
4.991,19,449.38
4.167,19,506.39
5.301,18,451.0
4.151,11,263.35
4.921,25,457.68
5.387,25,401.56
4.81,37,581.82
5.201,29,565.88
4.693,25,485.74
4.745,25,541.86
4.845,37,666.0
4.0,12,625.53
4.0,12,540.75
4.0,12,554.78
4.0,14,580.82
4.0,18,630.88
4.644,6,398.5
4.921,35,552.61
4.38,23,447.5
4.0,6,549.43
5.319,20,820.68
4.0,18,541.77
4.0,18,541.77
4.0,18,513.71
4.04,21,504.53
4.724,23,495.29
4.248,6,195.36
5.77,16,402.42
4.451,7,251.15
4.119,8,220.22
4.742,49,1297.39
4.469,23,756.9
4.018,20,423.43
5.854,20,647.88
4.261,8,243.31
4.154,20,650.64
6.398,6,384.47
4.304,13,240.33
4.051,11,239.31
4.602,17,445.49
4.602,19,513.55
4.0,15,481.55
4.602,13,408.6
4.256,26,596.82
