pXC50,Sp,nH,nAT,Si,Se,Sv,nBT,Me,nCsp3
6.414,21.989,10,32,35.542,33.709,22.638,34,1.053,0
5.521,15.938,13,26,29.618,26.385,15.327,26,1.015,3
5.519,28.08,14,42,48.387,44.742,28.663,44,1.065,5
6.22,16.517,11,25,28.365,25.167,15.886,26,1.007,2
4.134,29.921,18,44,49.156,44.582,29.116,46,1.013,3
4.134,29.029,13,38,41.83,38.531,27.502,41,1.014,1
4.134,31.682,20,47,52.571,47.465,30.643,49,1.01,4
5.635,17.58,8,27,31.966,29.025,18.552,28,1.075,1
4.602,32.699,15,44,48.664,45.069,31.458,47,1.024,2
5.926,28.841,20,46,52.571,47.44,28.589,49,1.031,10
4.134,33.443,22,50,55.986,50.349,32.17,52,1.007,5
5.822,22.227,12,33,37.654,33.916,22.138,35,1.028,1
5.748,23.591,14,37,43.119,39.443,24.094,38,1.066,6
4.134,30.432,22,46,52.069,46.091,28.444,47,1.002,6
6.188,20.852,10,28,31.043,28.436,19.941,30,1.016,1
4.134,24.029,13,33,36.83,33.531,22.502,35,1.016,4
4.134,36.12,19,50,55.365,50.433,34.61,54,1.009,3
4.134,23.801,13,34,38.06,34.811,23.176,35,1.024,1
5.666,30.392,13,41,45.458,42.513,29.646,44,1.037,1
4.134,26.375,18,41,46.365,41.909,25.831,42,1.022,6
5.724,14.091,6,19,21.166,19.702,13.713,20,1.037,0
4.134,40.193,20,55,60.933,55.967,38.679,59,1.018,4
4.134,26.051,15,38,42.744,38.993,25.271,39,1.026,3
4.134,31.307,24,49,55.531,49.636,29.599,51,1.013,10
4.134,41.307,22,58,64.429,58.774,40.019,62,1.013,4
4.134,24.597,15,36,40.534,36.665,23.557,37,1.018,4
6.174,20.028,9,30,33.997,31.92,20.933,31,1.064,0
5.744,21.614,10,29,31.996,29.469,20.767,31,1.016,0
4.618,15.54,6,19,21.087,19.378,14.33,20,1.02,0
4.134,33.54,21,49,54.617,49.651,32.051,51,1.013,6
5.164,18.171,10,26,28.704,26.4,17.778,27,1.015,1
5.903,20.915,11,28,30.704,27.924,19.557,30,0.997,1
5.802,24.619,11,36,41.577,38.451,25.347,38,1.068,3
4.134,33.784,19,47,52.462,48.174,31.757,50,1.025,7
5.649,16.79,15,27,30.614,26.614,15.424,27,0.986,4
4.134,22.83,9,29,32.28,30.124,21.641,30,1.039,1
4.134,35.546,22,52,58.116,52.753,34.072,54,1.014,5
5.806,29.199,15,42,47.196,42.909,28.885,45,1.022,1
4.134,13.688,7,20,22.791,20.694,13.721,21,1.035,0
4.134,32.909,18,46,51.238,46.323,31.39,48,1.007,3
6.079,19.654,9,27,30.451,27.68,19.063,29,1.025,1
5.33,26.284,14,37,41.909,37.953,25.039,39,1.026,4
6.036,30.585,21,47,53.571,47.963,29.368,48,1.02,6
4.256,27.966,10,36,39.707,37.193,27.185,39,1.033,0
4.806,15.046,6,19,21.189,19.473,14.132,20,1.025,0
4.134,35.307,20,51,57.748,52.116,34.21,54,1.022,5
5.979,25.745,15,38,42.986,38.582,25.171,40,1.015,1
5.384,22.267,9,32,36.044,33.887,23.107,34,1.059,0
4.134,30.875,20,45,50.282,45.214,29.116,48,1.005,10
5.594,20.33,11,29,32.914,29.825,19.648,30,1.028,2
4.134,15.966,10,24,27.076,24.393,15.58,25,1.016,1
5.77,18.625,10,27,30.891,27.811,18.23,28,1.03,1
4.134,25.597,15,37,41.534,37.665,24.557,39,1.018,4
5.903,21.148,14,32,35.744,32.494,20.547,34,1.015,5
5.793,24.955,10,32,35.79,32.935,23.458,34,1.029,1
5.833,23.847,13,35,39.037,36.04,23.756,36,1.03,0
5.682,23.085,13,34,38.701,35.102,22.546,35,1.032,2
4.134,32.756,17,44,48.288,44.305,30.754,46,1.007,2
4.134,39.557,24,58,65.112,58.956,38.115,61,1.016,6
4.134,17.273,12,26,29.282,25.949,16.392,27,0.998,2
4.414,41.517,25,60,66.657,60.745,39.819,64,1.012,8
5.68,22.114,10,31,35.159,32.109,21.799,33,1.036,1
6.997,23.222,9,32,35.708,33.669,23.406,34,1.052,1
