pXC50,nDB,Mv,H.,AMW,SCBO,nBM,Me,nCsp3,RBF,RBN,Mp,C.,Mi,MW,N.,nAB,nAT,nB,nBO,nBR,nBT,nC,nCL,nCsp
5.341,1,0.7,34.8,8.618,48.5,24,1.015,2,0.082,4,0.712,47.8,1.119,396.44,13.0,21,46,0,33,0,49,22,0,2
5.983,1,0.713,33.3,8.724,46.5,24,1.011,1,0.044,2,0.727,50.0,1.116,366.41,14.3,21,42,0,31,0,45,21,0,2
4.699,1,0.678,37.7,8.311,51.5,24,1.015,4,0.125,7,0.693,45.3,1.123,440.5,11.3,21,53,0,36,0,56,24,0,2
4.699,2,0.688,36.8,8.378,38.0,19,1.013,1,0.125,5,0.704,47.4,1.118,318.36,10.5,16,38,0,26,0,40,18,0,1
5.285,1,0.713,32.6,8.893,47.5,24,1.019,1,0.087,4,0.721,48.8,1.118,382.41,14.0,21,43,0,32,0,46,21,0,2
5.162,1,0.688,36.7,8.377,49.5,24,1.012,3,0.077,4,0.704,46.9,1.12,410.47,12.2,21,49,0,34,0,52,23,0,2
5.128,1,0.688,36.7,8.377,49.5,24,1.012,3,0.096,5,0.704,46.9,1.12,410.47,12.2,21,49,0,34,0,52,23,0,2
4.857,1,0.678,38.5,8.163,50.5,24,1.009,4,0.109,6,0.698,46.2,1.121,424.5,11.5,21,52,0,35,0,55,24,0,2
4.879,1,0.678,38.5,8.163,50.5,24,1.009,4,0.091,5,0.698,46.2,1.121,424.5,11.5,21,52,0,35,0,55,24,0,2
5.542,0,0.702,34.9,8.591,45.5,23,1.014,2,0.087,4,0.715,48.8,1.116,369.41,11.6,21,43,0,31,0,46,21,0,2
4.699,1,0.688,37.5,8.218,48.5,24,1.005,3,0.078,4,0.71,47.9,1.119,394.47,12.5,21,48,0,33,0,51,23,0,2
4.699,1,0.677,39.2,8.01,49.5,24,1.002,4,0.074,4,0.702,47.1,1.12,408.5,11.8,21,51,0,34,0,54,24,0,2
5.084,1,0.689,36.0,8.529,50.5,24,1.018,3,0.113,6,0.699,46.0,1.122,426.47,12.0,21,50,0,35,0,53,23,0,2
4.699,1,0.678,37.7,8.311,51.5,24,1.015,4,0.107,6,0.693,45.3,1.123,440.5,11.3,21,53,0,36,0,56,24,0,2
4.699,1,0.679,37.0,8.454,52.5,24,1.02,4,0.123,7,0.689,44.4,1.125,456.5,11.1,21,54,0,37,0,57,24,0,2
5.0,1,0.694,36.2,8.406,59.5,30,1.01,3,0.113,7,0.712,48.3,1.117,487.56,12.1,27,58,0,41,0,62,28,0,2
5.523,1,0.729,30.8,9.035,45.5,24,1.015,0,0.048,2,0.738,51.3,1.114,352.38,15.4,21,39,0,30,0,42,20,0,2
4.699,1,0.699,35.6,8.454,47.5,24,1.008,2,0.042,2,0.718,48.9,1.117,380.44,13.3,21,45,0,32,0,48,22,0,2
5.5,1,0.699,35.6,8.454,47.5,24,1.008,2,0.063,3,0.718,48.9,1.117,380.44,13.3,21,45,0,32,0,48,22,0,2
5.511,1,0.7,34.8,8.618,48.5,24,1.015,2,0.082,4,0.712,47.8,1.119,396.44,13.0,21,46,0,33,0,49,22,0,2
5.379,1,0.688,36.7,8.377,49.5,24,1.012,3,0.096,5,0.704,46.9,1.12,410.47,12.2,21,49,0,34,0,52,23,0,2
5.256,1,0.688,36.7,8.377,49.5,24,1.012,3,0.077,4,0.704,46.9,1.12,410.47,12.2,21,49,0,34,0,52,23,0,2
5.489,1,0.689,36.0,8.529,50.5,24,1.018,3,0.094,5,0.699,46.0,1.122,426.47,12.0,21,50,0,35,0,53,23,0,2
4.699,1,0.671,39.6,7.991,50.5,24,1.004,4,0.089,5,0.695,45.3,1.125,423.52,13.2,21,53,0,35,0,56,24,0,2
4.699,1,0.66,41.7,7.726,54.5,24,1.0,7,0.078,5,0.689,45.0,1.124,463.59,11.7,21,60,0,39,0,64,27,0,2
5.0,1,0.669,39.7,8.027,54.5,24,1.008,6,0.081,5,0.69,44.8,1.125,465.56,12.1,21,58,0,39,0,62,26,0,2
4.979,1,0.704,35.2,8.473,57.5,30,1.006,2,0.086,5,0.723,50.0,1.115,457.53,13.0,27,54,0,39,0,58,27,0,2
5.163,1,0.7,34.8,8.618,48.5,24,1.015,2,0.082,4,0.712,47.8,1.119,396.44,13.0,21,46,0,33,0,49,22,0,2
5.246,1,0.732,30.2,9.694,48.5,24,1.026,1,0.087,4,0.741,48.8,1.117,416.85,14.0,21,43,0,33,0,46,21,1,2
5.126,1,0.7,34.0,8.775,49.5,24,1.022,2,0.1,5,0.706,46.8,1.121,412.44,12.8,21,47,0,34,0,50,22,0,2
5.283,1,0.688,36.7,8.377,49.5,24,1.012,3,0.077,4,0.704,46.9,1.12,410.47,12.2,21,49,0,34,0,52,23,0,2
5.452,1,0.688,36.7,8.377,49.5,24,1.012,3,0.077,4,0.704,46.9,1.12,410.47,12.2,21,49,0,34,0,52,23,0,2
4.699,2,0.675,39.0,8.107,39.0,19,1.009,2,0.116,5,0.695,46.3,1.12,332.39,9.8,16,41,0,27,0,43,19,0,1
5.173,2,0.71,34.2,9.284,39.0,19,1.021,1,0.125,5,0.726,47.4,1.117,352.8,10.5,16,38,0,27,0,40,18,1,1
4.699,2,0.676,38.1,8.295,40.0,19,1.016,2,0.136,6,0.689,45.2,1.122,348.39,9.5,16,42,0,28,0,44,19,0,1
4.699,2,0.664,40.9,7.873,40.0,19,1.006,3,0.109,5,0.688,45.5,1.121,346.42,9.1,16,44,0,28,0,46,20,0,1
5.289,2,0.664,40.9,7.873,40.0,19,1.006,3,0.109,5,0.688,45.5,1.121,346.42,9.1,16,44,0,28,0,46,20,0,1
5.208,4,0.733,30.3,9.889,35.5,15,1.034,1,0.056,2,0.743,48.5,1.103,326.35,6.1,11,33,0,26,0,36,16,0,0
6.108,4,0.748,30.3,10.376,35.5,15,1.026,1,0.056,2,0.779,48.5,1.095,342.42,6.1,11,33,0,26,0,36,16,0,0
5.979,4,0.748,30.3,10.376,35.5,15,1.026,1,0.056,2,0.779,48.5,1.095,342.42,6.1,11,33,0,26,0,36,16,0,0
4.699,4,0.722,33.3,9.344,37.0,16,1.019,1,0.051,2,0.745,50.0,1.101,336.39,5.6,12,36,0,27,0,39,18,0,0
5.676,4,0.722,33.3,9.344,37.0,16,1.019,1,0.051,2,0.745,50.0,1.101,336.39,5.6,12,36,0,27,0,39,18,0,0
5.745,4,0.722,33.3,9.344,37.0,16,1.019,1,0.051,2,0.745,50.0,1.101,336.39,5.6,12,36,0,27,0,39,18,0,0
5.699,4,0.729,31.4,9.639,37.0,16,1.026,1,0.053,2,0.745,48.6,1.106,337.38,8.6,12,35,0,27,0,38,17,0,0
6.432,4,0.729,31.4,9.639,37.0,16,1.026,1,0.053,2,0.745,48.6,1.106,337.38,8.6,12,35,0,27,0,38,17,0,0
5.611,4,0.721,32.4,9.57,35.5,15,1.026,1,0.054,2,0.737,47.1,1.109,325.37,8.8,11,34,0,26,0,37,16,0,0
5.138,4,0.74,28.1,10.229,35.5,15,1.042,1,0.057,2,0.743,46.9,1.109,327.34,9.4,11,32,0,26,0,35,15,0,0
5.764,4,0.755,28.1,10.732,35.5,15,1.034,1,0.057,2,0.78,46.9,1.1,343.41,9.4,11,32,0,26,0,35,15,0,0
5.851,4,0.755,28.1,10.732,35.5,15,1.034,1,0.057,2,0.78,46.9,1.1,343.41,9.4,11,32,0,26,0,35,15,0,0
6.469,4,0.755,28.1,10.732,35.5,15,1.034,1,0.057,2,0.78,46.9,1.1,343.41,9.4,11,32,0,26,0,35,15,0,0
5.886,4,0.74,28.1,10.229,35.5,15,1.042,1,0.057,2,0.743,46.9,1.109,327.34,9.4,11,32,0,26,0,35,15,0,0
5.595,4,0.755,28.1,10.732,35.5,15,1.034,1,0.057,2,0.78,46.9,1.1,343.41,9.4,11,32,0,26,0,35,15,0,0
