pXC50,nAB,Sp,Me,Sv,nCsp2,nBM,nHet,Si,nAT,nH,Se,RBN,nC,C.,Mi,RBF,X.,nX,O.,nF,nBT,SCBO,AMW,N.,nCsp3,H.
5.682,18,37.949,0.986,35.083,20,19,3,58.532,53,24,52.261,1,26,49.1,1.104,0.018,1.9,1,1.9,0,57,43.0,8.423,1.9,6,45.3
5.731,18,34.836,0.983,32.531,20,19,2,55.275,50,23,49.149,1,25,50.0,1.105,0.019,0.0,0,2.0,0,54,41.0,7.07,2.0,5,46.0
5.77,18,36.597,0.982,34.058,20,19,2,58.69,53,25,52.032,1,26,49.1,1.107,0.018,0.0,0,1.9,0,57,42.0,6.934,1.9,6,47.2
5.776,18,36.551,0.996,34.186,20,19,4,55.163,50,21,49.796,1,25,50.0,1.103,0.019,4.0,2,2.0,0,54,43.0,8.447,2.0,5,42.0
5.788,18,37.455,0.988,34.885,20,19,3,58.634,53,24,52.356,1,26,49.1,1.106,0.018,1.9,1,1.9,0,57,43.0,7.584,1.9,6,45.3
5.747,18,35.631,1.0,33.742,20,19,4,55.559,50,21,49.985,1,25,50.0,1.111,0.019,4.0,2,2.0,1,54,43.0,8.118,2.0,5,42.0
7.444,0,33.33,0.979,30.332,4,3,2,59.647,53,30,51.909,1,21,39.6,1.125,0.018,0.0,0,3.8,0,56,29.0,5.934,0.0,17,56.6
5.858,18,36.535,0.991,34.441,20,19,3,59.03,53,24,52.545,1,26,49.1,1.114,0.018,1.9,1,1.9,1,57,43.0,7.274,1.9,6,45.3
5.0,18,36.188,0.988,33.556,20,19,3,55.117,50,22,49.378,1,25,50.0,1.102,0.019,2.0,1,2.0,0,54,42.0,8.648,2.0,5,44.0
6.377,6,29.046,0.984,26.751,6,7,2,50.401,45,24,44.258,1,19,42.2,1.12,0.021,0.0,0,4.4,0,47,28.0,6.321,0.0,11,53.3
5.0,10,36.336,0.983,33.353,8,10,3,64.145,57,31,56.01,0,23,40.4,1.125,0.0,0.0,0,3.5,0,61,35.0,6.203,1.8,15,54.4
4.0,12,33.421,1.047,33.45,15,16,11,55.012,48,16,50.258,3,21,43.8,1.146,0.06,8.3,4,4.2,4,50,45.0,9.677,8.3,5,33.3
4.523,16,29.455,1.024,28.505,15,17,7,44.838,40,14,40.978,0,19,47.5,1.121,0.0,7.5,3,2.5,1,44,39.0,9.756,7.5,4,35.0
5.6,27,37.063,1.045,36.616,23,29,11,56.434,50,15,52.232,5,24,48.0,1.129,0.093,8.0,4,4.0,4,54,54.5,10.351,6.0,1,30.0
5.0,22,35.938,1.037,35.482,19,24,10,59.345,52,19,53.923,5,23,44.2,1.141,0.091,7.7,4,3.8,4,55,49.0,9.183,5.8,4,36.5
5.0,28,38.176,1.038,37.955,25,30,10,59.929,53,17,55.04,5,26,49.1,1.131,0.088,7.5,4,3.8,4,57,56.0,9.652,5.7,1,32.1
5.0,22,25.517,1.001,24.587,19,22,3,38.828,35,13,35.018,2,19,54.3,1.109,0.053,2.9,1,0.0,1,38,36.0,8.238,5.7,0,37.1
5.0,28,39.938,1.034,39.482,25,30,10,63.345,56,19,57.923,5,27,48.2,1.131,0.083,7.1,4,3.6,4,60,57.0,9.385,5.4,2,33.9
5.0,22,35.938,1.037,35.482,19,24,10,59.345,52,19,53.923,5,23,44.2,1.141,0.091,7.7,4,3.8,4,55,49.0,9.183,5.8,4,36.5
5.0,11,30.779,0.998,29.235,11,13,5,51.651,46,21,45.912,6,20,43.5,1.123,0.122,0.0,0,4.3,0,49,36.5,7.292,6.5,8,45.7
5.2,28,38.176,1.038,37.955,25,30,10,59.929,53,17,55.04,5,26,49.1,1.131,0.088,7.5,4,3.8,4,57,56.0,9.652,5.7,1,32.1
5.0,28,45.222,1.024,44.062,25,30,10,73.59,65,25,66.574,6,30,46.2,1.132,0.087,6.2,4,3.1,4,69,60.0,8.733,4.6,5,38.5
5.0,22,25.972,1.01,25.302,19,22,4,40.037,36,13,36.345,2,19,52.8,1.112,0.051,2.8,1,2.8,1,39,37.0,8.454,5.6,0,36.1
5.5,28,40.392,1.039,40.197,25,30,11,64.554,57,19,59.251,6,27,47.4,1.133,0.098,7.0,4,5.3,4,61,58.0,9.501,5.3,2,33.3
5.4,28,39.75,1.062,40.632,25,30,13,64.364,56,16,59.461,5,27,48.2,1.149,0.083,12.5,7,3.6,7,60,60.0,10.349,5.4,2,28.6
5.0,22,29.495,1.003,28.355,19,22,4,46.867,42,17,42.112,4,21,50.0,1.116,0.089,2.4,1,2.4,1,45,39.0,7.914,4.8,2,40.5
5.0,22,25.972,1.01,25.302,19,22,4,40.037,36,13,36.345,2,19,52.8,1.112,0.051,2.8,1,2.8,1,39,37.0,8.454,5.6,0,36.1
5.3,22,32.415,1.047,32.429,19,24,10,52.514,46,15,48.156,4,21,45.7,1.142,0.082,8.7,4,4.3,4,49,47.0,9.771,6.5,2,32.6
5.0,22,27.091,1.038,27.264,19,22,6,43.262,38,12,39.44,2,20,52.6,1.138,0.049,10.5,4,0.0,4,41,40.0,9.377,5.3,1,31.6
5.0,22,27.091,1.038,27.264,19,22,6,43.262,38,12,39.44,2,20,52.6,1.138,0.049,10.5,4,0.0,4,41,40.0,9.377,5.3,1,31.6
5.5,22,35.938,1.037,35.482,19,24,10,59.345,52,19,53.923,6,23,44.2,1.141,0.109,7.7,4,3.8,4,55,49.0,9.183,5.8,4,36.5
5.0,28,54.029,1.012,51.696,25,30,10,90.666,80,35,80.992,8,35,43.8,1.133,0.095,5.0,4,2.5,4,84,65.0,7.972,3.8,10,43.8
5.301,11,26.773,0.995,25.214,10,12,4,46.152,41,20,40.811,6,17,41.5,1.126,0.143,0.0,0,4.9,0,42,29.5,6.936,4.9,6,48.8
6.5,12,34.756,1.023,33.604,13,14,8,57.922,51,21,52.192,5,22,43.1,1.136,0.094,5.9,3,3.9,3,53,41.0,8.52,3.9,8,41.2
5.0,22,27.279,0.997,26.114,19,22,3,42.243,38,15,37.902,2,20,52.6,1.112,0.049,2.6,1,0.0,1,41,37.0,7.957,5.3,1,39.5
5.0,22,29.495,1.003,28.355,19,22,4,46.867,42,17,42.112,4,21,50.0,1.116,0.089,2.4,1,2.4,1,45,39.0,7.914,4.8,2,40.5
5.2,22,35.938,1.037,35.482,19,24,10,59.345,52,19,53.923,6,23,44.2,1.141,0.109,7.7,4,3.8,4,55,49.0,9.183,5.8,4,36.5
5.2,22,37.699,1.033,37.009,19,24,10,62.76,55,21,56.807,6,24,43.6,1.141,0.103,7.3,4,3.6,4,58,50.0,8.937,5.5,5,38.2
7.21,12,31.347,1.026,30.89,13,14,7,53.587,47,19,48.232,4,21,44.7,1.14,0.082,6.4,3,4.3,3,49,39.0,8.264,4.3,7,40.4
6.312,12,18.955,1.089,20.287,12,13,7,31.482,27,6,29.411,2,14,51.9,1.166,0.071,18.5,5,3.7,5,28,30.0,11.082,3.7,1,22.2
5.0,22,27.279,0.997,26.114,19,22,3,42.243,38,15,37.902,2,20,52.6,1.112,0.049,2.6,1,0.0,1,41,37.0,7.957,5.3,1,39.5
5.3,22,34.176,1.042,33.955,19,24,10,55.929,49,17,51.04,5,22,44.9,1.141,0.096,8.2,4,4.1,4,52,48.0,9.459,6.1,3,34.7
6.759,12,31.284,1.037,31.274,13,14,8,53.926,47,18,48.745,4,21,44.7,1.147,0.082,8.5,4,4.3,4,49,40.0,8.647,4.3,7,38.3
5.5,22,34.176,1.042,33.955,19,24,10,55.929,49,17,51.04,5,22,44.9,1.141,0.096,8.2,4,4.1,4,52,48.0,9.459,6.1,3,34.7
6.699,12,29.262,1.035,28.804,14,15,8,46.55,41,14,42.432,2,19,46.3,1.135,0.047,7.3,3,2.4,3,43,39.0,9.498,7.3,4,34.1
5.0,28,40.205,1.066,41.347,25,30,14,65.573,57,16,60.789,6,27,47.4,1.15,0.098,12.3,7,5.3,7,61,61.0,10.448,5.3,2,28.1
5.0,22,27.091,1.038,27.264,19,22,6,43.262,38,12,39.44,2,20,52.6,1.138,0.049,10.5,4,0.0,4,41,40.0,9.377,5.3,1,31.6
5.0,22,34.631,1.047,34.67,19,24,11,57.139,50,17,52.367,6,22,44.0,1.143,0.113,8.0,4,6.0,4,53,49.0,9.59,6.0,3,34.0
5.0,28,41.699,1.031,41.009,25,30,10,66.76,59,21,60.807,6,28,47.5,1.132,0.095,6.8,4,3.4,4,63,58.0,9.146,5.1,3,35.6
5.0,28,43.461,1.027,42.536,25,30,10,70.175,62,23,63.69,7,29,46.8,1.132,0.106,6.5,4,3.2,4,66,59.0,8.929,4.8,4,37.1
5.0,28,43.461,1.027,42.536,25,30,10,70.175,62,23,63.69,6,29,46.8,1.132,0.091,6.5,4,3.2,4,66,59.0,8.929,4.8,4,37.1
5.0,28,45.222,1.024,44.062,25,30,10,73.59,65,25,66.574,8,30,46.2,1.132,0.116,6.2,4,3.1,4,69,60.0,8.733,4.6,5,38.5
5.0,22,26.762,1.007,26.082,19,23,4,39.911,36,12,36.236,2,20,55.6,1.109,0.051,2.8,1,0.0,1,39,40.0,8.704,8.3,0,33.3
5.0,22,26.762,1.007,26.082,19,23,4,39.911,36,12,36.236,2,20,55.6,1.109,0.051,2.8,1,0.0,1,39,40.0,8.704,8.3,0,33.3
5.0,22,26.762,1.007,26.082,19,23,4,39.911,36,12,36.236,2,20,55.6,1.109,0.051,2.8,1,0.0,1,39,40.0,8.704,8.3,0,33.3
5.0,22,27.279,0.997,26.114,19,22,3,42.243,38,15,37.902,2,20,52.6,1.112,0.049,2.6,1,0.0,1,41,37.0,7.957,5.3,1,39.5
5.0,28,39.938,1.034,39.482,25,30,10,63.345,56,19,57.923,6,27,48.2,1.131,0.1,7.1,4,3.6,4,60,57.0,9.385,5.4,2,33.9
5.0,10,35.574,0.984,32.826,9,11,3,61.73,55,29,54.127,0,23,41.8,1.122,0.0,0.0,0,3.6,0,59,36.0,6.391,1.8,14,52.7
5.301,6,32.347,1.042,31.495,8,11,12,55.217,48,19,50.032,5,17,35.4,1.15,0.102,6.3,3,6.3,3,49,39.0,9.345,8.3,8,39.6
6.137,11,33.54,0.996,31.762,14,15,5,56.066,50,23,49.796,5,22,44.0,1.121,0.096,0.0,0,4.0,0,52,39.5,7.23,6.0,7,46.0
5.0,0,38.148,1.004,36.191,5,4,6,67.484,60,30,60.218,2,24,40.0,1.125,0.031,0.0,0,10.0,0,65,39.0,6.909,0.0,19,50.0
6.398,6,30.489,1.04,30.088,9,10,11,53.171,46,18,47.847,5,17,37.0,1.156,0.106,6.5,3,4.3,3,47,37.0,8.988,10.9,7,39.1
6.054,6,31.591,1.048,30.99,8,11,13,54.3,47,18,49.251,6,16,34.0,1.155,0.125,6.4,3,6.4,3,48,39.0,9.564,10.6,7,38.3
6.0,6,30.034,1.054,29.662,8,11,12,50.513,44,16,46.374,5,16,36.4,1.148,0.111,6.8,3,9.1,3,45,38.0,9.898,6.8,7,36.4
6.597,6,30.585,1.048,29.969,8,11,12,51.802,45,17,47.149,5,16,35.6,1.151,0.109,6.7,3,6.7,3,46,38.0,9.656,8.9,7,37.8
6.746,6,32.347,1.042,31.495,8,11,12,55.217,48,19,50.032,6,17,35.4,1.15,0.122,6.3,3,6.3,3,49,39.0,9.345,8.3,8,39.6
5.432,6,34.108,1.038,33.022,8,11,12,58.633,51,21,52.916,6,18,35.3,1.15,0.115,5.9,3,5.9,3,52,40.0,9.07,7.8,9,41.2
6.609,6,30.33,1.012,28.951,11,10,6,50.851,45,20,45.531,3,19,42.2,1.13,0.065,4.4,2,4.4,1,46,34.0,8.064,4.4,7,44.4
