pXC50,C.,nBO
4.076,35.7,39
4.413,35.4,25
4.24,35.4,25
4.347,34.0,24
4.301,35.4,25
4.102,35.4,25
4.893,33.3,24
5.347,33.3,24
4.678,33.3,25
4.197,33.9,32
4.248,34.0,24
4.191,34.0,23
6.921,33.3,35
4.824,33.9,33
7.647,33.3,36
6.432,37.1,42
6.523,33.8,36
5.991,36.8,44
4.0,35.1,37
4.0,38.3,38
6.481,33.9,34
6.699,33.3,36
6.398,36.2,41
4.0,34.0,31
7.262,33.3,36
7.009,28.6,33
7.854,28.6,34
5.26,28.6,34
4.893,27.6,34
4.654,28.8,35
7.409,31.0,35
5.959,31.4,39
9.097,32.9,36
7.0,30.6,34
5.523,30.6,33
6.523,30.7,34
4.699,30.3,31
6.523,34.2,38
