pXC50,O.,RBF,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM
5.987,4.3,0.041,6.456,36.2,53.2,0.993,1.138,0.623,0.581,303.45,6.4,6,47,0,7
8.046,4.9,0.029,7.649,45.9,42.6,1.002,1.118,0.685,0.656,466.58,6.6,24,61,0,25
5.533,8.3,0.305,5.742,31.7,60.0,0.992,1.142,0.583,0.534,344.55,0.0,0,60,0,2
7.438,3.2,0.06,7.3,45.2,45.2,0.995,1.119,0.679,0.643,452.6,6.5,20,62,0,23
6.26,5.3,0.048,8.615,52.6,34.2,1.01,1.105,0.73,0.714,327.36,7.9,20,38,0,23
7.277,10.5,0.114,6.641,36.8,52.6,1.004,1.131,0.617,0.582,504.68,0.0,0,76,0,5
4.539,7.7,0.047,8.804,51.3,33.3,1.018,1.108,0.723,0.714,343.36,7.7,20,39,0,23
4.0,4.9,0.044,8.327,51.2,36.6,1.006,1.107,0.719,0.699,341.39,7.3,20,41,0,23
5.097,7.3,0.068,8.107,48.8,39.0,1.009,1.111,0.7,0.68,332.38,4.9,16,41,0,19
6.319,4.0,0.074,7.67,48.0,42.0,0.998,1.113,0.696,0.665,383.48,6.0,20,50,0,23
4.0,8.1,0.049,8.874,54.1,32.4,1.016,1.1,0.735,0.725,328.34,5.4,20,37,0,23
5.398,5.0,0.047,9.259,50.0,32.5,1.04,1.134,0.702,0.708,370.35,5.0,16,40,0,19
4.0,5.0,0.045,8.234,50.0,37.5,1.007,1.11,0.712,0.691,329.38,7.5,20,40,0,22
5.62,5.9,0.055,8.088,47.1,39.2,1.009,1.117,0.696,0.675,412.48,7.8,20,51,0,24
4.796,6.3,0.058,8.301,47.9,37.5,1.012,1.115,0.702,0.686,398.45,8.3,20,48,0,24
4.987,2.6,0.047,8.035,51.3,38.5,0.998,1.108,0.719,0.691,313.38,7.7,20,39,0,22
5.658,5.0,0.047,7.909,50.0,40.0,1.001,1.108,0.706,0.679,316.38,5.0,16,40,0,19
6.036,6.7,0.041,8.254,48.9,37.8,1.011,1.112,0.705,0.687,371.42,6.7,20,45,0,23
4.301,8.5,0.059,8.499,48.9,36.2,1.017,1.111,0.706,0.694,399.43,6.4,20,47,0,24
5.602,8.7,0.06,8.705,47.8,34.8,1.022,1.116,0.705,0.698,400.42,8.7,20,46,0,25
5.796,4.5,0.042,8.86,50.0,36.4,1.011,1.108,0.73,0.705,389.86,6.8,20,44,0,23
4.824,5.9,0.055,8.088,47.1,39.2,1.009,1.117,0.696,0.675,412.48,7.8,20,51,0,24
5.523,4.9,0.044,8.327,51.2,36.6,1.006,1.107,0.719,0.699,341.39,7.3,20,41,0,23
4.0,9.3,0.065,8.848,46.5,37.2,1.018,1.108,0.716,0.692,380.45,4.7,16,43,0,21
6.0,6.1,0.057,8.521,46.9,38.8,1.009,1.109,0.717,0.686,417.52,6.1,20,49,0,24
6.022,5.0,0.047,9.259,50.0,32.5,1.04,1.134,0.702,0.708,370.35,5.0,16,40,0,19
6.0,6.3,0.058,8.03,47.9,39.6,1.007,1.113,0.697,0.675,385.45,6.3,20,48,0,23
5.119,5.4,0.05,10.033,51.4,32.4,1.022,1.103,0.762,0.738,371.23,5.4,16,37,0,19
6.553,4.3,0.039,7.861,48.9,40.4,1.001,1.111,0.702,0.675,369.45,6.4,20,47,0,23
6.31,4.3,0.04,8.053,47.8,39.1,1.005,1.116,0.701,0.678,370.44,8.7,20,46,0,23
5.585,7.5,0.045,8.559,52.5,35.0,1.012,1.103,0.724,0.709,342.37,5.0,20,40,0,23
5.523,6.1,0.057,8.521,46.9,38.8,1.009,1.109,0.717,0.686,417.52,6.1,20,49,0,24
5.699,5.4,0.05,9.102,51.4,35.1,1.013,1.104,0.739,0.715,336.79,5.4,16,37,0,19
5.699,8.7,0.06,8.705,47.8,34.8,1.022,1.116,0.705,0.698,400.42,8.7,20,46,0,25
6.092,4.7,0.043,8.196,53.5,37.2,1.001,1.101,0.727,0.701,352.41,4.7,21,43,0,24
6.523,4.5,0.042,8.078,50.0,38.6,1.003,1.11,0.71,0.686,355.42,6.8,20,44,0,23
4.292,5.0,0.045,8.234,50.0,37.5,1.007,1.11,0.712,0.691,329.38,7.5,20,40,0,22
4.301,4.9,0.068,8.499,48.8,39.0,1.003,1.103,0.729,0.691,348.45,4.9,16,41,0,19
5.62,5.4,0.05,10.033,51.4,32.4,1.022,1.103,0.762,0.738,371.23,5.4,16,37,0,19
6.357,4.2,0.058,8.365,47.9,39.6,1.002,1.107,0.722,0.685,401.52,6.3,20,48,0,23
6.328,8.9,0.032,8.348,48.2,37.5,1.016,1.112,0.699,0.685,467.51,5.4,24,56,0,26
8.699,2.7,0.052,6.104,37.8,55.4,0.983,1.132,0.627,0.574,451.72,4.1,10,74,0,12
4.0,5.0,0.045,8.234,50.0,37.5,1.007,1.11,0.712,0.691,329.38,7.5,20,40,0,22
5.658,5.4,0.05,10.304,51.4,35.1,1.011,1.101,0.752,0.72,381.24,5.4,16,37,0,19
6.046,5.4,0.05,9.102,51.4,35.1,1.013,1.104,0.739,0.715,336.79,5.4,16,37,0,19
5.921,4.7,0.043,7.684,48.8,41.9,0.998,1.11,0.698,0.667,330.41,4.7,16,43,0,19
6.77,4.3,0.039,7.861,48.9,40.4,1.001,1.111,0.702,0.675,369.45,6.4,20,47,0,23
