pXC50,nS,nH,nHM,nCsp2,nBM,MW,Se,Sp,Si,nDB,nAT
7.886,0,24,0,23,27,416.56,55.243,39.637,62.145,0,56.0
7.959,0,28,0,17,21,384.57,56.01,38.16,63.976,0,57.0
6.495,0,21,0,22,27,391.51,50.578,36.12,56.813,0,51.0
8.268,0,30,0,17,21,410.61,59.894,40.921,68.391,0,61.0
5.26,0,38,0,23,27,502.76,74.428,50.967,85.052,0,76.0
7.959,0,26,0,17,21,370.54,53.127,36.398,60.56,0,54.0
8.65,0,44,0,15,17,620.82,89.37,56.432,100.763,5,89.0
8.91,0,44,0,15,17,620.82,89.37,56.432,100.763,5,89.0
8.47,0,40,0,14,17,550.76,79.876,51.273,90.98,1,80.0
8.11,1,37,1,13,17,553.79,75.959,49.949,86.359,1,76.0
7.88,0,40,0,12,13,526.74,77.876,49.273,88.98,1,78.0
5.27,0,40,0,12,13,526.74,77.876,49.273,88.98,1,78.0
6.97,0,41,0,14,17,549.78,80.65,51.825,92.269,1,81.0
6.79,0,40,0,13,15,548.75,79.949,51.0,90.514,3,80.0
5.91,0,40,0,13,15,548.75,79.949,51.0,90.514,3,80.0
6.81,0,40,0,13,15,548.75,79.949,51.0,90.514,3,80.0
7.96,0,40,0,13,15,548.75,79.949,51.0,90.514,3,80.0
5.95,0,40,0,13,15,548.75,79.949,51.0,90.514,3,80.0
8.541,0,44,0,15,17,620.82,89.37,56.432,100.763,5,89.0
6.97,0,44,0,15,17,620.82,89.37,56.432,100.763,5,89.0
8.87,0,44,0,15,17,620.82,89.37,56.432,100.763,5,89.0
6.13,0,39,0,12,13,572.74,80.716,50.665,91.529,1,80.0
5.87,0,41,0,15,18,555.79,81.396,53.097,92.593,1,82.0
7.97,0,39,0,15,18,547.76,78.767,51.063,89.854,1,79.0
7.85,0,42,0,12,13,540.77,80.759,51.035,92.395,1,81.0
7.54,0,43,0,12,13,539.79,81.534,51.586,93.684,1,82.0
