pXC50,nH,nS,nHM,nC,nAT,RBN,SCBO,nSK,nBM,nBO,nCsp2,nAB,nHet,nBT,Si,MW,Se,nCsp3,nN
5.0,30,0,0,27,61.0,3,46.5,31,21,36,17,21,4,66.0,68.391,410.61,59.894,10,4
8.222,25,1,4,22,57.0,11,43.5,32,18,34,15,17,10,59.0,64.207,556.4,57.283,7,6
6.38,40,0,0,32,80.0,6,54.0,40,17,45,14,16,8,85.0,90.98,550.76,79.876,18,4
5.99,37,1,1,30,76.0,6,53.0,39,17,44,13,16,9,81.0,86.359,553.79,75.959,17,5
6.83,40,0,0,30,78.0,7,49.0,38,13,42,12,12,8,82.0,88.98,526.74,77.876,18,4
5.21,40,0,0,30,78.0,7,49.0,38,13,42,12,12,8,82.0,88.98,526.74,77.876,18,4
5.0,26,0,0,21,54.0,7,39.0,28,16,31,12,16,7,57.0,61.189,382.51,54.109,9,4
5.0,26,0,0,21,54.0,7,39.0,28,16,31,12,16,7,57.0,61.189,382.51,54.109,9,4
5.0,26,0,0,21,54.0,7,39.0,28,16,31,12,16,7,57.0,61.189,382.51,54.109,9,4
5.0,28,0,0,22,56.0,7,39.0,28,16,31,13,16,6,59.0,63.394,380.54,55.665,9,4
5.0,25,0,0,21,52.0,6,38.0,27,16,30,13,16,6,55.0,58.69,367.49,52.007,8,3
5.0,26,0,0,22,55.0,7,40.0,29,16,32,13,16,7,58.0,62.445,399.51,55.403,9,3
5.0,24,0,0,22,54.0,6,41.0,30,16,33,13,16,8,57.0,61.915,419.49,55.101,9,3
5.0,32,1,1,28,70.0,10,55.0,38,24,42,19,22,10,74.0,78.773,536.71,70.491,9,4
5.0,29,0,0,24,59.0,8,42.0,30,16,34,13,16,6,63.0,66.521,407.56,58.774,11,3
5.0,31,0,0,24,61.0,8,41.0,30,16,33,13,16,6,64.0,68.936,409.58,60.658,11,3
5.0,26,0,0,23,59.0,8,44.0,33,16,36,13,16,10,62.0,67.749,465.52,60.64,10,3
5.0,27,1,2,22,60.0,8,46.0,33,18,36,13,16,11,63.0,67.887,495.05,61.047,9,4
5.0,30,0,0,24,62.0,8,44.0,32,17,35,14,16,8,65.0,70.228,438.58,62.203,10,4
5.0,26,0,0,21,54.0,7,39.0,28,16,31,12,16,7,57.0,61.189,382.51,54.109,9,4
5.0,30,0,0,23,60.0,8,41.0,30,16,33,13,16,7,63.0,68.019,410.57,59.876,10,4
5.0,33,0,0,26,67.0,11,46.0,34,17,37,14,16,8,70.0,75.77,467.62,67.196,12,3
5.0,28,0,0,23,58.0,8,41.0,30,16,33,13,16,7,61.0,65.86,413.54,58.287,10,3
5.0,32,1,1,24,66.0,9,47.0,34,18,37,13,16,10,69.0,74.773,488.67,66.491,11,4
5.0,33,0,0,26,66.0,8,45.0,33,16,37,13,16,7,70.0,74.561,451.62,65.869,13,3
5.0,28,0,0,23,59.0,9,42.0,31,16,34,13,16,8,62.0,67.07,429.54,59.614,10,3
5.0,28,0,0,22,56.0,7,39.0,28,16,31,13,16,6,59.0,63.394,380.54,55.665,9,4
5.0,33,0,0,25,64.0,8,42.0,31,16,34,13,16,6,67.0,72.351,423.61,63.541,12,3
5.0,34,0,0,27,69.0,9,48.0,35,17,39,14,16,8,73.0,78.059,478.65,68.97,13,4
5.0,25,1,1,21,52.0,6,38.0,27,16,30,13,16,6,55.0,58.401,383.56,51.756,8,3
5.0,25,1,1,21,52.0,6,38.0,27,16,30,13,16,6,55.0,58.401,383.56,51.756,8,3
5.0,28,0,0,23,58.0,8,41.0,30,16,33,13,16,7,61.0,65.86,413.54,58.287,10,3
5.0,27,1,1,23,57.0,7,42.0,30,17,33,14,16,7,60.0,64.026,425.6,56.967,9,3
5.0,27,1,1,22,55.0,7,39.0,28,16,31,13,16,6,58.0,61.816,397.59,54.64,9,3
5.0,27,1,1,22,55.0,7,39.0,28,16,31,13,16,6,58.0,61.816,397.59,54.64,9,3
5.0,24,1,2,21,56.0,7,45.0,32,18,35,13,16,11,59.0,63.602,483.01,57.349,8,4
5.0,26,0,1,22,55.0,7,40.0,29,16,32,13,16,7,58.0,62.05,415.96,55.214,9,3
5.0,31,1,1,24,64.0,9,46.0,33,18,36,13,16,9,67.0,72.275,473.65,64.389,11,3
5.0,26,0,0,22,57.0,8,44.0,31,18,34,13,16,9,60.0,64.607,426.52,57.763,9,4
5.0,37,1,1,29,77.0,11,56.5,40,23,44,17,21,11,81.0,87.102,567.78,77.36,12,5
5.0,28,0,0,24,61.0,9,45.0,33,17,36,14,16,9,64.0,69.279,457.55,61.941,10,3
5.0,29,0,0,24,62.0,9,45.0,33,17,36,14,16,9,65.0,70.568,456.57,62.716,10,4
5.0,28,0,1,24,61.0,9,45.0,33,17,36,14,16,9,64.0,68.884,474.0,61.752,10,3
5.0,24,0,1,22,54.0,7,42.0,30,17,33,14,16,8,57.0,60.844,429.94,54.658,8,3
