pXC50,AMW,C.,H.,Me
5.15,8.778,48.8,37.2,1.009
5.0,8.671,50.0,37.5,1.001
5.0,6.944,40.8,48.7,0.995
5.0,12.274,43.6,35.9,1.034
5.3,9.228,38.2,36.4,1.043
5.3,8.163,45.8,40.3,1.002
5.3,8.163,45.8,40.3,1.002
5.0,8.237,40.7,42.4,1.018
5.3,7.853,46.9,40.6,1.002
5.3,8.307,42.6,38.3,1.019
5.0,11.791,51.4,24.3,1.049
5.0,10.094,41.5,34.1,1.046
5.3,8.444,41.3,39.1,1.032
5.0,9.217,46.2,33.3,1.011
5.0,7.907,41.0,41.0,1.009
5.3,8.365,45.8,39.6,1.002
5.0,6.781,37.3,50.6,0.998
5.3,8.957,46.6,34.5,1.034
5.0,7.188,37.0,49.3,0.999
5.0,8.402,47.8,39.1,1.0
5.0,9.685,43.8,33.3,1.048
5.3,7.693,46.3,41.5,0.995
5.3,9.51,42.9,37.1,1.016
5.3,9.156,41.5,31.7,1.033
5.15,8.272,37.3,44.1,1.01
5.3,8.802,48.3,34.5,1.023
5.3,8.098,50.0,38.2,1.001
5.0,10.898,40.5,35.7,1.039
5.3,8.664,41.7,39.6,1.022
6.439,7.649,45.9,42.6,1.002
5.3,9.253,44.4,33.3,1.047
5.3,8.714,48.1,33.3,1.01
5.3,8.86,48.5,36.4,1.001
5.3,8.512,47.2,38.9,0.997
5.3,7.388,42.2,44.4,0.995
5.3,7.694,42.1,42.1,1.001
5.3,7.676,43.1,43.1,1.006
5.0,7.501,39.0,45.8,1.014
5.3,8.606,50.0,38.1,1.002
5.3,8.14,44.3,39.3,1.014
5.0,7.473,41.5,43.9,0.998
5.0,8.074,43.5,42.0,1.008
5.3,8.661,40.4,42.3,1.016
5.3,7.581,46.9,42.9,0.998
5.3,7.581,46.9,42.9,0.998
5.0,7.556,42.4,45.5,0.994
5.0,7.189,43.3,46.3,0.995
5.0,7.741,41.5,43.9,1.017
5.237,8.237,40.9,42.4,1.019
5.0,6.979,39.4,48.5,0.996
5.0,8.286,41.4,41.4,1.016
5.0,7.388,44.4,44.4,0.996
5.3,7.115,39.5,47.4,0.998
5.3,7.685,42.5,42.5,1.003
5.3,9.114,44.7,34.2,1.041
5.3,9.597,37.9,34.5,1.038
5.3,8.148,45.1,41.2,1.0
5.3,8.884,43.8,35.4,1.035
5.3,9.942,48.3,31.0,1.034
5.3,8.377,41.5,41.5,1.013
5.3,7.397,42.9,44.9,1.0
5.3,10.536,47.2,33.3,1.025
5.3,8.276,44.9,40.8,1.003
5.3,8.719,43.8,37.5,1.013
5.3,9.072,49.0,34.7,1.017
5.3,8.509,43.8,37.5,1.024
6.1,10.241,44.1,32.4,1.03
5.6,8.349,43.4,39.6,1.027
5.3,7.24,42.3,46.2,0.998
5.3,7.928,45.9,40.5,1.007
5.3,8.379,42.1,40.4,1.015
5.3,7.324,40.0,45.7,1.001
5.8,7.501,44.1,44.1,1.002
7.5,7.173,39.5,46.5,0.995
5.3,7.396,43.2,45.5,1.002
5.3,8.955,45.7,39.1,1.009
5.3,8.984,44.4,36.1,1.012
5.3,10.009,45.7,28.6,1.063
5.3,9.433,48.7,35.9,1.009
5.5,8.816,46.3,36.6,1.008
5.3,7.9,44.4,42.9,0.999
5.3,6.878,35.5,50.0,1.001
5.4,8.543,43.5,38.7,1.015
5.9,7.168,38.1,47.6,1.002
5.3,7.454,41.7,44.4,1.001
5.3,7.428,40.0,45.5,1.005
5.3,10.358,46.2,26.9,1.031
5.3,6.776,36.4,50.6,0.998
5.3,8.148,45.1,41.2,1.0
5.3,9.06,45.2,38.1,1.004
5.8,7.338,42.5,45.2,0.998
5.4,6.877,42.6,48.5,0.988
5.3,8.657,45.2,38.7,1.001
5.3,8.168,47.7,38.6,1.011
5.3,7.218,45.8,45.8,0.994
5.3,8.823,46.5,34.9,1.027
5.3,8.922,45.7,34.8,1.035
5.3,7.04,41.5,47.7,0.995
5.3,8.282,43.2,38.6,1.017
5.3,8.2,47.6,38.1,1.009
5.3,8.579,39.7,39.7,1.026
5.3,11.445,39.3,28.6,1.026
5.3,7.49,42.0,44.0,1.0
5.3,8.585,48.7,38.5,1.001
5.3,7.777,44.2,41.9,1.006
5.3,8.538,42.0,40.0,1.017
5.3,7.787,46.7,42.2,1.007
5.3,7.457,39.5,44.7,1.004
5.3,7.056,34.9,48.8,1.005
5.3,7.26,45.0,45.0,0.99
5.3,8.088,43.1,41.5,1.004
5.3,9.25,45.2,35.5,1.019
5.3,8.481,43.1,39.2,1.01
5.3,7.218,45.8,45.8,0.994
5.3,7.979,48.5,39.4,1.002
5.3,8.38,48.1,37.0,1.015
5.3,8.081,40.5,40.5,1.019
5.3,10.154,44.1,38.2,1.011
5.3,7.558,35.5,45.2,1.015
5.3,8.451,46.2,38.5,1.026
5.3,7.676,46.7,42.2,1.001
5.3,8.432,42.3,38.5,1.026
5.3,8.052,42.6,40.4,1.014
5.3,7.653,41.1,42.9,1.004
5.3,7.213,44.1,45.8,0.992
5.3,8.244,46.8,38.3,1.011
5.3,9.825,43.9,31.7,1.042
5.3,8.696,41.7,37.5,1.037
5.3,7.583,47.5,42.6,0.996
5.3,7.795,50.0,40.5,0.996
5.6,7.967,47.8,39.1,0.998
5.3,6.445,41.3,52.2,0.984
5.3,7.888,38.8,44.9,1.009
5.3,6.915,37.7,49.1,0.996
5.3,9.37,48.3,34.5,1.017
5.3,7.581,46.4,42.9,0.998
5.3,8.719,43.8,37.5,1.013
5.6,7.306,40.7,45.7,0.999
5.3,9.442,50.0,30.0,1.042
5.3,8.922,43.5,34.8,1.035
5.3,8.622,47.2,38.9,1.007
5.3,10.283,42.3,34.6,1.03
5.3,11.661,42.3,30.8,1.043
5.3,8.489,43.5,39.1,1.007
5.6,7.769,45.2,43.5,0.994
5.3,8.148,47.5,41.0,1.002
5.3,10.534,44.7,26.3,1.082
5.3,9.773,45.7,32.6,1.023
5.3,9.37,48.3,34.5,1.017
5.3,8.193,45.5,42.4,0.997
5.3,8.098,39.1,43.5,1.012
5.3,9.486,45.7,39.1,1.005
5.3,8.214,44.1,40.7,1.005
5.3,7.581,47.6,42.9,0.998
5.3,9.726,50.0,32.1,1.023
5.5,6.949,36.7,49.0,0.998
5.3,8.958,51.3,33.3,1.025
5.3,8.079,44.2,39.5,1.011
5.3,15.027,50.0,22.7,1.047
6.0,8.019,44.9,42.9,1.0
5.3,7.387,46.7,44.4,0.996
5.8,11.562,44.4,36.1,1.006
6.0,8.598,45.7,39.1,1.013
5.3,8.295,38.1,40.5,1.034
5.3,9.346,41.2,35.3,1.03
5.3,10.735,38.9,27.8,1.042
5.5,7.821,45.3,41.5,1.006
5.3,7.94,43.1,41.4,1.015
5.3,11.35,31.3,43.8,1.02
5.3,9.138,45.2,32.3,1.032
5.3,10.241,47.1,32.4,1.03
5.3,7.361,40.4,45.6,1.001
5.3,8.367,50.0,35.7,1.002
5.3,10.461,47.6,35.7,1.008
5.3,7.393,44.7,44.7,0.998
5.3,7.035,42.5,47.5,0.993
5.3,9.803,44.1,29.4,1.056
5.3,8.922,43.5,34.8,1.035
5.3,7.589,50.0,42.1,0.993
5.3,8.344,43.3,40.0,1.01
5.3,14.088,45.8,29.2,1.024
5.3,8.27,43.5,39.1,1.018
5.3,9.494,44.8,34.5,1.026
5.3,7.421,41.1,44.6,1.0
5.3,8.689,37.7,39.6,1.03
5.3,8.009,41.5,41.5,1.017
5.3,8.286,40.0,42.5,1.014
5.3,8.105,50.0,38.1,1.001
5.3,8.295,44.9,38.8,1.02
5.3,9.291,43.6,33.3,1.049
5.3,9.387,45.9,32.4,1.049
5.3,12.2,45.2,35.5,1.011
5.3,7.234,46.9,44.9,0.987
5.3,8.645,44.2,38.5,1.016
5.3,7.649,44.3,42.6,1.002
5.6,7.856,44.8,43.1,0.996
5.3,10.534,44.7,26.3,1.082
5.3,8.719,43.8,37.5,1.013
5.3,7.795,50.0,40.5,0.996
5.5,8.725,44.6,37.5,1.016
5.3,9.149,46.2,35.9,1.022
5.3,9.228,47.1,35.3,1.021
5.3,10.479,45.7,28.6,1.058
5.3,8.636,47.5,37.5,1.0
5.3,11.281,47.6,33.3,1.016
5.3,7.302,40.0,46.2,1.003
5.3,9.758,44.1,32.4,1.036
5.3,8.594,41.5,37.7,1.031
5.3,8.558,45.2,35.5,1.016
5.6,7.757,45.6,41.8,1.002
5.3,9.859,44.1,35.3,1.024
5.3,8.033,46.7,42.2,0.995
5.3,8.365,45.8,39.6,1.002
5.5,8.744,47.1,35.3,1.026
5.3,7.51,39.7,44.8,1.007
5.3,8.265,45.5,40.0,1.002
5.3,7.51,41.1,44.6,1.005
5.3,14.863,48.0,28.0,1.027
5.3,9.291,43.6,33.3,1.049
5.6,9.37,48.3,34.5,1.017
5.3,8.508,43.2,40.5,1.01
5.3,8.586,46.8,38.3,1.006
5.3,7.986,48.8,39.5,1.003
5.3,8.035,51.3,38.5,0.998
5.3,8.315,44.2,44.2,1.006
5.3,10.683,46.2,30.8,1.026
5.3,8.043,39.0,42.4,1.026
5.3,7.843,43.8,41.7,1.01
5.3,7.684,45.0,42.5,1.004
5.3,8.354,50.0,39.5,0.992
5.3,7.085,39.6,47.2,0.994
5.3,10.368,44.4,36.1,1.02
5.3,8.268,43.9,40.9,1.014
5.3,7.329,40.3,45.8,1.003
5.3,10.783,48.1,29.6,1.026
5.3,7.967,46.8,40.4,1.007
5.3,8.011,44.7,42.6,0.997
5.3,8.169,45.5,38.6,1.011
5.3,8.279,43.9,41.5,1.005
5.3,7.974,40.4,42.1,1.02
5.3,8.474,43.2,40.9,1.015
5.3,9.613,44.8,37.9,1.012
5.3,8.787,48.8,37.2,1.011
7.2,8.97,46.9,34.7,1.011
5.3,8.299,44.7,39.5,1.022
5.3,10.47,48.0,32.0,1.014
5.3,8.154,40.5,42.9,1.008
5.3,8.295,45.2,38.1,1.016
5.3,8.358,47.8,37.0,1.009
5.3,7.734,41.4,43.1,1.011
5.3,8.569,42.4,39.0,1.02
5.3,8.52,39.6,39.6,1.018
5.3,8.086,42.3,40.4,1.016
5.3,9.671,44.7,34.2,1.014
5.6,8.187,40.5,42.9,1.008
5.3,7.657,41.2,43.1,1.007
5.3,7.738,40.9,45.5,0.997
5.3,8.453,46.5,39.5,1.005
5.3,10.804,40.9,34.1,1.03
5.3,6.97,39.2,49.0,1.0
5.3,8.009,46.0,40.0,1.009
5.3,7.509,50.0,43.1,0.995
5.6,9.522,46.7,33.3,1.034
5.5,8.335,46.5,39.5,1.024
5.3,8.696,48.1,37.0,1.009
5.3,10.483,47.2,27.8,1.055
5.3,8.913,43.9,36.6,1.016
5.6,8.693,44.9,40.8,1.006
5.3,8.522,48.9,37.8,0.997
5.3,9.046,44.6,35.7,1.026
5.3,9.707,50.0,34.2,1.015
5.3,8.989,44.4,35.6,1.017
5.3,8.343,44.4,37.8,1.018
5.3,8.955,43.6,34.5,1.034
5.3,8.57,38.0,40.0,1.024
5.3,9.057,45.2,33.3,1.033
5.3,7.695,42.9,42.9,1.007
5.3,8.452,39.5,41.9,1.022
5.3,8.476,46.7,36.7,1.015
5.3,7.805,43.6,41.0,1.001
5.3,8.043,43.5,41.9,1.003
5.3,9.754,46.2,30.8,1.034
5.3,7.382,46.5,44.2,0.993
5.3,8.322,47.9,37.5,1.011
5.3,8.767,48.5,33.3,1.015
6.0,7.445,46.8,43.5,0.993
6.0,7.617,43.1,45.1,1.013
5.3,7.01,45.9,47.5,0.991
5.3,8.134,45.8,39.6,1.013
5.3,7.117,39.3,48.2,1.003
5.3,8.192,45.5,38.6,1.01
5.3,7.581,45.7,42.9,0.998
6.0,8.722,44.9,40.8,1.007
