pXC50,Sp,AMW
7.114,45.455,7.17
5.071,47.455,7.306
4.523,43.694,7.283
6.071,50.461,7.437
6.066,42.176,7.614
5.699,48.006,8.102
6.444,47.148,7.61
5.244,41.307,8.311
5.699,41.79,7.889
5.328,43.176,7.682
6.745,46.694,7.489
5.0,39.171,7.468
5.292,43.216,6.775
5.409,40.932,7.333
5.328,43.176,7.682
6.979,43.932,7.549
5.77,40.932,7.333
5.222,40.887,8.636
5.119,40.745,8.204
6.824,47.455,7.306
6.337,46.694,7.489
5.602,42.694,7.21
6.721,43.694,7.283
5.066,41.455,6.872
6.149,42.631,7.487
5.644,41.273,8.334
4.873,40.353,8.06
6.745,47.461,7.247
5.886,43.938,8.574
5.959,47.461,7.247
6.833,43.892,8.707
5.807,42.131,8.908
5.815,40.353,8.06
5.815,42.631,7.745
5.44,41.989,8.47
5.385,41.273,8.334
5.943,42.131,8.908
5.187,42.176,7.614
5.013,45.512,8.14
5.319,41.989,8.47
5.91,45.699,7.358
5.071,41.273,8.334
6.022,45.699,7.358
6.886,42.131,8.908
5.356,41.659,8.043
6.42,41.989,8.47
4.658,41.744,9.219
5.658,43.694,7.283
6.215,45.455,7.17
5.357,42.694,7.21
4.77,42.694,7.21
5.398,41.603,8.759
4.569,45.455,7.17
5.167,41.273,8.334
4.959,42.745,8.322
6.602,43.75,8.298
5.824,45.699,8.399
4.873,41.659,8.043
6.26,42.131,8.908
6.481,47.148,7.61
4.456,41.387,7.471
5.086,47.455,7.306
6.244,47.461,7.247
5.767,42.443,8.588
