pXC50,O.,nAT,Se,Si
5.222,5.9,85,84.367,97.59
10.0,6.7,105,104.541,120.583
8.3,6.3,111,112.337,127.096
8.824,6.5,108,107.425,123.998
5.387,7.7,78,78.367,87.73
4.481,6.1,82,81.265,94.092
4.301,2.4,42,41.92,47.109
5.699,6.7,75,76.476,85.041
4.301,5.2,58,58.549,64.717
7.959,7.7,104,105.537,119.229
7.229,8.1,111,111.079,127.417
6.102,5.3,94,92.799,107.752
4.824,5.3,94,92.799,107.752
7.569,6.9,102,102.992,116.937
5.0,7.3,96,96.418,109.51
7.114,7.5,93,93.098,105.929
5.398,10.7,112,113.89,125.225
6.733,9.5,95,95.752,108.347
5.921,6.5,108,107.425,123.998
5.268,7.6,79,79.149,88.647
4.301,4.8,62,62.2,69.963
4.301,1.8,56,55.338,63.185
4.301,3.0,66,65.316,74.64
5.0,6.5,107,107.028,122.091
5.523,5.9,85,84.367,97.59
5.0,6.5,92,91.359,105.131
7.886,7.3,96,95.981,109.344
4.569,5.7,88,87.032,100.922
5.971,5.5,91,89.916,104.337
6.155,5.9,85,84.148,97.507
6.081,5.7,88,87.032,100.922
6.041,6.3,79,78.381,90.676
5.907,6.1,82,81.265,94.092
7.244,7.3,96,95.981,109.344
7.796,7.1,99,99.134,112.184
5.907,7.5,106,107.421,121.644
7.161,7.5,93,93.098,105.929
7.62,7.0,100,101.108,114.522
6.287,7.4,94,94.174,106.849
5.0,7.1,98,98.276,111.347
5.0,8.1,86,86.33,98.098
4.0,4.7,106,105.556,120.5
