pXC50,nCsp3,Mp,Mi,Mv,nCsp2,C.,nH,H.,nBM,nHet,Si
8.398,4,0.735,1.114,0.7,14,40.9,16,36.4,19,10,49.023
4.921,2,0.741,1.106,0.696,20,47.8,18,39.1,23,6,50.89
4.523,4,0.707,1.13,0.667,11,38.5,16,41.0,16,8,44.056
5.097,4,0.703,1.129,0.675,14,40.9,17,38.6,22,9,49.694
4.523,4,0.696,1.132,0.667,13,39.5,17,39.5,21,9,48.694
8.456,12,0.665,1.138,0.635,11,35.4,29,44.6,15,13,74.001
9.161,15,0.628,1.145,0.596,8,33.3,34,49.3,14,12,79.026
8.854,9,0.645,1.149,0.627,11,35.1,25,43.9,15,12,65.496
9.0,11,0.669,1.138,0.641,11,35.5,27,43.5,15,13,70.586
8.137,10,0.642,1.149,0.621,11,35.0,27,45.0,15,12,68.911
8.42,12,0.664,1.141,0.63,11,34.8,30,45.5,15,13,75.29
8.959,13,0.665,1.137,0.628,11,35.8,31,46.3,15,12,76.207
5.658,12,0.664,1.141,0.63,11,34.8,30,45.5,15,13,75.29
9.319,14,0.647,1.153,0.627,11,35.7,31,44.3,15,14,80.697
9.444,14,0.65,1.138,0.611,11,35.7,34,48.6,15,11,79.678
9.319,13,0.659,1.142,0.624,11,35.8,31,46.3,15,12,76.5
8.553,13,0.651,1.143,0.621,11,35.8,31,46.3,15,12,76.602
9.284,14,0.634,1.158,0.621,11,35.7,31,44.3,15,14,81.093
9.745,14,0.636,1.144,0.605,11,35.7,34,48.6,15,11,80.073
9.31,15,0.633,1.153,0.611,11,35.6,34,46.6,15,13,84.168
9.027,17,0.636,1.15,0.612,11,36.4,36,46.8,15,13,88.583
9.319,15,0.635,1.139,0.595,11,35.6,37,50.7,15,10,83.149
9.367,15,0.634,1.142,0.597,10,34.7,36,50.0,15,11,82.232
8.721,15,0.634,1.142,0.597,10,34.7,36,50.0,15,11,82.232
9.585,15,0.645,1.141,0.603,8,33.3,34,49.3,14,12,78.737
9.167,15,0.634,1.142,0.597,10,34.7,36,50.0,15,11,82.232
8.377,14,0.645,1.156,0.629,10,34.8,30,43.5,15,15,79.78
8.678,15,0.631,1.156,0.613,10,34.7,33,45.8,15,14,83.251
9.244,14,0.658,1.137,0.622,11,34.2,34,46.6,17,14,83.017
8.268,15,0.627,1.147,0.592,8,32.9,35,50.0,14,12,80.315
6.678,2,0.704,1.111,0.689,23,49.0,19,37.3,25,7,56.654
6.678,6,0.668,1.119,0.635,21,44.3,28,45.9,21,6,68.232
7.638,8,0.673,1.132,0.651,14,40.0,23,41.8,19,10,62.243
8.721,18,0.629,1.139,0.59,8,35.1,38,51.4,10,10,84.275
8.387,18,0.63,1.134,0.585,8,35.1,39,52.7,10,9,83.936
7.745,15,0.625,1.138,0.583,6,33.3,33,52.4,9,9,71.69
8.347,14,0.628,1.14,0.592,7,34.4,31,50.8,9,9,69.531
7.585,15,0.618,1.141,0.582,4,31.7,31,51.7,8,10,68.484
7.959,18,0.619,1.143,0.583,5,31.9,37,51.4,9,12,82.311
7.538,16,0.626,1.142,0.588,4,29.9,34,50.7,10,13,76.527
7.292,14,0.622,1.14,0.583,4,32.1,29,51.8,8,9,63.86
7.319,17,0.617,1.14,0.573,4,32.3,35,53.8,8,9,74.105
8.0,19,0.621,1.14,0.582,5,32.9,38,52.1,9,11,83.228
7.699,16,0.617,1.151,0.589,4,32.3,31,50.0,8,11,71.369
7.796,15,0.632,1.139,0.594,4,30.6,31,50.0,10,12,70.614
7.62,16,0.618,1.142,0.583,5,31.8,34,51.5,9,11,75.398
6.398,14,0.627,1.138,0.587,6,33.3,31,51.7,9,9,68.275
8.013,17,0.615,1.141,0.575,4,31.8,35,53.0,8,10,75.315
7.721,16,0.615,1.144,0.574,4,31.3,34,53.1,8,10,73.188
7.284,15,0.62,1.14,0.58,4,32.2,31,52.5,8,9,67.275
7.699,16,0.619,1.14,0.576,4,32.3,33,53.2,8,9,70.69
7.036,8,0.631,1.147,0.604,7,32.6,22,47.8,9,9,52.744
7.041,9,0.639,1.143,0.612,7,34.0,22,46.8,9,9,53.744
6.276,11,0.628,1.147,0.597,7,32.7,27,49.1,9,10,63.073
7.678,10,0.632,1.144,0.608,7,33.3,24,47.1,9,10,58.369
8.569,14,0.643,1.133,0.599,7,34.4,31,50.8,9,9,69.136
8.854,17,0.64,1.132,0.597,7,33.8,36,50.7,11,11,80.361
8.237,15,0.637,1.134,0.595,7,32.8,34,50.7,11,11,75.946
6.959,14,0.627,1.138,0.587,6,33.3,31,51.7,9,9,68.275
6.328,13,0.631,1.134,0.589,7,34.5,30,51.7,9,8,65.776
8.252,14,0.629,1.134,0.585,7,34.4,32,52.5,9,8,69.192
7.0,14,0.627,1.138,0.587,6,33.3,31,51.7,9,9,68.275
6.886,15,0.625,1.138,0.583,6,33.3,33,52.4,9,9,71.69
7.886,15,0.637,1.137,0.59,4,31.7,31,51.7,8,10,68.195
6.42,15,0.625,1.138,0.583,6,33.3,33,52.4,9,9,71.69
8.921,18,0.642,1.134,0.596,8,35.1,38,51.4,10,10,83.88
8.06,18,0.627,1.153,0.606,8,35.1,35,47.3,10,13,85.294
8.921,19,0.626,1.148,0.597,8,35.1,38,49.4,10,12,88.37
8.959,8,0.683,1.126,0.652,13,37.5,24,42.9,15,11,63.043
5.013,5,0.682,1.117,0.656,22,45.8,25,42.4,25,7,65.9
5.921,7,0.663,1.123,0.646,22,42.6,29,42.6,25,10,76.358
5.31,6,0.673,1.119,0.65,22,44.4,27,42.9,25,8,70.524
5.481,8,0.66,1.124,0.64,22,42.3,31,43.7,25,10,79.774
6.658,7,0.654,1.144,0.657,13,38.5,20,38.5,15,12,59.47
7.585,8,0.654,1.125,0.628,13,38.2,25,45.5,15,9,61.867
7.0,7,0.691,1.122,0.667,13,38.5,21,40.4,15,11,58.339
6.481,6,0.68,1.122,0.659,13,38.8,20,40.8,15,10,54.98
6.854,6,0.697,1.121,0.676,13,38.8,19,38.8,15,11,54.924
7.26,7,0.658,1.124,0.635,13,38.5,23,44.2,15,9,58.451
7.0,7,0.674,1.123,0.651,13,38.5,22,42.3,15,10,58.395
7.398,6,0.68,1.122,0.659,13,38.8,20,40.8,15,10,54.98
6.0,6,0.68,1.122,0.659,13,38.8,20,40.8,15,10,54.98
6.0,6,0.697,1.121,0.676,13,38.8,19,38.8,15,11,54.924
6.0,6,0.662,1.123,0.642,13,38.8,21,42.9,15,9,55.036
6.432,8,0.654,1.125,0.628,13,38.2,25,45.5,15,9,61.867
6.0,7,0.658,1.124,0.635,13,38.5,23,44.2,15,9,58.451
8.523,7,0.671,1.133,0.651,13,37.7,22,41.5,15,11,60.024
6.155,6,0.682,1.114,0.651,21,43.5,27,43.5,25,8,69.072
5.678,5,0.664,1.122,0.632,13,39.1,21,45.7,15,7,51.617
5.076,4,0.669,1.124,0.642,14,39.1,20,43.5,16,8,51.7
4.699,5,0.664,1.125,0.634,14,38.8,22,44.9,16,8,55.116
5.143,5,0.662,1.126,0.625,13,38.3,22,46.8,15,7,52.906
4.398,4,0.688,1.118,0.658,13,41.9,18,41.9,16,7,48.076
4.824,5,0.664,1.122,0.632,13,39.1,21,45.7,15,7,51.617
4.0,5,0.664,1.125,0.634,14,38.8,22,44.9,16,8,55.116
4.301,5,0.66,1.127,0.636,14,38.0,22,44.0,16,9,56.325
5.387,4,0.665,1.126,0.644,14,38.3,20,42.6,16,9,52.91
6.377,6,0.66,1.126,0.627,14,38.5,24,46.2,16,8,58.531
4.0,5,0.679,1.118,0.646,20,42.4,26,44.1,22,8,65.946
4.879,4,0.685,1.114,0.652,19,43.4,23,43.4,21,7,59.033
5.26,5,0.68,1.115,0.645,19,42.9,25,44.6,21,7,62.448
5.252,4,0.68,1.118,0.655,20,42.1,24,42.1,22,9,63.74
4.602,5,0.675,1.119,0.647,20,41.7,26,43.3,22,9,67.155
5.086,4,0.694,1.114,0.664,19,41.1,23,41.1,23,10,62.371
4.125,11,0.651,1.124,0.608,13,38.7,31,50.0,15,7,69.693
5.854,5,0.691,1.111,0.655,23,45.2,27,43.5,26,7,68.863
6.097,5,0.691,1.111,0.655,23,45.2,27,43.5,26,7,68.863
6.0,5,0.69,1.114,0.658,22,44.3,26,42.6,26,8,67.946
6.301,6,0.685,1.115,0.651,22,43.8,28,43.8,26,8,71.361
4.975,5,0.69,1.114,0.658,22,44.3,26,42.6,26,8,67.946
4.523,5,0.678,1.119,0.647,18,41.8,24,43.6,21,8,61.531
4.481,5,0.678,1.119,0.647,18,41.8,24,43.6,21,8,61.531
5.071,5,0.678,1.119,0.647,18,41.8,24,43.6,21,8,61.531
5.62,6,0.674,1.12,0.64,18,41.4,26,44.8,21,8,64.946
5.658,6,0.67,1.137,0.66,18,41.4,23,39.7,21,11,65.965
5.328,6,0.67,1.137,0.66,18,41.4,23,39.7,21,11,65.965
5.041,6,0.672,1.134,0.657,19,42.4,24,40.7,21,10,66.882
4.824,5,0.69,1.115,0.66,19,43.9,24,42.1,22,8,63.531
6.097,5,0.69,1.115,0.66,19,43.9,24,42.1,22,8,63.531
6.509,6,0.672,1.134,0.657,19,42.4,24,40.7,21,10,66.882
5.854,5,0.69,1.115,0.66,19,43.9,24,42.1,22,8,63.531
