pXC50,AMW,C.,H.,Me
4.318,9.772,46.8,34.0,1.033
4.454,8.859,49.1,35.8,1.014
4.336,9.196,44.4,37.0,1.024
4.336,10.118,44.7,31.6,1.028
4.636,9.563,51.0,32.7,1.011
4.61,8.185,45.6,38.6,1.012
4.18,9.417,48.5,33.3,1.018
4.18,9.484,48.8,32.6,1.029
4.258,10.22,41.7,29.2,1.033
4.18,9.53,43.5,30.4,1.053
4.18,10.244,40.0,30.0,1.056
4.18,8.973,40.7,37.0,1.034
4.18,8.925,40.7,37.3,1.035
4.18,8.009,46.7,40.0,1.009
4.275,9.541,41.2,35.3,1.034
4.314,9.306,45.5,34.1,1.03
4.18,9.94,37.9,27.6,1.062
4.525,10.059,40.0,30.0,1.075
4.364,14.31,46.2,23.1,1.068
4.18,12.638,46.7,23.3,1.068
4.26,9.116,46.4,32.1,1.034
4.18,8.51,46.3,38.9,1.012
4.541,6.59,41.9,51.6,0.991
4.296,8.405,47.9,37.5,1.018
4.343,10.772,41.2,33.3,1.043
4.594,6.72,31.2,55.9,1.004
