pXC50,nC,nBO,SCBO,Sp,Sv,MW,nSK,nBT,AMW,C.,H.,Me,Mi,Mp,Mv,N.,nAB
6.046,13,22,29.5,21.983,21.644,271.31,20,35,8.222,39.4,39.4,1.021,1.139,0.666,0.656,15.2,11
5.602,14,24,32.5,22.886,23.052,300.3,22,36,8.832,41.2,35.3,1.037,1.132,0.673,0.678,11.8,11
6.0,13,22,29.5,21.432,21.337,272.29,20,34,8.509,40.6,37.5,1.029,1.134,0.67,0.667,12.5,11
5.77,13,22,29.5,21.983,21.644,271.31,20,35,8.222,39.4,39.4,1.021,1.139,0.666,0.656,15.2,11
4.523,14,24,32.5,22.886,23.052,300.3,22,36,8.832,41.2,35.3,1.037,1.132,0.673,0.678,11.8,11
4.199,8,15,19.5,15.216,15.096,194.22,14,25,8.093,33.3,41.7,1.03,1.152,0.634,0.629,16.7,5
4.173,6,13,17.5,11.693,12.042,166.16,12,19,9.231,33.3,33.3,1.053,1.157,0.65,0.669,22.2,5
4.469,7,14,18.5,13.455,13.569,180.19,13,22,8.58,33.3,38.1,1.039,1.154,0.641,0.646,19.0,5
5.319,10,17,21.5,18.739,18.149,222.28,16,31,7.409,33.3,46.7,1.016,1.15,0.625,0.605,13.3,5
4.815,13,20,24.5,24.023,22.73,264.37,19,40,6.779,33.3,51.3,1.003,1.147,0.616,0.583,10.3,5
8.481,19,31,39.0,32.699,31.707,385.47,28,54,7.558,37.3,45.1,1.015,1.139,0.641,0.622,9.8,16
5.546,11,18,22.5,20.5,19.676,236.31,17,34,7.161,33.3,48.5,1.011,1.149,0.621,0.596,12.1,5
6.523,17,25,32.5,28.023,26.73,312.41,23,45,7.265,39.5,46.5,1.003,1.133,0.652,0.622,9.3,11
4.854,7,14,18.5,13.455,13.569,180.19,13,22,8.58,33.3,38.1,1.039,1.154,0.641,0.646,19.0,5
5.0,20,28,35.5,33.307,31.31,354.5,26,54,6.817,38.5,50.0,0.996,1.134,0.641,0.602,7.7,11
4.569,14,22,29.5,22.739,22.149,270.32,20,36,7.951,41.2,41.2,1.014,1.132,0.669,0.651,11.8,11
5.347,9,17,21.5,17.835,17.45,242.69,16,28,8.989,33.3,40.7,1.034,1.149,0.661,0.646,14.8,5
5.387,10,17,23.5,17.216,17.096,218.24,16,27,8.394,38.5,38.5,1.027,1.141,0.662,0.658,15.4,5
5.301,8,15,19.5,15.216,15.096,194.22,14,25,8.093,33.3,41.7,1.03,1.152,0.634,0.629,16.7,5
5.0,10,17,22.5,17.977,17.622,220.26,16,29,7.866,35.7,42.9,1.021,1.145,0.642,0.629,14.3,5
5.553,13,20,26.5,22.5,21.676,260.33,19,36,7.438,37.1,45.7,1.01,1.14,0.643,0.619,11.4,5
5.071,13,20,25.5,23.262,22.203,262.35,19,38,7.091,35.1,48.6,1.007,1.144,0.629,0.6,10.8,5
4.854,14,22,29.5,22.739,22.149,270.32,20,36,7.951,41.2,41.2,1.014,1.132,0.669,0.651,11.8,11
4.854,19,28,38.5,28.5,27.676,332.39,25,44,8.107,46.3,39.0,1.009,1.12,0.695,0.675,9.8,17
5.155,11,18,22.5,20.5,19.676,236.31,17,34,7.161,33.3,48.5,1.011,1.149,0.621,0.596,12.1,5
6.398,14,21,27.5,24.262,23.203,274.36,20,39,7.22,36.8,47.4,1.007,1.14,0.638,0.611,10.5,5
4.301,8,16,20.5,15.671,15.81,210.22,15,26,8.409,32.0,40.0,1.042,1.155,0.627,0.632,16.0,5
4.167,11,20,25.5,20.648,20.579,266.29,19,34,8.069,33.3,42.4,1.034,1.149,0.626,0.624,12.1,5
5.187,10,17,22.5,17.977,17.622,220.26,16,29,7.866,35.7,42.9,1.021,1.145,0.642,0.629,14.3,5
4.097,8,16,20.5,15.67,15.81,210.22,15,26,8.409,32.0,40.0,1.042,1.155,0.627,0.632,16.0,5
5.222,9,16,20.5,16.977,16.622,208.25,15,28,7.713,33.3,44.4,1.022,1.151,0.629,0.616,14.8,5
8.097,13,26,32.0,24.659,24.622,320.35,23,42,8.214,33.3,41.0,1.034,1.151,0.632,0.631,15.4,10
4.959,13,20,24.5,24.023,22.73,264.37,19,40,6.779,33.3,51.3,1.003,1.147,0.616,0.583,10.3,5
5.77,13,20,24.5,24.023,22.73,264.37,19,40,6.779,33.3,51.3,1.003,1.147,0.616,0.583,10.3,5
5.398,12,19,25.5,20.739,20.149,246.3,18,33,7.697,37.5,43.8,1.015,1.14,0.648,0.63,12.5,5
4.959,10,17,21.5,18.739,18.149,222.28,16,31,7.409,33.3,46.7,1.016,1.15,0.625,0.605,13.3,5
4.959,17,25,32.5,28.023,26.73,312.41,23,45,7.265,39.5,46.5,1.003,1.133,0.652,0.622,9.3,11
6.886,13,22,29.5,21.432,21.337,272.29,20,34,8.509,40.6,37.5,1.029,1.134,0.67,0.667,12.5,11
7.301,17,26,33.5,28.478,27.444,328.41,24,46,7.464,38.6,45.5,1.01,1.135,0.647,0.624,9.1,11
6.0,17,27,34.5,29.887,28.579,361.87,25,47,8.042,37.8,44.4,1.012,1.137,0.664,0.635,11.1,11
4.824,14,24,32.5,22.886,23.052,300.3,22,36,8.832,41.2,35.3,1.037,1.132,0.673,0.678,11.8,11
5.097,10,17,21.5,18.739,18.149,222.28,16,31,7.409,33.3,46.7,1.016,1.15,0.625,0.605,13.3,5
6.886,13,22,29.5,21.983,21.644,271.31,20,35,8.222,39.4,39.4,1.021,1.139,0.666,0.656,15.2,11
5.921,12,19,23.5,22.262,21.203,250.34,18,37,6.954,33.3,50.0,1.007,1.148,0.618,0.589,11.1,5
5.155,20,32,41.5,36.318,34.642,434.57,30,58,7.76,35.7,46.4,1.015,1.134,0.649,0.619,7.1,11
4.043,8,15,19.5,15.216,15.096,194.22,14,25,8.093,33.3,41.7,1.03,1.152,0.634,0.629,16.7,5
5.409,10,17,21.5,18.739,18.149,222.28,16,31,7.409,33.3,46.7,1.016,1.15,0.625,0.605,13.3,5
5.222,10,17,23.5,17.216,17.096,218.24,16,27,8.394,38.5,38.5,1.027,1.141,0.662,0.658,15.4,5
4.359,12,19,23.5,22.262,21.203,250.34,18,37,6.954,33.3,50.0,1.007,1.148,0.618,0.589,11.1,5
4.668,11,18,22.5,20.5,19.676,236.31,17,34,7.161,33.3,48.5,1.011,1.149,0.621,0.596,12.1,5
