pXC50,nN,X.,nX,nAB,nBM,nCL,nCsp2,nCsp,nTB,N.,nF,O.,nHet
5.0,5,3.1,2,17,19,2,17,1,1,7.7,0,3.1,9
4.301,5,6.0,3,28,29,0,24,0,0,10.0,3,2.0,9
6.0,7,0.0,0,12,16,0,16,0,0,10.6,0,3.0,9
5.495,7,0.0,0,26,26,0,19,0,0,10.1,0,0.0,7
6.62,6,0.0,0,26,26,0,19,0,0,10.5,0,0.0,6
6.379,6,0.0,0,26,26,0,19,0,0,11.1,0,0.0,6
6.963,6,0.0,0,26,26,0,19,0,0,11.8,0,0.0,6
5.948,6,2.0,1,26,26,0,19,0,0,11.8,0,0.0,7
5.761,6,1.9,1,26,26,1,19,0,0,11.1,0,0.0,7
5.7,6,0.0,0,26,26,0,19,0,0,9.5,0,0.0,6
5.836,6,0.0,0,26,26,0,19,0,0,9.4,0,1.6,7
5.574,7,0.0,0,26,27,0,19,1,1,13.5,0,0.0,7
5.306,7,1.9,1,26,27,0,19,1,1,13.5,1,0.0,8
4.684,6,3.9,2,26,26,0,19,0,0,11.8,2,0.0,8
4.67,6,3.9,2,26,26,0,19,0,0,11.8,2,0.0,8
4.988,6,3.9,2,26,26,2,19,0,0,11.8,0,0.0,8
4.602,6,0.0,0,21,21,0,15,0,0,13.3,0,0.0,6
4.0,8,0.0,0,21,21,0,13,0,0,18.6,0,0.0,8
4.42,6,0.0,0,21,21,0,15,0,0,10.9,0,0.0,6
4.548,7,0.0,0,26,26,0,18,0,0,14.0,0,0.0,7
4.728,6,0.0,0,21,21,0,15,0,0,10.0,0,0.0,6
5.523,6,0.0,0,27,27,0,21,0,0,10.3,0,0.0,6
5.347,6,1.8,1,27,27,0,21,0,0,10.9,1,0.0,7
7.328,6,0.0,0,26,26,0,19,0,0,11.5,0,1.9,7
4.796,6,0.0,0,26,26,0,19,0,0,10.5,0,0.0,6
5.033,6,2.1,1,26,26,1,19,0,0,12.5,0,0.0,7
4.0,6,0.0,0,26,26,0,19,0,0,13.3,0,0.0,6
4.0,6,0.0,0,26,27,0,20,0,0,13.6,0,2.3,7
4.0,5,0.0,0,26,26,0,19,0,0,11.6,0,0.0,5
4.0,5,0.0,0,26,26,0,19,0,0,12.2,0,2.4,6
4.0,6,0.0,0,26,26,0,19,0,0,10.7,0,1.8,7
5.0,7,2.9,2,18,19,2,17,0,0,10.1,0,4.3,12
4.0,3,0.0,0,10,11,0,7,0,0,7.9,0,5.3,7
4.469,2,3.3,1,16,17,1,13,0,0,6.7,0,10.0,7
5.0,3,0.0,0,16,18,0,14,0,0,8.1,0,10.8,8
5.208,3,0.0,0,16,18,0,14,0,0,7.9,0,10.5,8
5.638,3,0.0,0,20,21,0,15,0,0,8.8,0,8.8,7
6.0,4,0.0,0,20,21,0,14,0,0,12.1,0,9.1,8
4.0,3,3.2,1,16,17,1,13,0,0,9.7,0,6.5,7
4.0,3,2.9,1,16,17,1,13,0,0,8.8,0,5.9,7
5.319,2,3.3,1,16,17,0,13,0,0,6.7,0,6.7,7
5.092,2,3.3,1,16,17,0,13,0,0,6.7,1,6.7,7
5.921,2,3.3,1,16,17,1,13,0,0,6.7,0,6.7,7
5.77,2,0.0,0,16,17,0,13,0,0,6.1,0,6.1,6
5.456,2,0.0,0,16,17,0,13,0,0,6.1,0,6.1,6
5.959,3,0.0,0,16,18,0,13,1,1,9.7,0,6.5,7
5.77,2,0.0,0,16,17,0,13,0,0,5.9,0,8.8,7
4.469,2,0.0,0,16,17,0,13,0,0,5.9,0,5.9,7
4.0,2,0.0,0,22,23,0,19,0,0,5.0,0,5.0,6
5.824,3,0.0,0,16,18,0,14,0,0,8.8,0,8.8,8
5.149,3,0.0,0,16,18,0,14,0,0,8.8,0,8.8,8
4.0,3,0.0,0,16,18,0,14,0,0,8.1,0,8.1,8
6.745,3,0.0,0,16,18,0,14,0,0,8.1,0,8.1,8
4.0,2,2.8,1,16,17,1,13,0,0,5.6,0,5.6,7
5.292,2,3.8,1,10,11,0,7,0,0,7.7,0,7.7,7
4.745,2,5.0,1,10,11,0,7,0,0,10.0,0,10.0,7
4.658,3,0.0,0,16,17,0,12,0,0,9.1,0,9.1,8
4.0,2,3.7,1,15,16,1,11,0,0,7.4,0,7.4,8
5.0,4,5.0,2,10,12,2,9,1,1,10.0,0,2.5,7
4.456,1,0.0,0,11,13,0,12,0,0,2.6,0,5.3,3
4.398,5,4.0,2,23,24,1,20,1,1,10.0,1,0.0,7
5.337,6,0.0,0,23,25,0,21,1,1,9.7,0,3.2,8
5.745,6,3.3,2,23,24,1,20,1,1,10.0,1,1.7,9
4.398,6,2.0,1,17,18,1,14,1,1,12.0,0,2.0,8
5.0,6,4.0,2,17,18,1,14,1,1,12.0,1,2.0,9
5.0,6,4.0,2,17,18,2,14,1,1,12.0,0,2.0,9
6.383,5,4.0,2,23,24,1,20,1,1,10.0,1,0.0,7
5.921,6,4.0,2,17,18,1,14,1,1,12.0,1,2.0,9
4.602,9,0.0,0,26,28,0,21,0,0,10.6,0,3.5,12
4.699,3,0.0,0,21,22,0,18,0,0,7.1,0,2.4,5
4.699,3,0.0,0,9,10,0,6,0,0,15.8,0,5.3,5
4.398,6,5.7,3,17,18,0,14,1,1,11.3,3,1.9,10
5.469,6,3.8,2,17,18,1,14,1,1,11.3,1,1.9,9
4.398,5,4.3,2,23,24,1,20,1,1,10.6,1,0.0,7
4.398,6,0.0,0,23,26,0,20,1,1,9.5,0,4.8,10
4.398,6,1.9,1,17,18,0,14,1,1,11.3,0,1.9,8
5.377,6,4.0,2,17,18,2,14,1,1,12.0,0,2.0,9
4.398,5,4.5,2,17,18,1,14,1,1,11.4,1,0.0,7
8.222,6,0.0,0,23,24,0,20,1,1,9.8,0,1.6,8
7.859,5,4.3,2,23,24,1,20,1,1,10.6,1,0.0,7
4.699,3,0.0,0,21,22,0,18,0,0,7.0,0,4.7,6
4.699,3,0.0,0,15,16,0,12,0,0,7.3,0,2.4,5
4.699,3,0.0,0,15,16,0,12,0,0,7.1,0,2.4,5
4.699,3,0.0,0,9,10,0,6,0,0,8.6,0,2.9,5
6.854,5,4.5,2,23,24,1,20,1,1,11.4,1,0.0,7
7.301,6,4.7,2,23,24,1,19,1,1,14.0,1,0.0,8
4.699,3,0.0,0,21,22,0,18,0,0,7.7,0,2.6,5
4.699,3,0.0,0,9,10,0,6,0,0,8.8,0,2.9,5
7.854,7,3.1,2,22,23,1,18,1,1,10.9,1,1.6,10
8.523,6,4.2,2,22,23,1,18,1,1,12.5,1,0.0,8
7.71,6,4.8,2,22,23,1,18,1,1,14.3,1,0.0,8
7.131,6,4.8,2,22,23,1,18,1,1,14.3,1,0.0,8
4.523,5,4.3,2,17,18,1,15,1,1,10.6,1,0.0,7
7.222,5,4.3,2,23,24,1,20,1,1,10.6,1,0.0,7
4.398,6,3.8,2,22,23,1,18,1,1,11.5,1,1.9,9
8.523,6,4.4,2,22,23,1,18,1,1,13.3,1,0.0,8
7.509,5,4.9,2,22,23,1,18,1,1,12.2,1,0.0,8
7.0,5,4.3,2,23,25,1,21,2,2,10.9,1,0.0,7
6.0,5,3.9,2,17,18,1,15,1,1,9.8,1,2.0,8
4.398,5,3.7,2,17,18,1,15,1,1,9.3,1,1.9,8
6.62,4,4.8,2,22,23,1,19,1,1,9.5,1,2.4,7
4.398,4,4.0,2,17,18,1,15,1,1,8.0,1,4.0,8
6.959,5,4.4,2,23,25,1,20,1,1,11.1,1,2.2,8
5.0,3,4.3,2,23,24,1,21,1,1,6.5,1,0.0,5
4.398,6,4.7,2,22,23,1,18,1,1,14.0,1,2.3,9
6.854,5,4.3,2,23,24,1,21,1,1,10.6,1,0.0,7
6.959,5,4.0,2,23,26,1,21,1,1,10.0,1,4.0,10
6.585,7,3.1,2,22,23,1,18,1,1,10.9,1,1.6,10
4.721,6,4.4,2,22,23,1,18,1,1,13.3,1,0.0,8
5.036,7,3.1,2,22,23,1,18,1,1,10.8,1,3.1,11
6.229,4,7.0,3,17,18,1,15,1,1,9.3,1,4.7,9
8.699,8,7.5,3,22,23,2,16,1,1,20.0,1,0.0,11
6.959,6,6.3,3,23,25,2,21,1,1,12.5,1,2.1,10
7.745,7,7.3,3,22,23,1,17,1,1,17.1,1,0.0,10
6.886,6,5.9,3,22,23,1,18,1,1,11.8,1,0.0,9
7.796,6,5.9,3,22,23,2,18,1,1,11.8,1,0.0,9
7.602,6,5.9,3,22,23,2,18,1,1,11.8,1,0.0,9
7.06,6,6.3,3,22,24,1,19,1,1,12.5,1,4.2,11
6.886,7,5.1,3,22,23,2,18,1,1,11.9,1,0.0,10
6.456,6,5.3,3,23,24,2,20,1,1,10.5,1,1.8,10
7.523,6,6.7,3,22,23,1,18,1,1,13.3,1,0.0,9
6.495,6,5.9,3,22,23,2,18,1,1,11.8,1,0.0,9
5.229,6,5.8,3,28,29,1,24,1,1,11.5,1,0.0,9
7.387,7,4.9,3,22,23,1,18,1,1,11.5,1,1.6,11
7.367,6,5.6,3,22,25,1,18,1,1,11.1,1,3.7,12
5.886,6,5.0,6,36,42,0,42,0,0,5.0,0,10.1,24
8.0,6,7.1,3,22,23,1,18,1,1,14.3,1,0.0,9
6.796,6,11.1,5,22,23,1,18,1,1,13.3,4,0.0,11
6.886,6,4.3,2,22,23,1,18,1,1,13.0,1,2.2,9
7.699,6,4.3,2,22,24,1,18,1,1,12.8,1,2.1,10
6.721,6,4.2,2,22,25,1,18,1,1,12.5,1,4.2,11
6.886,7,3.8,2,22,24,1,19,1,1,13.5,1,1.9,10
4.301,5,0.0,0,18,19,0,17,0,0,12.8,0,5.1,7
6.041,6,3.8,2,22,23,1,18,1,1,11.3,1,3.8,10
6.081,6,3.7,2,22,23,1,18,1,1,11.1,1,5.6,11
6.886,6,6.7,3,22,23,2,18,1,1,13.3,1,0.0,9
5.301,6,6.8,3,22,24,1,19,1,1,13.6,1,2.3,10
6.602,6,5.8,3,28,29,1,24,1,1,11.5,1,0.0,9
6.553,6,6.3,3,27,28,2,22,1,1,12.5,1,0.0,9
7.796,5,6.8,3,23,24,2,20,1,1,11.4,1,0.0,8
5.523,5,16.7,9,23,24,2,20,1,1,9.3,7,1.9,15
7.699,6,7.1,3,22,23,1,18,1,1,14.3,2,0.0,9
7.301,6,4.7,2,23,24,1,19,1,1,14.0,1,0.0,8
6.301,6,4.3,3,23,24,2,20,1,1,8.7,1,1.4,10
4.398,1,0.0,0,0,6,0,9,0,0,1.3,0,11.3,10
5.481,4,5.3,4,24,29,0,30,0,0,5.3,0,10.5,16
4.507,5,4.3,2,23,24,1,20,1,1,10.6,1,0.0,7
4.678,7,3.5,2,17,18,1,14,1,1,12.3,1,0.0,9
6.42,6,0.0,0,23,24,0,20,1,1,9.8,0,3.3,8
4.699,4,0.0,0,15,16,0,12,0,0,9.8,0,2.4,6
4.699,3,0.0,0,9,10,0,6,0,0,9.7,0,3.2,5
4.398,6,3.8,2,17,18,1,14,1,1,11.3,1,1.9,9
8.699,6,0.0,0,23,24,0,20,1,1,9.5,0,1.6,7
4.699,3,0.0,0,15,16,0,12,0,0,9.4,0,3.1,5
6.678,4,4.4,2,23,24,1,21,1,1,8.9,1,0.0,6
4.398,4,4.8,2,23,24,1,21,1,1,9.5,1,0.0,6
5.658,4,4.3,2,17,18,1,15,1,1,8.7,1,2.2,7
4.398,6,4.4,2,22,23,1,18,1,1,13.3,1,0.0,8
6.194,6,4.2,2,22,23,1,18,1,1,12.5,1,0.0,8
4.398,6,10.9,5,22,23,1,18,1,1,13.0,4,2.2,12
7.046,5,4.5,2,23,24,1,20,1,1,11.4,1,0.0,7
5.0,4,4.0,2,17,18,1,15,1,1,8.0,1,2.0,8
4.939,4,4.4,2,23,26,1,21,1,1,8.9,1,4.4,9
6.699,6,4.2,2,22,23,1,18,1,1,12.5,1,0.0,8
4.959,4,4.5,2,23,25,1,22,1,1,9.1,1,2.3,7
6.886,6,4.7,2,23,24,1,19,1,1,14.0,1,0.0,8
6.77,5,6.4,3,23,24,2,20,1,1,10.6,1,0.0,8
6.658,6,6.7,3,22,23,2,18,1,1,13.3,1,0.0,9
6.699,4,7.9,3,17,19,2,16,1,1,10.5,1,5.3,9
7.745,5,6.7,3,23,25,2,20,1,1,11.1,1,2.2,9
6.658,6,6.3,3,22,23,2,18,1,1,12.5,1,0.0,9
4.947,6,4.7,2,22,23,1,18,1,1,14.0,1,2.3,9
7.638,6,4.3,2,22,24,1,19,1,1,12.8,1,2.1,9
6.538,6,6.7,3,22,23,2,18,1,1,13.3,1,0.0,9
7.796,6,6.3,3,22,23,2,18,1,1,12.5,1,0.0,9
7.301,1,3.6,1,6,11,1,12,0,0,3.6,0,14.3,6
4.398,2,0.0,0,0,6,0,9,0,0,2.5,0,9.9,10
5.448,6,3.8,2,17,18,1,14,1,1,11.5,1,0.0,8
7.699,8,5.2,3,22,23,1,17,1,1,13.8,1,0.0,11
5.155,5,3.8,2,17,18,1,15,1,1,9.4,1,0.0,7
6.745,5,3.8,2,17,18,1,15,1,1,9.4,1,0.0,7
7.009,6,6.7,3,22,23,1,18,1,1,13.3,1,0.0,9
7.81,6,7.1,3,22,23,2,18,1,1,14.3,1,0.0,9
6.796,3,0.0,0,22,23,0,20,0,0,7.5,0,2.5,5
6.678,6,0.0,0,27,27,0,20,0,0,14.6,0,0.0,7
6.553,3,0.0,0,22,23,0,20,0,0,7.5,0,2.5,5
5.538,2,0.0,0,22,23,0,20,0,0,5.3,0,2.6,4
6.509,1,0.0,0,22,23,0,20,0,0,2.6,0,7.9,5
7.301,1,0.0,0,22,23,0,20,0,0,2.7,0,5.4,4
7.699,2,0.0,0,22,23,0,20,0,0,5.1,0,5.1,5
8.523,8,6.0,3,28,29,2,22,1,1,16.0,1,0.0,11
7.77,8,6.1,3,22,23,2,17,1,1,16.3,1,0.0,11
7.699,8,5.8,3,22,23,2,17,1,1,15.4,1,0.0,11
7.886,8,5.5,3,22,23,2,17,1,1,14.5,1,0.0,11
5.018,2,0.0,0,16,18,0,17,0,0,3.2,0,7.9,7
4.398,2,0.0,0,22,24,0,23,0,0,3.3,0,8.2,7
4.398,7,1.4,1,22,24,1,20,1,1,9.9,0,0.0,9
7.301,6,0.0,0,27,28,0,21,0,0,12.0,0,4.0,9
6.403,5,7.0,3,27,27,0,20,0,0,11.6,3,2.3,10
7.398,5,0.0,0,27,27,0,20,0,0,11.4,0,4.5,8
6.886,6,0.0,0,27,28,0,21,0,0,13.6,0,4.5,9
6.824,5,2.5,1,27,27,1,20,0,0,12.5,0,2.5,8
5.187,5,2.5,1,27,27,0,20,0,0,12.5,1,2.5,8
6.638,6,0.0,0,27,27,0,20,0,0,14.3,0,2.4,8
5.0,4,0.0,0,22,23,0,19,1,1,8.7,0,4.3,6
5.398,5,6.7,3,16,16,0,11,0,0,11.1,3,2.2,9
8.018,7,6.4,3,22,24,2,18,1,1,14.9,1,4.3,12
7.398,8,5.1,3,22,23,2,17,1,1,13.6,1,0.0,11
8.086,8,4.6,3,22,23,2,17,1,1,12.3,1,0.0,11
7.215,7,5.7,3,22,23,1,17,1,1,13.2,1,0.0,10
8.155,7,6.4,3,22,24,1,18,1,1,14.9,1,4.3,12
7.398,7,7.3,3,22,23,2,17,1,1,17.1,1,0.0,10
6.855,5,0.0,0,27,27,0,20,0,0,12.5,0,2.5,7
6.62,5,0.0,0,27,27,0,20,0,0,11.4,0,4.5,8
6.77,7,5.7,3,22,23,2,17,1,1,13.2,1,0.0,10
6.921,7,5.9,3,28,29,2,23,1,1,13.7,1,0.0,10
7.553,8,4.6,3,22,23,2,17,1,1,12.3,1,0.0,11
8.097,8,5.0,3,22,23,2,17,1,1,13.3,1,1.7,12
6.886,5,0.0,0,27,27,0,20,0,0,11.4,0,4.5,8
4.301,2,3.1,1,16,17,0,14,0,0,6.3,0,6.3,6
5.951,3,3.2,1,21,21,0,15,0,0,9.7,0,9.7,8
7.658,8,4.8,3,22,23,2,17,1,1,12.9,1,0.0,11
5.77,5,0.0,0,27,27,0,20,0,0,12.5,0,2.5,7
6.495,5,0.0,0,27,27,0,20,0,0,11.4,0,4.5,8
6.509,6,0.0,0,27,28,0,20,1,1,14.6,0,2.4,8
7.638,8,5.1,3,22,23,1,17,1,1,13.6,1,0.0,11
