pXC50,nBM,nCsp2,nAT,nBT,Se,Si,nBO,nAB,SCBO,nSK,Sv,Sp,MW,nH,AMW,C.,H.,Me,Mi
4.409,7,7,22,23,22.065,24.867,13,6,17.0,12,13.865,14.511,162.21,10,7.373,40.9,45.5,1.003,1.13
7.31,19,16,52,55,52.44,58.591,33,17,43.5,30,34.105,35.648,423.94,22,8.153,42.3,42.3,1.008,1.127
7.671,25,22,53,57,53.232,59.232,36,23,49.5,32,35.751,37.029,423.51,21,7.991,47.2,39.6,1.004,1.118
5.237,12,10,34,36,34.262,38.405,21,11,27.5,19,21.655,22.495,257.32,15,7.568,41.2,44.1,1.008,1.13
4.075,11,9,24,25,23.847,26.784,14,11,19.5,13,15.37,16.267,173.23,11,7.218,45.8,45.8,0.994,1.116
4.609,12,10,29,30,29.058,32.408,17,11,23.5,16,18.612,19.483,215.27,13,7.423,44.8,44.8,1.002,1.118
4.635,11,9,31,32,30.942,34.824,17,11,22.5,16,19.139,20.245,217.29,15,7.009,41.9,48.4,0.998,1.123
5.013,11,9,31,32,30.942,34.824,17,11,22.5,16,19.139,20.245,217.29,15,7.009,41.9,48.4,0.998,1.123
5.114,12,10,40,41,40.363,45.073,22,11,28.5,21,24.622,25.676,289.36,19,7.234,40.0,47.5,1.009,1.127
4.291,12,10,34,35,34.596,38.242,20,11,26.5,19,21.568,22.154,261.3,15,7.685,41.2,44.1,1.018,1.125
5.125,12,10,36,37,36.153,40.448,20,11,26.5,19,22.38,23.46,259.33,17,7.204,41.7,47.2,1.004,1.124
5.32,11,9,38,39,38.036,42.863,20,11,25.5,19,22.907,24.222,261.35,19,6.878,39.5,50.0,1.001,1.128
5.35,17,14,30,32,29.949,33.282,20,16,29.0,18,20.392,21.273,236.29,12,7.876,50.0,40.0,0.998,1.109
4.523,9,7,41,43,41.76,46.574,24,6,30.0,22,25.325,26.574,325.43,19,7.937,34.1,46.3,1.019,1.136
7.222,18,14,56,59,56.182,62.843,34,16,44.0,31,36.325,38.813,457.04,25,8.161,41.1,44.6,1.003,1.122
6.194,18,15,37,40,37.251,41.512,26,17,35.5,23,25.569,26.693,323.81,14,8.752,45.9,37.8,1.007,1.122
7.301,19,16,52,55,52.44,58.591,33,17,43.5,30,34.105,35.648,423.94,22,8.153,42.3,42.3,1.008,1.127
5.1,23,19,45,48,45.76,50.658,31,22,43.0,28,30.586,31.199,376.42,17,8.365,46.7,37.8,1.017,1.126
5.9,23,19,56,59,56.007,62.69,34,22,46.0,31,36.003,37.756,415.53,25,7.42,44.6,44.6,1.0,1.119
6.2,23,19,49,52,49.971,55.283,33,22,45.0,30,32.828,33.415,406.45,19,8.295,44.9,38.8,1.02,1.128
5.9,17,13,55,58,55.109,62.189,32,16,41.0,29,34.025,35.762,394.52,26,7.173,40.0,47.3,1.002,1.131
6.1,28,22,54,58,54.56,60.441,37,27,51.5,33,36.466,37.483,439.51,21,8.139,46.3,38.9,1.01,1.119
5.9,23,19,47,51,48.087,52.868,34,22,46.0,30,32.301,32.654,404.43,17,8.605,46.8,36.2,1.023,1.125
6.3,23,19,59,63,59.109,66.189,37,22,49.0,33,38.025,39.762,442.56,26,7.501,44.1,44.1,1.002,1.122
6.4,23,19,50,54,50.458,55.943,34,22,46.0,30,33.444,34.478,400.47,20,8.009,46.0,40.0,1.009,1.119
6.0,23,18,49,53,49.676,55.026,34,22,46.0,30,32.939,33.722,401.46,19,8.193,44.9,38.8,1.014,1.123
6.6,23,19,53,57,53.342,59.358,35,22,47.0,31,34.971,36.239,414.5,22,7.821,45.3,41.5,1.006,1.12
5.9,23,19,53,57,53.342,59.358,35,22,47.0,31,34.971,36.239,414.5,22,7.821,45.3,41.5,1.006,1.12
6.1,23,18,52,56,52.56,58.441,35,22,47.0,31,34.466,35.483,415.49,21,7.99,44.2,40.4,1.011,1.124
7.766,25,22,53,57,53.232,59.232,36,23,49.5,32,35.751,37.029,423.51,21,7.991,47.2,39.6,1.004,1.118
4.301,12,12,127,127,127.144,146.114,57,6,66.0,57,70.736,75.535,807.19,70,6.356,30.7,55.1,1.001,1.151
6.056,15,13,41,43,41.876,46.159,26,12,35.0,24,26.798,27.813,347.43,17,8.474,39.0,41.5,1.021,1.126
6.056,15,13,37,39,37.665,41.534,24,12,33.0,22,24.557,25.597,317.4,15,8.578,40.5,40.5,1.018,1.123
5.638,16,13,38,40,38.884,42.617,26,12,37.0,24,26.051,26.841,342.41,14,9.011,42.1,36.8,1.023,1.122
4.638,7,7,22,23,22.294,24.708,14,6,18.0,13,14.89,15.864,241.1,9,10.959,40.9,40.9,1.013,1.123
5.319,9,7,37,39,37.549,41.95,22,6,28.0,20,23.083,24.358,295.4,17,7.984,35.1,45.9,1.015,1.134
5.721,9,7,33,34,33.665,37.534,19,6,25.0,18,20.557,21.597,269.36,15,8.162,33.3,45.5,1.02,1.137
5.357,15,13,37,39,37.665,41.534,24,12,33.0,22,24.557,25.597,317.4,15,8.578,40.5,40.5,1.018,1.123
6.745,15,13,37,39,38.502,41.818,26,12,35.0,24,25.767,26.392,369.83,13,9.995,40.5,35.1,1.041,1.13
6.658,15,13,40,42,40.549,44.95,25,12,34.0,23,26.083,27.358,331.43,17,8.286,40.0,42.5,1.014,1.124
6.658,15,13,41,43,41.876,46.159,26,12,35.0,24,26.798,27.813,347.43,17,8.474,39.0,41.5,1.021,1.126
6.444,15,13,37,39,38.178,41.874,25,12,34.0,23,24.94,25.534,335.39,14,9.065,40.5,37.8,1.032,1.132
6.409,15,13,40,42,40.549,44.95,25,12,34.0,23,26.083,27.358,331.43,17,8.286,40.0,42.5,1.014,1.124
6.328,15,13,40,42,42.087,45.969,28,12,37.0,26,27.233,27.171,385.4,14,9.635,40.0,35.0,1.052,1.149
6.137,15,13,41,43,41.876,46.159,26,12,35.0,24,26.798,27.813,347.43,17,8.474,39.0,41.5,1.021,1.126
5.131,13,9,32,33,32.564,36.036,19,11,26.5,18,20.535,21.591,266.35,14,8.323,37.5,43.8,1.018,1.126
5.62,13,9,38,39,38.331,42.866,21,11,28.5,20,23.589,25.114,294.41,18,7.748,36.8,47.4,1.009,1.128
6.0,13,9,49,51,49.309,55.321,27,11,34.5,25,29.884,31.853,364.51,24,7.439,36.7,49.0,1.006,1.129
5.886,13,9,52,54,52.192,58.737,28,11,35.5,26,31.411,33.614,378.54,26,7.28,36.5,50.0,1.004,1.13
5.745,13,9,42,44,42.214,47.282,24,11,31.5,22,26.116,27.875,320.45,20,7.63,38.1,47.6,1.005,1.126
5.921,13,9,45,47,45.098,50.697,25,11,32.5,23,27.642,29.637,334.48,22,7.433,37.8,48.9,1.002,1.127
4.921,13,9,44,46,44.316,49.78,25,11,32.5,23,27.137,28.881,335.47,21,7.624,36.4,47.7,1.007,1.131
4.77,13,9,45,47,45.643,50.989,26,11,33.5,24,27.852,29.335,351.47,21,7.81,35.6,46.7,1.014,1.133
5.377,13,9,43,45,43.542,48.491,25,11,32.5,23,26.83,28.33,336.45,20,7.824,37.2,46.5,1.013,1.128
4.959,13,9,44,46,44.869,49.7,26,11,33.5,24,27.545,28.784,352.45,20,8.01,36.4,45.5,1.02,1.13
4.824,13,9,47,49,47.2,53.195,26,11,33.5,24,28.664,30.642,349.5,23,7.436,36.2,48.9,1.004,1.132
4.658,13,9,48,50,48.527,54.405,27,11,34.5,25,29.379,31.097,365.5,23,7.615,35.4,47.9,1.011,1.133
5.0,13,9,47,49,47.2,53.195,26,11,33.5,24,28.664,30.642,349.5,23,7.436,36.2,48.9,1.004,1.132
4.77,13,9,48,50,48.527,54.405,27,11,34.5,25,29.379,31.097,365.5,23,7.615,35.4,47.9,1.011,1.133
5.495,13,9,36,38,36.447,40.451,22,11,29.5,20,23.062,24.352,292.39,16,8.122,38.9,44.4,1.012,1.124
5.602,13,9,43,45,43.542,48.491,25,11,32.5,23,26.83,28.33,336.45,20,7.824,37.2,46.5,1.013,1.128
5.284,13,9,63,66,63.163,71.564,34,11,41.5,31,37.507,40.148,448.65,32,7.121,34.9,50.8,1.003,1.136
5.573,13,9,65,68,65.272,73.69,35,11,42.5,32,38.727,41.358,463.66,33,7.133,35.4,50.8,1.004,1.134
6.0,13,9,39,41,39.331,43.866,23,11,30.5,21,24.589,26.114,306.42,18,7.857,38.5,46.2,1.008,1.125
5.523,13,9,40,42,40.658,45.076,24,11,31.5,22,25.304,26.568,322.42,18,8.06,37.5,45.0,1.016,1.127
6.301,13,9,45,47,45.098,50.697,25,11,32.5,23,27.642,29.637,334.48,22,7.433,37.8,48.9,1.002,1.127
5.658,13,9,46,48,46.425,51.906,26,11,33.5,24,28.357,30.091,350.48,22,7.619,37.0,47.8,1.009,1.128
5.959,13,9,48,50,47.982,54.112,26,11,33.5,24,29.169,31.398,348.51,24,7.261,37.5,50.0,1.0,1.127
5.745,19,15,42,44,42.331,46.866,26,17,36.5,24,27.589,29.114,342.45,18,8.154,42.9,42.9,1.008,1.116
