pXC50,nS,SCBO
6.19,2,28.0
7.824,1,33.0
4.252,2,8.0
4.519,0,15.0
6.602,0,4.0
6.201,0,6.0
4.18,0,10.0
6.237,0,15.0
6.208,0,20.5
4.9,0,27.0
7.347,0,23.0
4.959,0,18.0
4.963,0,18.0
5.137,0,29.0
6.02,1,16.0
5.839,2,23.0
6.018,2,23.0
7.301,2,24.0
6.245,2,21.0
4.222,0,3.0
7.721,2,19.0
6.003,1,26.0
5.31,0,20.0
4.936,0,9.0
5.979,2,18.5
7.495,1,16.0
7.745,3,26.5
8.0,3,30.5
7.328,1,26.0
4.646,0,13.0
2.657,0,24.0
4.203,0,11.0
3.635,0,20.0
5.949,1,14.0
4.991,0,34.5
5.331,0,58.5
4.158,0,12.0
5.58,1,36.0
8.71,2,33.0
7.301,1,17.0
8.699,3,30.5
8.62,2,32.0
4.914,0,11.0
7.523,1,26.0
5.979,1,30.0
5.006,0,16.0
6.161,0,7.0
4.939,0,6.0
4.914,0,19.0
6.26,1,30.5
7.886,1,35.0
2.946,0,19.0
7.387,1,17.0
4.174,0,14.0
4.066,0,14.0
5.314,2,29.5
7.18,2,34.0
5.051,0,19.0
5.044,0,32.0
4.129,0,11.0
6.102,0,25.0
5.187,0,19.0
5.137,0,29.0
5.131,0,24.0
7.328,0,25.0
5.18,0,23.0
7.347,0,25.0
5.092,0,23.0
5.509,0,23.0
5.18,0,21.0
5.215,0,22.0
5.252,1,21.0
7.328,0,19.0
5.004,0,25.0
5.161,0,22.0
7.032,0,31.0
4.284,0,9.0
4.987,0,33.0
5.036,0,17.0
4.347,0,14.0
4.996,0,17.0
7.367,1,16.0
7.268,1,17.0
7.301,1,17.0
7.367,1,18.0
7.252,1,17.0
8.804,2,34.0
4.693,0,21.0
6.372,1,34.5
5.128,0,54.0
