pXC50,nHM,Si,nAT,nBT,Mp,C.,nCsp2,nN,SCBO,nBM,AMW,nDB,N.,Se,Sp,Mi,nC,nAB,nBO,Mv,nO,nS,nSK,MW,nH,RBF,H.,Sv,nHet,Me
6.754,1,83.315,74,77,0.656,39.2,19,3,54.0,21,7.483,3,4.1,74.483,48.574,1.126,29,18,42,0.621,6,1,39,553.74,35,0.143,47.3,45.969,10,1.007
8.699,1,91.849,81,84,0.635,35.8,12,4,51.5,15,6.899,4,4.9,80.909,51.41,1.134,29,11,42,0.591,5,1,39,558.82,42,0.119,51.9,47.856,10,0.999
6.824,2,68.701,61,62,0.675,37.7,13,3,45.0,16,8.828,3,4.9,61.734,41.188,1.126,23,12,34,0.634,5,1,33,538.51,28,0.145,45.9,38.699,10,1.012
6.281,1,70.654,63,66,0.675,41.3,20,3,52.0,22,8.089,4,4.8,63.949,42.529,1.121,26,18,39,0.649,6,1,36,509.63,27,0.106,42.9,40.862,10,1.015
6.0,1,56.444,49,48,0.593,26.5,2,3,25.0,4,6.888,4,6.1,49.622,29.074,1.152,13,0,21,0.554,5,1,22,337.5,27,0.167,55.1,27.147,9,1.013
6.216,1,62.239,55,57,0.65,36.4,13,3,41.0,15,7.919,3,5.5,56.065,35.767,1.132,20,12,32,0.624,6,1,30,435.55,25,0.123,45.5,34.335,10,1.019
6.514,1,66.943,59,61,0.645,35.6,13,4,42.0,15,7.603,3,6.8,59.723,38.08,1.135,21,12,33,0.613,5,1,31,448.6,28,0.115,47.5,36.168,10,1.012
6.287,1,67.863,60,62,0.65,36.7,14,3,45.0,16,7.96,4,5.0,61.276,38.983,1.131,22,12,35,0.626,7,1,33,477.59,27,0.145,45.0,37.576,11,1.021
5.305,1,51.7,46,48,0.669,39.1,13,2,37.0,15,8.184,3,4.3,46.869,30.784,1.124,18,12,28,0.642,5,1,26,376.47,20,0.104,43.5,29.545,8,1.019
5.022,1,67.342,60,63,0.685,43.3,20,4,50.0,21,8.217,3,6.7,60.76,41.074,1.122,26,18,38,0.659,4,0,35,493.0,25,0.159,41.7,39.567,9,1.013
5.305,1,47.076,42,44,0.68,40.5,13,2,35.0,15,8.249,3,4.8,42.658,28.568,1.121,17,12,26,0.65,4,1,24,346.44,18,0.091,42.9,27.304,7,1.016
6.465,1,84.188,75,79,0.672,41.3,23,4,59.5,26,7.663,3,5.3,75.374,50.364,1.123,31,23,45,0.637,5,1,41,574.76,34,0.101,45.3,47.749,10,1.005
5.545,0,62.694,56,59,0.677,44.6,21,3,48.0,21,7.956,3,5.4,56.778,37.904,1.12,25,18,36,0.659,5,0,33,445.51,23,0.136,41.1,36.906,8,1.014
6.672,1,70.86,63,65,0.664,39.7,19,3,48.0,21,7.677,3,4.8,63.505,41.835,1.125,25,18,36,0.63,5,1,34,483.64,29,0.138,46.0,39.674,9,1.008
6.115,0,60.196,54,57,0.683,46.3,21,2,47.0,21,7.972,3,3.7,54.676,36.898,1.115,25,18,35,0.665,5,0,32,430.49,22,0.14,40.7,35.885,7,1.013
6.854,1,74.397,66,67,0.646,37.9,14,2,41.0,14,6.95,2,3.0,65.727,42.659,1.127,25,12,33,0.599,4,1,32,458.68,34,0.164,51.5,39.518,7,0.996
6.171,2,80.449,71,73,0.657,35.2,14,4,50.0,16,8.642,4,5.6,72.258,46.625,1.133,25,12,40,0.623,7,1,38,613.59,33,0.123,46.5,44.203,13,1.018
6.107,1,55.282,49,51,0.674,38.8,16,4,42.5,20,8.5,3,8.2,50.189,33.034,1.128,19,17,31,0.654,5,1,29,416.5,20,0.137,40.8,32.061,10,1.024
7.086,3,74.143,66,69,0.698,39.4,19,4,53.0,21,9.455,3,6.1,67.16,46.051,1.123,26,18,41,0.66,5,1,38,624.0,28,0.116,42.4,43.548,12,1.018
6.498,2,50.435,45,47,0.693,40.0,13,2,37.0,15,8.776,3,4.4,45.865,31.188,1.121,18,12,28,0.659,4,1,26,394.91,19,0.085,42.2,29.658,8,1.019
5.0,1,58.408,53,55,0.719,49.1,19,1,50.0,23,8.369,3,1.9,53.323,38.085,1.102,26,18,34,0.686,4,1,32,443.55,21,0.091,39.6,36.336,6,1.006
6.712,2,66.784,59,61,0.668,35.6,13,4,43.0,15,8.941,3,6.8,59.952,39.432,1.132,21,12,34,0.63,5,1,32,527.49,27,0.115,45.8,37.193,11,1.016
5.0,1,59.033,52,53,0.643,34.6,8,3,39.0,11,8.183,4,5.8,53.509,33.46,1.135,18,6,30,0.625,7,1,29,425.51,23,0.132,44.2,32.523,11,1.029
6.128,1,63.444,56,57,0.644,35.7,13,3,39.0,15,7.528,3,5.4,56.622,36.074,1.133,20,12,30,0.61,5,1,29,421.57,27,0.158,48.2,34.147,9,1.011
6.128,1,83.417,73,76,0.652,38.4,19,4,57.0,21,8.338,3,5.5,75.24,47.631,1.143,28,18,45,0.639,6,1,42,608.7,31,0.118,42.5,46.613,14,1.031
7.26,1,69.773,62,63,0.652,38.7,14,2,39.0,14,6.914,2,3.2,61.516,40.444,1.125,24,12,31,0.601,3,1,30,428.65,32,0.159,51.6,37.276,6,0.992
6.703,2,66.281,59,61,0.669,37.3,13,2,42.0,15,7.876,3,3.4,59.48,39.477,1.123,22,12,33,0.624,5,2,31,464.66,28,0.131,47.5,36.839,9,1.008
7.721,2,82.029,73,75,0.67,38.4,20,3,55.0,22,8.052,4,4.1,74.003,48.915,1.124,28,18,42,0.635,7,2,40,587.78,33,0.2,45.2,46.344,12,1.014
4.708,2,70.395,61,62,0.655,36.1,13,2,46.0,15,9.125,3,3.3,63.927,39.926,1.154,22,12,37,0.644,5,2,36,556.63,25,0.194,41.0,39.283,14,1.048
5.0,0,61.485,55,58,0.681,45.5,21,3,47.0,21,7.809,3,5.5,55.451,37.449,1.118,25,18,35,0.658,4,0,32,429.51,23,0.138,41.8,36.191,7,1.008
6.658,1,74.397,66,67,0.646,37.9,14,2,41.0,14,6.95,2,3.0,65.727,42.659,1.127,25,12,33,0.599,4,1,32,458.68,34,0.164,51.5,39.518,7,0.996
5.0,1,59.617,54,56,0.714,48.1,19,1,51.0,23,8.51,3,1.9,54.651,38.54,1.104,26,18,35,0.686,5,1,33,459.55,21,0.107,38.9,37.05,7,1.012
5.186,1,67.491,60,61,0.653,38.3,13,1,45.0,16,7.96,3,1.7,61.283,39.188,1.125,23,12,34,0.63,8,1,33,477.58,27,0.213,45.0,37.775,10,1.021
6.184,2,69.696,62,64,0.665,37.1,13,2,43.0,15,7.721,3,3.2,62.363,41.239,1.124,23,12,34,0.619,5,2,32,478.69,30,0.141,48.4,38.366,9,1.006
7.796,2,81.235,72,74,0.656,36.1,14,3,49.0,16,7.636,4,4.2,72.56,47.222,1.128,26,12,39,0.613,6,2,37,549.78,35,0.176,48.6,44.156,11,1.008
8.292,2,77.404,69,71,0.677,39.1,20,3,53.0,22,8.083,4,4.3,69.792,46.699,1.122,27,18,40,0.639,6,2,38,557.75,31,0.197,44.9,44.102,11,1.011
5.0,2,65.08,58,60,0.692,39.7,14,3,48.0,17,9.491,4,5.2,59.294,40.119,1.122,23,12,36,0.661,6,1,34,550.47,24,0.133,41.4,38.36,11,1.022
6.495,2,69.717,62,63,0.666,38.7,14,2,40.0,14,7.469,2,3.2,61.84,41.301,1.124,24,12,32,0.615,3,1,31,463.09,31,0.159,50.0,38.104,7,0.997
4.939,2,64.866,58,60,0.685,39.7,13,2,45.0,16,8.184,3,3.4,58.596,39.716,1.118,23,12,34,0.643,5,2,32,474.65,26,0.133,44.8,37.313,9,1.01
6.028,1,55.116,49,51,0.664,38.8,13,2,38.0,15,7.969,3,4.1,49.753,32.546,1.125,19,12,29,0.634,5,1,27,390.5,22,0.098,44.9,31.072,8,1.015
4.0,1,61.325,55,58,0.691,43.6,20,2,49.0,22,8.483,4,3.6,56.08,38.0,1.115,24,18,36,0.669,6,1,33,466.55,22,0.138,40.0,36.787,9,1.02
5.499,1,64.152,57,59,0.656,38.6,13,2,40.0,15,7.309,3,3.5,57.076,37.375,1.125,22,12,31,0.613,4,1,29,416.59,28,0.085,49.1,34.937,7,1.001
4.0,1,79.224,70,71,0.629,35.7,8,2,36.0,8,6.182,2,2.9,68.723,44.035,1.132,25,6,31,0.567,2,1,30,432.74,40,0.085,57.1,39.669,5,0.982
7.77,1,62.358,55,55,0.631,34.5,8,2,30.0,8,6.665,2,3.6,54.632,34.682,1.134,19,6,25,0.577,3,1,25,366.58,30,0.164,54.5,31.75,6,0.993
6.638,2,69.717,62,63,0.666,38.7,14,2,40.0,14,7.469,2,3.2,61.84,41.301,1.124,24,12,32,0.615,3,1,31,463.09,31,0.159,50.0,38.104,7,0.997
7.523,1,65.148,58,59,0.659,39.7,14,2,37.0,14,6.873,2,3.4,57.305,38.228,1.123,23,12,29,0.604,2,1,28,398.62,30,0.153,51.7,35.035,5,0.988
6.402,2,71.115,63,64,0.653,34.9,13,2,45.0,17,7.916,5,3.2,64.018,41.148,1.129,22,12,34,0.616,7,2,33,498.68,30,0.188,47.6,38.796,11,1.016
6.983,2,68.696,61,62,0.66,36.1,13,2,41.0,15,7.65,3,3.3,61.363,40.239,1.126,22,12,32,0.613,5,2,31,466.68,30,0.194,49.2,37.366,9,1.006
5.0,1,67.155,60,62,0.675,41.7,13,2,49.0,17,8.043,3,3.3,60.847,40.523,1.119,25,12,36,0.647,6,1,34,482.6,26,0.113,43.3,38.84,9,1.014
4.599,1,52.116,46,47,0.642,34.8,9,2,32.0,10,7.706,4,4.3,46.753,29.546,1.133,16,6,25,0.61,5,1,24,354.47,22,0.106,47.8,28.072,8,1.016
5.704,1,57.617,52,54,0.703,46.2,19,1,47.0,22,8.376,3,1.9,52.651,36.54,1.108,24,18,33,0.674,5,1,31,435.53,21,0.13,40.4,35.05,7,1.013
5.839,2,76.112,68,70,0.676,39.7,19,2,50.0,21,7.776,3,2.9,68.247,46.0,1.119,27,18,38,0.631,5,2,36,528.75,32,0.186,47.1,42.893,9,1.004
5.252,1,53.332,48,50,0.714,47.9,19,1,46.0,22,8.823,3,2.1,48.953,34.262,1.111,23,18,32,0.692,4,1,30,423.49,18,0.12,37.5,33.192,7,1.02
5.0,1,83.524,74,76,0.649,37.8,14,3,53.0,17,7.537,4,4.1,74.811,48.029,1.129,28,12,41,0.617,7,1,39,557.73,35,0.132,47.3,45.684,11,1.011
6.416,1,53.531,47,47,0.624,31.9,7,2,29.0,9,7.329,3,4.3,47.636,29.307,1.139,15,6,23,0.587,5,1,23,344.48,24,0.17,51.1,27.599,8,1.014
6.527,2,73.321,65,66,0.653,35.4,13,2,43.0,15,7.642,3,3.1,65.574,42.455,1.128,23,12,34,0.609,6,2,33,496.71,32,0.197,49.2,39.608,10,1.009
7.409,2,86.401,77,80,0.685,40.3,24,5,63.0,28,8.258,4,6.5,77.996,52.71,1.122,31,24,47,0.651,6,2,44,635.83,33,0.188,42.9,50.145,13,1.013
6.274,2,75.614,67,69,0.659,35.8,14,3,48.0,16,8.026,4,4.5,68.12,44.154,1.129,24,12,38,0.624,7,2,36,537.72,31,0.174,46.3,41.817,12,1.017
6.9,2,67.78,60,61,0.658,35.0,12,3,41.0,15,7.794,3,5.0,60.582,39.483,1.13,21,12,32,0.614,5,2,31,467.67,29,0.197,48.3,36.861,10,1.01
5.0,2,56.122,51,53,0.734,47.1,17,1,49.5,22,9.129,3,2.0,51.844,37.426,1.1,24,17,34,0.7,5,2,32,465.58,19,0.113,37.3,35.711,8,1.017
6.521,2,67.491,60,62,0.666,36.7,13,2,43.0,15,8.011,3,3.3,60.807,39.932,1.125,22,12,34,0.626,6,2,32,480.66,28,0.129,46.7,37.554,10,1.013
7.699,2,76.487,68,70,0.676,38.2,19,4,53.0,22,8.217,4,5.9,69.011,45.943,1.125,26,18,40,0.641,6,2,38,558.74,30,0.2,44.1,43.597,12,1.015
5.0,0,65.319,58,60,0.657,41.4,19,3,46.5,20,7.785,3,5.2,58.989,38.119,1.126,24,17,35,0.64,6,0,33,451.52,25,0.15,43.1,37.148,9,1.017
5.0,1,63.946,57,59,0.668,40.4,13,2,44.0,16,7.765,3,3.5,57.52,38.068,1.122,23,12,33,0.634,5,1,31,442.58,26,0.136,45.6,36.125,8,1.009
5.437,1,72.571,65,68,0.681,43.1,19,2,54.0,22,8.01,3,3.1,65.731,44.284,1.116,28,18,40,0.652,6,1,37,520.65,28,0.118,43.1,42.367,9,1.011
6.2,2,57.328,52,54,0.726,46.2,19,1,47.0,22,8.685,3,1.9,52.4,37.733,1.102,24,18,33,0.683,4,2,31,451.6,21,0.13,40.4,35.523,7,1.008
5.488,2,54.122,49,51,0.723,44.9,17,1,45.5,21,9.011,3,2.0,49.844,35.426,1.105,22,17,32,0.688,5,2,30,441.56,19,0.137,38.8,33.711,8,1.017
5.0,2,57.644,52,54,0.724,46.2,20,2,50.0,23,9.288,4,3.8,53.193,37.642,1.109,24,18,35,0.699,5,1,33,482.97,19,0.13,36.5,36.373,9,1.023
5.469,2,61.953,56,58,0.713,44.6,19,1,49.0,22,8.601,3,1.8,56.611,39.949,1.106,25,18,35,0.674,5,2,33,481.63,23,0.138,41.1,37.764,8,1.011
5.0,1,65.033,59,62,0.717,49.2,25,1,56.0,28,8.434,3,1.7,59.534,42.301,1.102,29,24,39,0.688,5,1,36,497.6,23,0.129,39.0,40.577,7,1.009
5.0,2,54.751,49,50,0.706,40.8,14,2,43.0,17,10.11,4,4.1,50.425,34.591,1.117,20,12,31,0.679,6,1,30,495.38,19,0.16,38.8,33.285,10,1.029
6.754,1,43.898,39,42,0.711,46.2,15,3,38.0,15,9.584,3,7.7,40.425,27.744,1.126,18,12,29,0.707,3,0,26,373.79,13,0.071,33.3,27.58,8,1.037
5.398,3,51.857,47,50,0.741,44.7,17,1,43.5,20,9.532,3,2.1,47.84,34.83,1.103,21,17,32,0.698,4,2,29,447.99,18,0.12,38.3,32.824,8,1.018
6.745,3,49.023,44,47,0.735,40.9,14,3,42.0,19,9.954,3,6.8,45.276,32.318,1.114,18,16,31,0.7,4,2,28,437.96,16,0.128,36.4,30.813,10,1.029
5.481,0,39.907,35,37,0.647,37.1,9,4,30.0,12,8.295,2,11.4,36.134,22.648,1.14,13,10,23,0.645,4,0,21,290.31,14,0.081,40.0,22.579,8,1.032
5.0,1,72.571,65,68,0.681,43.1,19,2,54.0,22,8.01,3,3.1,65.731,44.284,1.116,28,18,40,0.652,6,1,37,520.65,28,0.118,43.1,42.367,9,1.011
4.863,1,65.155,58,60,0.664,39.7,13,2,45.0,16,7.907,3,3.4,58.847,38.523,1.123,23,12,34,0.635,6,1,32,458.58,26,0.133,44.8,36.84,9,1.015
4.606,2,50.044,45,46,0.714,42.2,13,1,39.0,16,10.052,3,2.2,45.996,32.131,1.112,19,12,28,0.679,5,1,27,452.35,18,0.152,40.0,30.549,8,1.022
5.0,1,54.202,49,51,0.71,46.9,19,1,46.0,22,8.602,3,2.0,49.767,34.779,1.106,23,18,32,0.684,5,1,30,421.5,19,0.137,38.8,33.524,7,1.016
